Atom1,Atom2,Connectivity,Nearest_Integer
2O,3C,0.99940,1
3C,4C,0.99814,1
3C,5H,0.99229,1
4C,6C,0.99869,1
4C,7C,0.99872,1
6C,8C,0.99915,1
6C,9H,0.99356,1
7C,10C,0.99909,1
7C,11H,0.99332,1
8C,12C,0.99886,1
8C,13H,0.99347,1
10C,12C,0.99894,1
10C,14H,0.99350,1
12C,15H,0.99336,1
16C,17C,0.99977,1
16C,18H,0.99296,1
16C,19H,0.99295,1
17C,20C,0.99981,1
20C,21H,0.99287,1
24O,42N,0.99401,1
25O,43N,0.99441,1
26C,27C,0.99663,1
26C,31C,0.99917,1
26C,42N,0.99890,1
27C,33C,0.99918,1
27C,43N,0.99890,1
28C,35C,0.99865,1
28C,41C,0.99377,1
28C,43N,0.99878,1
29C,30C,0.99865,1
29C,42N,0.99881,1
29C,44C,0.99385,1
30C,32C,0.99897,1
30C,45C,0.99626,1
31C,32C,0.99913,1
31C,36H,0.99377,1
32C,37H,0.99360,1
33C,34C,0.99913,1
33C,38H,0.99377,1
34C,35C,0.99899,1
34C,39H,0.99361,1
35C,40C,0.99612,1
40C,56C,0.99887,1
40C,57C,0.99888,1
41C,66C,0.99187,1
41C,67C,0.99097,1
41C,68H,0.99258,1
44C,69C,0.99083,1
44C,70H,0.99284,1
44C,71C,0.99203,1
45C,46C,0.99885,1
45C,47C,0.99887,1
46C,50C,0.99904,1
46C,51H,0.99348,1
47C,49C,0.99902,1
47C,55H,0.99336,1
48C,49C,0.99897,1
48C,50C,0.99896,1
48C,53H,0.99337,1
49C,54H,0.99338,1
50C,52H,0.99338,1
56C,60C,0.99901,1
56C,61H,0.99334,1
57C,59C,0.99902,1
57C,65H,0.99357,1
58C,59C,0.99897,1
58C,60C,0.99897,1
58C,63H,0.99337,1
59C,64H,0.99338,1
60C,62H,0.99338,1
66C,78H,0.99252,1
66C,79H,0.99310,1
66C,80H,0.99203,1
67C,81H,0.99280,1
67C,82H,0.99206,1
67C,83H,0.99216,1
69C,72H,0.99212,1
69C,73H,0.99254,1
69C,74H,0.99209,1
71C,75H,0.99330,1
71C,76H,0.99216,1
71C,77H,0.99251,1
