Atom1,Atom2,Connectivity,Nearest_Integer
2O,3C,0.99939,1
3C,4C,0.99797,1
3C,5H,0.99260,1
4C,6C,0.99874,1
4C,7C,0.99873,1
6C,8C,0.99914,1
6C,9H,0.99375,1
7C,10C,0.99909,1
7C,11H,0.99333,1
8C,12C,0.99889,1
8C,13H,0.99351,1
10C,12C,0.99893,1
10C,14H,0.99348,1
12C,15H,0.99337,1
16C,17C,0.99976,1
16C,18H,0.99301,1
16C,19H,0.99293,1
17C,20C,0.99982,1
20C,21H,0.99286,1
24O,42N,0.99422,1
25O,43N,0.99493,1
26C,27C,0.99653,1
26C,31C,0.99922,1
26C,42N,0.99893,1
27C,33C,0.99920,1
27C,43N,0.99888,1
28C,35C,0.99857,1
28C,41C,0.99044,1
28C,43N,0.99847,1
29C,30C,0.99851,1
29C,42N,0.99855,1
29C,44C,0.99009,1
30C,32C,0.99898,1
30C,45C,0.99617,1
31C,32C,0.99915,1
31C,36H,0.99377,1
32C,37H,0.99357,1
33C,34C,0.99915,1
33C,38H,0.99375,1
34C,35C,0.99892,1
34C,39H,0.99359,1
35C,40C,0.99624,1
40C,56C,0.99889,1
40C,57C,0.99890,1
41C,78C,0.99173,1
41C,79C,0.98936,1
41C,80C,0.99010,1
44C,66C,0.98973,1
44C,67C,0.99116,1
44C,68C,0.98955,1
45C,46C,0.99890,1
45C,47C,0.99889,1
46C,50C,0.99901,1
46C,51H,0.99355,1
47C,49C,0.99904,1
47C,55H,0.99336,1
48C,49C,0.99895,1
48C,50C,0.99898,1
48C,53H,0.99337,1
49C,54H,0.99337,1
50C,52H,0.99338,1
56C,60C,0.99903,1
56C,61H,0.99338,1
57C,59C,0.99904,1
57C,65H,0.99375,1
58C,59C,0.99898,1
58C,60C,0.99896,1
58C,63H,0.99338,1
59C,64H,0.99339,1
60C,62H,0.99338,1
66C,69H,0.99233,1
66C,70H,0.99211,1
66C,71H,0.99313,1
67C,72H,0.99200,1
67C,73H,0.99260,1
67C,74H,0.99311,1
68C,75H,0.99229,1
68C,76H,0.99332,1
68C,77H,0.99199,1
78C,84H,0.99326,1
78C,85H,0.99203,1
78C,86H,0.99241,1
79C,87H,0.99318,1
79C,88H,0.99199,1
79C,89H,0.99233,1
80C,81H,0.99308,1
80C,82H,0.99230,1
80C,83H,0.99222,1
