Atom1,Atom2,Connectivity,Nearest_Integer
2O,3C,0.99938,1
3C,4C,0.99796,1
3C,5H,0.99289,1
4C,6C,0.99872,1
4C,7C,0.99874,1
6C,8C,0.99912,1
6C,9H,0.99353,1
7C,10C,0.99909,1
7C,11H,0.99329,1
8C,12C,0.99888,1
8C,13H,0.99346,1
10C,12C,0.99893,1
10C,14H,0.99348,1
12C,15H,0.99336,1
16C,17C,0.99976,1
16C,18H,0.99298,1
16C,19H,0.99298,1
17C,20C,0.99981,1
20C,21H,0.99292,1
24O,40N,0.99525,1
25O,41N,0.99459,1
26C,27C,0.99644,1
26C,31C,0.99899,1
26C,40N,0.99891,1
27C,33C,0.99897,1
27C,41N,0.99890,1
28C,35C,0.99866,1
28C,39C,0.99874,1
28C,41N,0.99872,1
29C,30C,0.99866,1
29C,40N,0.99880,1
29C,42C,0.99869,1
30C,32C,0.99903,1
30C,43C,0.99647,1
31C,32C,0.99898,1
31C,68C,0.99486,1
32C,36H,0.99351,1
33C,34C,0.99900,1
33C,72C,0.99487,1
34C,35C,0.99902,1
34C,37H,0.99352,1
35C,38C,0.99646,1
38C,54C,0.99886,1
38C,55C,0.99884,1
39C,66C,0.99997,1
42C,64C,0.99997,1
43C,44C,0.99886,1
43C,45C,0.99884,1
44C,48C,0.99904,1
44C,49H,0.99358,1
45C,47C,0.99903,1
45C,53H,0.99336,1
46C,47C,0.99897,1
46C,48C,0.99896,1
46C,51H,0.99337,1
47C,52H,0.99339,1
48C,50H,0.99339,1
54C,58C,0.99904,1
54C,59H,0.99358,1
55C,57C,0.99903,1
55C,63H,0.99337,1
56C,57C,0.99897,1
56C,58C,0.99896,1
56C,61H,0.99337,1
57C,62H,0.99339,1
58C,60H,0.99339,1
64C,65H,0.99532,1
66C,67H,0.99531,1
68C,69H,0.99203,1
68C,70H,0.99274,1
68C,71H,0.99223,1
72C,73H,0.99238,1
72C,74H,0.99203,1
72C,75H,0.99252,1
