Atom1,Atom2,Connectivity,Nearest_Integer
2O,3C,0.99940,1
3C,4C,0.99793,1
3C,5H,0.99235,1
4C,6C,0.99872,1
4C,7C,0.99876,1
6C,8C,0.99914,1
6C,9H,0.99353,1
7C,10C,0.99908,1
7C,11H,0.99332,1
8C,12C,0.99887,1
8C,13H,0.99345,1
10C,12C,0.99894,1
10C,14H,0.99349,1
12C,15H,0.99337,1
16C,17C,0.99976,1
16C,18H,0.99299,1
16C,19H,0.99302,1
17C,20C,0.99982,1
20C,21H,0.99282,1
24O,42N,0.99473,1
25O,43N,0.99433,1
26C,27C,0.99699,1
26C,31C,0.99911,1
26C,42N,0.99884,1
27C,33C,0.99904,1
27C,43N,0.99897,1
28C,35C,0.99913,1
28C,41H,0.99410,1
28C,43N,0.99909,1
29C,30C,0.99903,1
29C,42N,0.99917,1
29C,44H,0.99412,1
30C,32C,0.99895,1
30C,45C,0.99288,1
31C,32C,0.99905,1
31C,36H,0.99370,1
32C,37H,0.99380,1
33C,34C,0.99913,1
33C,38H,0.99371,1
34C,35C,0.99884,1
34C,39H,0.99367,1
35C,40C,0.99301,1
40C,58C,0.99087,1
40C,59C,0.99181,1
40C,60C,0.99088,1
45C,46C,0.99081,1
45C,47C,0.99195,1
45C,48C,0.99075,1
46C,49H,0.99208,1
46C,50H,0.99212,1
46C,51H,0.99216,1
47C,52H,0.99228,1
47C,53H,0.99204,1
47C,54H,0.99205,1
48C,55H,0.99218,1
48C,56H,0.99212,1
48C,57H,0.99211,1
58C,61H,0.99227,1
58C,62H,0.99214,1
58C,63H,0.99217,1
59C,67H,0.99197,1
59C,68H,0.99200,1
59C,69H,0.99230,1
60C,64H,0.99217,1
60C,65H,0.99213,1
60C,66H,0.99209,1
