Atom1,Atom2,Connectivity,Nearest_Integer
2O,3C,0.99939,1
3C,4C,0.99795,1
3C,5H,0.99235,1
4C,6C,0.99872,1
4C,7C,0.99876,1
6C,8C,0.99914,1
6C,9H,0.99354,1
7C,10C,0.99908,1
7C,11H,0.99329,1
8C,12C,0.99887,1
8C,13H,0.99348,1
10C,12C,0.99894,1
10C,14H,0.99349,1
12C,15H,0.99338,1
16C,17C,0.99976,1
16C,18H,0.99298,1
16C,19H,0.99300,1
17C,20C,0.99982,1
20C,21H,0.99284,1
24O,42N,0.99483,1
25O,43N,0.99430,1
26C,27C,0.99705,1
26C,31C,0.99911,1
26C,42N,0.99886,1
27C,33C,0.99905,1
27C,43N,0.99896,1
28C,35C,0.99911,1
28C,41H,0.99413,1
28C,43N,0.99908,1
29C,30C,0.99903,1
29C,42N,0.99917,1
29C,44H,0.99413,1
30C,32C,0.99894,1
30C,45C,0.99290,1
31C,32C,0.99905,1
31C,36H,0.99370,1
32C,37H,0.99380,1
33C,34C,0.99913,1
33C,38H,0.99370,1
34C,35C,0.99884,1
34C,39H,0.99367,1
35C,40C,0.99308,1
40C,58C,0.99075,1
40C,59C,0.99188,1
40C,60C,0.99091,1
45C,46C,0.99082,1
45C,47C,0.99192,1
45C,48C,0.99076,1
46C,49H,0.99207,1
46C,50H,0.99214,1
46C,51H,0.99214,1
47C,52H,0.99227,1
47C,53H,0.99203,1
47C,54H,0.99205,1
48C,55H,0.99218,1
48C,56H,0.99213,1
48C,57H,0.99211,1
58C,61H,0.99226,1
58C,62H,0.99213,1
58C,63H,0.99219,1
59C,67H,0.99210,1
59C,68H,0.99204,1
59C,69H,0.99231,1
60C,64H,0.99217,1
60C,65H,0.99214,1
60C,66H,0.99209,1
