Atom1,Atom2,Connectivity,Nearest_Integer
2O,3C,0.99937,1
3C,4C,0.99798,1
3C,5H,0.99241,1
4C,6C,0.99871,1
4C,7C,0.99876,1
6C,8C,0.99914,1
6C,9H,0.99351,1
7C,10C,0.99908,1
7C,11H,0.99333,1
8C,12C,0.99887,1
8C,13H,0.99345,1
10C,12C,0.99895,1
10C,14H,0.99349,1
12C,15H,0.99338,1
16C,17C,0.99976,1
16C,18H,0.99299,1
16C,19H,0.99301,1
17C,20C,0.99982,1
20C,21H,0.99286,1
24O,42N,0.99540,1
25O,43N,0.99472,1
26C,27C,0.99694,1
26C,31C,0.99919,1
26C,42N,0.99881,1
27C,33C,0.99919,1
27C,43N,0.99883,1
28C,35C,0.99897,1
28C,41F,0.99853,1
28C,43N,0.99897,1
29C,30C,0.99895,1
29C,42N,0.99897,1
29C,44F,0.99853,1
30C,32C,0.99896,1
30C,45C,0.99230,1
31C,32C,0.99904,1
31C,36H,0.99378,1
32C,37H,0.99389,1
33C,34C,0.99904,1
33C,38H,0.99377,1
34C,35C,0.99894,1
34C,39H,0.99386,1
35C,40C,0.99222,1
40C,58C,0.99066,1
40C,59C,0.99066,1
40C,60C,0.99171,1
45C,46C,0.99067,1
45C,47C,0.99168,1
45C,48C,0.99062,1
46C,49H,0.99206,1
46C,50H,0.99213,1
46C,51H,0.99255,1
47C,52H,0.99231,1
47C,53H,0.99207,1
47C,54H,0.99207,1
48C,55H,0.99213,1
48C,56H,0.99213,1
48C,57H,0.99261,1
58C,61H,0.99262,1
58C,62H,0.99217,1
58C,63H,0.99227,1
59C,64H,0.99251,1
59C,65H,0.99208,1
59C,66H,0.99213,1
60C,67H,0.99204,1
60C,68H,0.99234,1
60C,69H,0.99209,1
