Atom1,Atom2,Connectivity,Nearest_Integer
2O,3C,0.99938,1
3C,4C,0.99803,1
3C,5H,0.99231,1
4C,6C,0.99871,1
4C,7C,0.99874,1
6C,8C,0.99913,1
6C,9H,0.99353,1
7C,10C,0.99909,1
7C,11H,0.99333,1
8C,12C,0.99887,1
8C,13H,0.99346,1
10C,12C,0.99894,1
10C,14H,0.99348,1
12C,15H,0.99336,1
16C,17C,0.99976,1
16C,18H,0.99301,1
16C,19H,0.99311,1
17C,20C,0.99981,1
20C,21H,0.99272,1
24O,42N,0.99526,1
25O,43N,0.99522,1
26C,27C,0.99668,1
26C,31C,0.99923,1
26C,42N,0.99887,1
27C,33C,0.99923,1
27C,43N,0.99888,1
28C,35C,0.99871,1
28C,41Cl,0.99643,1
28C,43N,0.99871,1
29C,30C,0.99870,1
29C,42N,0.99868,1
29C,44Cl,0.99659,1
30C,32C,0.99892,1
30C,45C,0.99116,1
31C,32C,0.99910,1
31C,36H,0.99379,1
32C,37H,0.99402,1
33C,34C,0.99909,1
33C,38H,0.99377,1
34C,35C,0.99891,1
34C,39H,0.99403,1
35C,40C,0.99117,1
40C,58C,0.99061,1
40C,59C,0.99058,1
40C,60C,0.99118,1
45C,46C,0.99055,1
45C,47C,0.99058,1
45C,48C,0.99119,1
46C,49H,0.99283,1
46C,50H,0.99213,1
46C,51H,0.99209,1
47C,52H,0.99210,1
47C,53H,0.99287,1
47C,54H,0.99207,1
48C,55H,0.99235,1
48C,56H,0.99206,1
48C,57H,0.99210,1
58C,61H,0.99212,1
58C,62H,0.99289,1
58C,63H,0.99213,1
59C,64H,0.99279,1
59C,65H,0.99207,1
59C,66H,0.99211,1
60C,67H,0.99208,1
60C,68H,0.99238,1
60C,69H,0.99210,1
