Atom1,Atom2,Connectivity,Nearest_Integer
2O,3C,0.99938,1
3C,4C,0.99801,1
3C,5H,0.99248,1
4C,6C,0.99873,1
4C,7C,0.99873,1
6C,8C,0.99914,1
6C,9H,0.99367,1
7C,10C,0.99909,1
7C,11H,0.99336,1
8C,12C,0.99888,1
8C,13H,0.99346,1
10C,12C,0.99894,1
10C,14H,0.99349,1
12C,15H,0.99338,1
16C,17C,0.99976,1
16C,18H,0.99298,1
16C,19H,0.99299,1
17C,20C,0.99982,1
20C,21H,0.99281,1
24O,42N,0.99509,1
25O,43N,0.99554,1
26C,27C,0.99681,1
26C,31C,0.99921,1
26C,42N,0.99890,1
27C,33C,0.99920,1
27C,43N,0.99889,1
28C,35C,0.99873,1
28C,41Cl,0.99654,1
28C,43N,0.99862,1
29C,30C,0.99871,1
29C,42N,0.99864,1
29C,44Cl,0.99665,1
30C,32C,0.99893,1
30C,45C,0.99107,1
31C,32C,0.99911,1
31C,36H,0.99380,1
32C,37H,0.99404,1
33C,34C,0.99911,1
33C,38H,0.99378,1
34C,35C,0.99890,1
34C,39H,0.99408,1
35C,40C,0.99093,1
40C,58C,0.99068,1
40C,59C,0.99047,1
40C,60C,0.99115,1
45C,46C,0.99056,1
45C,47C,0.99053,1
45C,48C,0.99119,1
46C,49H,0.99287,1
46C,50H,0.99211,1
46C,51H,0.99210,1
47C,52H,0.99210,1
47C,53H,0.99287,1
47C,54H,0.99206,1
48C,55H,0.99236,1
48C,56H,0.99207,1
48C,57H,0.99207,1
58C,61H,0.99238,1
58C,62H,0.99292,1
58C,63H,0.99212,1
59C,64H,0.99278,1
59C,65H,0.99206,1
59C,66H,0.99211,1
60C,67H,0.99204,1
60C,68H,0.99234,1
60C,69H,0.99211,1
