Atom1,Atom2,Connectivity,Nearest_Integer
2O,3C,0.99946,1
3C,4C,0.99795,1
3C,5H,0.99212,1
4C,6C,0.99871,1
4C,7C,0.99874,1
6C,8C,0.99914,1
6C,9H,0.99362,1
7C,10C,0.99908,1
7C,11H,0.99332,1
8C,12C,0.99887,1
8C,13H,0.99346,1
10C,12C,0.99894,1
10C,14H,0.99350,1
12C,15H,0.99337,1
16C,17C,0.99977,1
16C,18H,0.99293,1
16C,19H,0.99299,1
17C,20C,0.99981,1
20C,21H,0.99271,1
24O,42N,0.99422,1
25O,43N,0.99472,1
26C,27C,0.99680,1
26C,31C,0.99922,1
26C,42N,0.99892,1
27C,33C,0.99920,1
27C,43N,0.99895,1
28C,35C,0.99866,1
28C,41C,0.99549,1
28C,43N,0.99875,1
29C,30C,0.99862,1
29C,42N,0.99876,1
29C,44C,0.99550,1
30C,32C,0.99894,1
30C,45C,0.99129,1
31C,32C,0.99910,1
31C,36H,0.99375,1
32C,37H,0.99398,1
33C,34C,0.99910,1
33C,38H,0.99373,1
34C,35C,0.99891,1
34C,39H,0.99397,1
35C,40C,0.99117,1
40C,58C,0.99041,1
40C,59C,0.99044,1
40C,60C,0.99104,1
41C,73H,0.99386,1
41C,74H,0.99231,1
41C,75H,0.99225,1
44C,70H,0.99215,1
44C,71H,0.99388,1
44C,72H,0.99256,1
45C,46C,0.99044,1
45C,47C,0.99045,1
45C,48C,0.99100,1
46C,49H,0.99288,1
46C,50H,0.99210,1
46C,51H,0.99207,1
47C,52H,0.99208,1
47C,53H,0.99278,1
47C,54H,0.99204,1
48C,55H,0.99207,1
48C,56H,0.99230,1
48C,57H,0.99209,1
58C,61H,0.99235,1
58C,62H,0.99289,1
58C,63H,0.99210,1
59C,67H,0.99272,1
59C,68H,0.99207,1
59C,69H,0.99208,1
60C,64H,0.99203,1
60C,65H,0.99231,1
60C,66H,0.99214,1
