Atom1,Atom2,Connectivity,Nearest_Integer
2O,3C,0.99934,1
3C,4C,0.99801,1
3C,5H,0.99255,1
4C,6C,0.99874,1
4C,7C,0.99874,1
6C,8C,0.99913,1
6C,9H,0.99357,1
7C,10C,0.99909,1
7C,11H,0.99329,1
8C,12C,0.99888,1
8C,13H,0.99348,1
10C,12C,0.99893,1
10C,14H,0.99349,1
12C,15H,0.99338,1
16C,17C,0.99975,1
16C,18H,0.99296,1
16C,19H,0.99303,1
17C,20C,0.99982,1
20C,21H,0.99290,1
24O,40N,0.99458,1
25O,41N,0.99548,1
26C,27C,0.99642,1
26C,31C,0.99902,1
26C,40N,0.99903,1
27C,33C,0.99907,1
27C,41N,0.99903,1
28C,35C,0.99872,1
28C,39C,0.99086,1
28C,41N,0.99877,1
29C,30C,0.99876,1
29C,40N,0.99867,1
29C,42C,0.99074,1
30C,32C,0.99884,1
30C,43C,0.98976,1
31C,32C,0.99909,1
31C,74C,0.99500,1
32C,36H,0.99396,1
33C,34C,0.99904,1
33C,78C,0.99494,1
34C,35C,0.99889,1
34C,37H,0.99400,1
35C,38C,0.98995,1
38C,62C,0.99086,1
38C,63C,0.99062,1
38C,64C,0.98974,1
39C,59F,0.99771,1
39C,60F,0.99719,1
39C,61F,0.99727,1
42C,56F,0.99770,1
42C,57F,0.99765,1
42C,58F,0.99691,1
43C,44C,0.99101,1
43C,45C,0.99108,1
43C,46C,0.98926,1
44C,47H,0.99210,1
44C,48H,0.99207,1
44C,49H,0.99245,1
45C,50H,0.99263,1
45C,51H,0.99231,1
45C,52H,0.99333,1
46C,53H,0.99253,1
46C,54H,0.99235,1
46C,55H,0.99230,1
62C,65H,0.99204,1
62C,66H,0.99292,1
62C,67H,0.99206,1
63C,68H,0.99334,1
63C,69H,0.99217,1
63C,70H,0.99224,1
64C,71H,0.99232,1
64C,72H,0.99235,1
64C,73H,0.99212,1
74C,75H,0.99246,1
74C,76H,0.99201,1
74C,77H,0.99252,1
78C,79H,0.99199,1
78C,80H,0.99231,1
78C,81H,0.99266,1
