Atom1,Atom2,Connectivity,Nearest_Integer
2O,3C,0.99934,1
3C,4C,0.99806,1
3C,5H,0.99248,1
4C,6C,0.99870,1
4C,7C,0.99873,1
6C,8C,0.99913,1
6C,9H,0.99363,1
7C,10C,0.99909,1
7C,11H,0.99333,1
8C,12C,0.99887,1
8C,13H,0.99345,1
10C,12C,0.99894,1
10C,14H,0.99348,1
12C,15H,0.99336,1
16C,17C,0.99976,1
16C,18H,0.99296,1
16C,19H,0.99299,1
17C,20C,0.99982,1
20C,21H,0.99299,1
24O,40N,0.99459,1
25O,41N,0.99483,1
26C,27C,0.99637,1
26C,31C,0.99906,1
26C,40N,0.99902,1
27C,33C,0.99903,1
27C,41N,0.99905,1
28C,35C,0.99876,1
28C,39C,0.99100,1
28C,41N,0.99877,1
29C,30C,0.99874,1
29C,40N,0.99881,1
29C,42C,0.99079,1
30C,32C,0.99889,1
30C,43C,0.98995,1
31C,32C,0.99904,1
31C,78C,0.99495,1
32C,36H,0.99395,1
33C,34C,0.99906,1
33C,74C,0.99496,1
34C,35C,0.99886,1
34C,37H,0.99401,1
35C,38C,0.99000,1
38C,62C,0.99098,1
38C,63C,0.99056,1
38C,64C,0.98961,1
39C,59F,0.99763,1
39C,60F,0.99731,1
39C,61F,0.99728,1
42C,56F,0.99767,1
42C,57F,0.99737,1
42C,58F,0.99719,1
43C,44C,0.99100,1
43C,45C,0.99071,1
43C,46C,0.98952,1
44C,47H,0.99206,1
44C,48H,0.99203,1
44C,49H,0.99276,1
45C,50H,0.99219,1
45C,51H,0.99230,1
45C,52H,0.99328,1
46C,53H,0.99239,1
46C,54H,0.99234,1
46C,55H,0.99216,1
62C,65H,0.99203,1
62C,66H,0.99282,1
62C,67H,0.99206,1
63C,68H,0.99331,1
63C,69H,0.99216,1
63C,70H,0.99228,1
64C,71H,0.99235,1
64C,72H,0.99234,1
64C,73H,0.99213,1
74C,75H,0.99250,1
74C,76H,0.99245,1
74C,77H,0.99201,1
78C,79H,0.99265,1
78C,80H,0.99200,1
78C,81H,0.99232,1
