Atom1,Atom2,Connectivity,Nearest_Integer
2O,3C,0.99934,1
3C,4C,0.99802,1
3C,5H,0.99247,1
4C,6C,0.99873,1
4C,7C,0.99875,1
6C,8C,0.99913,1
6C,9H,0.99357,1
7C,10C,0.99909,1
7C,11H,0.99330,1
8C,12C,0.99888,1
8C,13H,0.99348,1
10C,12C,0.99893,1
10C,14H,0.99349,1
12C,15H,0.99338,1
16C,17C,0.99975,1
16C,18H,0.99297,1
16C,19H,0.99303,1
17C,20C,0.99982,1
20C,21H,0.99292,1
24O,42N,0.99572,1
25O,43N,0.99486,1
26C,27C,0.99679,1
26C,31C,0.99916,1
26C,42N,0.99904,1
27C,33C,0.99914,1
27C,43N,0.99902,1
28C,35C,0.99874,1
28C,41C,0.99045,1
28C,43N,0.99857,1
29C,30C,0.99875,1
29C,42N,0.99866,1
29C,44C,0.99066,1
30C,32C,0.99878,1
30C,45C,0.99021,1
31C,32C,0.99918,1
31C,36H,0.99372,1
32C,37H,0.99404,1
33C,34C,0.99922,1
33C,38H,0.99376,1
34C,35C,0.99876,1
34C,39H,0.99398,1
35C,40C,0.99012,1
40C,64C,0.99127,1
40C,65C,0.99111,1
40C,66C,0.98907,1
41C,61F,0.99770,1
41C,62F,0.99770,1
41C,63F,0.99695,1
44C,58F,0.99726,1
44C,59F,0.99774,1
44C,60F,0.99724,1
45C,46C,0.99072,1
45C,47C,0.99098,1
45C,48C,0.98944,1
46C,49H,0.99227,1
46C,50H,0.99219,1
46C,51H,0.99331,1
47C,52H,0.99205,1
47C,53H,0.99207,1
47C,54H,0.99279,1
48C,55H,0.99215,1
48C,56H,0.99236,1
48C,57H,0.99241,1
64C,67H,0.99262,1
64C,68H,0.99332,1
64C,69H,0.99229,1
65C,70H,0.99244,1
65C,71H,0.99210,1
65C,72H,0.99212,1
66C,73H,0.99222,1
66C,74H,0.99232,1
66C,75H,0.99255,1
