Atom1,Atom2,Connectivity,Nearest_Integer
2O,3C,0.99945,1
3C,4C,0.99805,1
3C,5H,0.99189,1
4C,6C,0.99869,1
4C,7C,0.99875,1
6C,8C,0.99915,1
6C,9H,0.99359,1
7C,10C,0.99908,1
7C,11H,0.99335,1
8C,12C,0.99885,1
8C,13H,0.99346,1
10C,12C,0.99895,1
10C,14H,0.99352,1
12C,15H,0.99338,1
16C,17C,0.99978,1
16C,18H,0.99299,1
16C,19H,0.99301,1
17C,20C,0.99980,1
20C,21H,0.99295,1
24O,40N,0.99528,1
25O,41N,0.99593,1
26C,27C,0.99654,1
26C,31C,0.99897,1
26C,40N,0.99901,1
27C,33C,0.99898,1
27C,41N,0.99899,1
28C,35C,0.99874,1
28C,39C,0.99841,1
28C,41N,0.99874,1
29C,30C,0.99874,1
29C,40N,0.99879,1
29C,42C,0.99838,1
30C,32C,0.99898,1
30C,43C,0.99203,1
31C,32C,0.99898,1
31C,74C,0.99498,1
32C,36H,0.99388,1
33C,34C,0.99898,1
33C,70C,0.99497,1
34C,35C,0.99899,1
34C,37H,0.99385,1
35C,38C,0.99194,1
38C,58C,0.99067,1
38C,59C,0.99055,1
38C,60C,0.99154,1
39C,57N,0.99998,1
42C,56N,0.99998,1
43C,44C,0.99062,1
43C,45C,0.99062,1
43C,46C,0.99148,1
44C,47H,0.99271,1
44C,48H,0.99218,1
44C,49H,0.99213,1
45C,50H,0.99216,1
45C,51H,0.99271,1
45C,52H,0.99206,1
46C,53H,0.99207,1
46C,54H,0.99234,1
46C,55H,0.99208,1
58C,61H,0.99274,1
58C,62H,0.99219,1
58C,63H,0.99240,1
59C,64H,0.99260,1
59C,65H,0.99211,1
59C,66H,0.99217,1
60C,67H,0.99207,1
60C,68H,0.99236,1
60C,69H,0.99209,1
70C,71H,0.99204,1
70C,72H,0.99270,1
70C,73H,0.99224,1
74C,75H,0.99243,1
74C,76H,0.99197,1
74C,77H,0.99262,1
