Atom1,Atom2,Connectivity,Nearest_Integer
2O,3C,0.99933,1
3C,4C,0.99812,1
3C,5H,0.99250,1
4C,6C,0.99870,1
4C,7C,0.99873,1
6C,8C,0.99914,1
6C,9H,0.99354,1
7C,10C,0.99909,1
7C,11H,0.99333,1
8C,12C,0.99887,1
8C,13H,0.99346,1
10C,12C,0.99893,1
10C,14H,0.99349,1
12C,15H,0.99336,1
16C,17C,0.99976,1
16C,18H,0.99297,1
16C,19H,0.99299,1
17C,20C,0.99982,1
20C,21H,0.99296,1
24O,40N,0.99518,1
25O,41N,0.99522,1
26C,27C,0.99641,1
26C,31C,0.99897,1
26C,40N,0.99901,1
27C,33C,0.99897,1
27C,41N,0.99899,1
28C,35C,0.99876,1
28C,39C,0.99838,1
28C,41N,0.99882,1
29C,30C,0.99876,1
29C,40N,0.99883,1
29C,42C,0.99836,1
30C,32C,0.99899,1
30C,43C,0.99215,1
31C,32C,0.99897,1
31C,70C,0.99499,1
32C,36H,0.99386,1
33C,34C,0.99897,1
33C,74C,0.99495,1
34C,35C,0.99900,1
34C,37H,0.99386,1
35C,38C,0.99221,1
38C,58C,0.99058,1
38C,59C,0.99062,1
38C,60C,0.99152,1
39C,57N,0.99998,1
42C,56N,0.99998,1
43C,44C,0.99061,1
43C,45C,0.99159,1
43C,46C,0.99059,1
44C,47H,0.99209,1
44C,48H,0.99217,1
44C,49H,0.99266,1
45C,50H,0.99237,1
45C,51H,0.99210,1
45C,52H,0.99209,1
46C,53H,0.99264,1
46C,54H,0.99215,1
46C,55H,0.99215,1
58C,61H,0.99266,1
58C,62H,0.99216,1
58C,63H,0.99215,1
59C,64H,0.99265,1
59C,65H,0.99211,1
59C,66H,0.99218,1
60C,67H,0.99209,1
60C,68H,0.99234,1
60C,69H,0.99208,1
70C,71H,0.99273,1
70C,72H,0.99228,1
70C,73H,0.99203,1
74C,75H,0.99231,1
74C,76H,0.99198,1
74C,77H,0.99271,1
