Atom1,Atom2,Connectivity,Nearest_Integer
2O,3C,0.99938,1
3C,4C,0.99819,1
3C,5H,0.99203,1
4C,6C,0.99867,1
4C,7C,0.99871,1
6C,8C,0.99915,1
6C,9H,0.99355,1
7C,10C,0.99910,1
7C,11H,0.99333,1
8C,12C,0.99885,1
8C,13H,0.99347,1
10C,12C,0.99894,1
10C,14H,0.99350,1
12C,15H,0.99336,1
16C,17C,0.99978,1
16C,18H,0.99310,1
16C,19H,0.99306,1
17C,20C,0.99979,1
20C,21H,0.99266,1
24O,42N,0.99599,1
25O,43N,0.99548,1
26C,27C,0.99677,1
26C,31C,0.99911,1
26C,42N,0.99901,1
27C,33C,0.99913,1
27C,43N,0.99901,1
28C,35C,0.99873,1
28C,41C,0.99837,1
28C,43N,0.99869,1
29C,30C,0.99876,1
29C,42N,0.99869,1
29C,44C,0.99835,1
30C,32C,0.99889,1
30C,45C,0.99216,1
31C,32C,0.99913,1
31C,36H,0.99372,1
32C,37H,0.99398,1
33C,34C,0.99913,1
33C,38H,0.99373,1
34C,35C,0.99888,1
34C,39H,0.99397,1
35C,40C,0.99205,1
40C,60C,0.99056,1
40C,61C,0.99056,1
40C,62C,0.99146,1
41C,59N,0.99998,1
44C,58N,0.99998,1
45C,46C,0.99057,1
45C,47C,0.99062,1
45C,48C,0.99153,1
46C,49H,0.99265,1
46C,50H,0.99220,1
46C,51H,0.99217,1
47C,52H,0.99213,1
47C,53H,0.99266,1
47C,54H,0.99211,1
48C,55H,0.99211,1
48C,56H,0.99236,1
48C,57H,0.99207,1
60C,63H,0.99272,1
60C,64H,0.99221,1
60C,65H,0.99217,1
61C,66H,0.99270,1
61C,67H,0.99213,1
61C,68H,0.99217,1
62C,69H,0.99209,1
62C,70H,0.99237,1
62C,71H,0.99211,1
