Element,X,Y,Z,Atom#,LEAE All area,LEAE Positive area,LEAE Negative area,LEAE Minimal value,LEAE Maximal value,LEAE All average,LEAE Positive average,LEAE Negative average,LEAE All variance,LEAE Positive variance,LEAE Negative variance,ESP All area (Ang^2),ESP Positive area (Ang^2),ESP Negative area (Ang^2),ESP Minimal value (kcal/mol),ESP Maximal value (kcal/mol),ESP All average (kcal/mol),ESP Positive average (kcal/mol),ESP Negative average (kcal/mol),ESP All variance (kcal/mol)^2,ESP Positive variance (kcal/mol)^2,ESP Negative variance (kcal/mol)^2,ESP Pi (kcal/mol),ESP nu,ESP nu*sigma^2,ALIE Area(Ang^2),ALIE Min value,ALIE Max value,ALIE Average,ALIE Variance
Si,-0.040287,-1.062943,1.156059,1,0.44551,0.00000,0.44551,-0.66023293,-0.00853237,-0.18715,NaN,-0.18715,NaN,NaN,0.03855,0.44551,0.44551,0.00000,49.36953858,108.24311969,79.30756,79.30756,NaN,NaN,182.43132,NaN,11.245698,NaN,NaN,0.44551,10.834946,13.296181,11.698646,0.274420
O,3.385575,-0.146582,0.552308,2,9.99217,0.00000,9.99217,-0.79766332,-0.00258242,-0.26150,NaN,-0.26150,NaN,NaN,0.04752,9.99217,9.99217,0.00000,31.68596285,108.24311969,56.80205,56.80205,NaN,NaN,309.06393,NaN,14.796620,NaN,NaN,9.99217,9.918301,15.309499,12.564233,0.848873
C,5.352799,-1.454246,0.845571,3,4.51683,0.00000,4.51683,-3.78313463,-0.10827382,-1.73606,NaN,-1.73606,NaN,NaN,0.86612,4.51683,4.51683,0.00000,65.09681790,105.94900371,91.78800,91.78800,NaN,NaN,44.71822,NaN,5.087282,NaN,NaN,4.51683,9.719936,15.256189,12.862484,0.886886
C,7.769813,-0.666418,-0.12636,4,5.71389,0.00000,5.71389,-1.98490265,-0.04754314,-0.47086,NaN,-0.47086,NaN,NaN,0.09583,5.71389,5.71389,0.00000,64.82541115,99.45377423,76.24044,76.24044,NaN,NaN,51.91094,NaN,5.932910,NaN,NaN,5.71389,10.480090,15.107866,11.593883,0.976885
H,5.249132,-3.208536,1.933738,5,10.40529,0.00000,10.40529,-3.25749583,-0.00626307,-0.43477,NaN,-0.43477,NaN,NaN,0.32666,10.40529,10.40529,0.00000,26.06872446,114.09630406,84.53803,84.53803,NaN,NaN,414.17236,NaN,15.605112,NaN,NaN,10.40529,9.000933,15.215030,12.207790,2.058760
C,8.049937,1.550656,-1.586822,6,4.74402,0.00000,4.74402,-1.75663876,-0.04506702,-0.91268,NaN,-0.91268,NaN,NaN,0.19686,4.74402,4.74402,0.00000,60.39243465,95.26834386,72.13264,72.13264,NaN,NaN,29.72158,NaN,4.311755,NaN,NaN,4.74402,10.143813,14.853549,11.006650,0.664222
C,9.890328,-2.185633,0.427983,7,4.72169,0.00000,4.72169,-1.82079721,-0.03954130,-0.92843,NaN,-0.92843,NaN,NaN,0.20871,4.72169,4.72169,0.00000,58.93759634,94.69159351,71.60629,71.60629,NaN,NaN,34.16545,NaN,4.502775,NaN,NaN,4.72169,10.220859,14.864933,11.056845,0.640407
C,10.426033,2.226054,-2.470135,8,4.71484,0.00000,4.71484,-1.22063434,-0.00881648,-0.65019,NaN,-0.65019,NaN,NaN,0.11188,4.71484,4.71484,0.00000,60.23313782,95.26834386,68.06443,68.06443,NaN,NaN,26.92222,NaN,3.948936,NaN,NaN,4.71484,10.008780,14.853549,10.810625,0.627491
H,6.398456,2.690242,-2.006536,9,9.19884,0.00000,9.19884,-1.65538300,-0.00441093,-0.36685,NaN,-0.36685,NaN,NaN,0.13410,9.19884,9.19884,0.00000,50.26077031,122.61844858,90.32673,90.32673,NaN,NaN,170.10045,NaN,10.485015,NaN,NaN,9.19884,10.724930,15.309499,12.243536,0.654746
C,12.265989,-1.491073,-0.460683,10,4.76102,0.00000,4.76102,-1.04895733,-0.01015280,-0.58914,NaN,-0.58914,NaN,NaN,0.07695,4.76102,4.76102,0.00000,58.69426741,95.26834386,66.16393,66.16393,NaN,NaN,28.07264,NaN,3.820799,NaN,NaN,4.76102,9.985581,14.864933,10.802619,0.642201
