Element,X,Y,Z,Atom#,LEAE All area,LEAE Positive area,LEAE Negative area,LEAE Minimal value,LEAE Maximal value,LEAE All average,LEAE Positive average,LEAE Negative average,LEAE All variance,LEAE Positive variance,LEAE Negative variance,ESP All area (Ang^2),ESP Positive area (Ang^2),ESP Negative area (Ang^2),ESP Minimal value (kcal/mol),ESP Maximal value (kcal/mol),ESP All average (kcal/mol),ESP Positive average (kcal/mol),ESP Negative average (kcal/mol),ESP All variance (kcal/mol)^2,ESP Positive variance (kcal/mol)^2,ESP Negative variance (kcal/mol)^2,ESP Pi (kcal/mol),ESP nu,ESP nu*sigma^2,ALIE Area(Ang^2),ALIE Min value,ALIE Max value,ALIE Average,ALIE Variance
Si,-0.005864,-2.382363,1.215801,1,0.31953,0.00000,0.31953,-0.21081385,-0.00572898,-0.06007,NaN,-0.06007,NaN,NaN,0.00093,0.31953,0.31953,0.00000,45.11940153,93.84378800,65.84189,65.84189,NaN,NaN,89.63885,NaN,6.979095,NaN,NaN,0.31953,10.822694,12.869136,11.453883,0.130106
O,2.478053,-4.353099,-0.461549,2,9.81092,0.00000,9.81092,-0.85878386,-0.00154121,-0.25173,NaN,-0.25173,NaN,NaN,0.04545,9.81092,9.81092,0.00000,18.58237176,103.00355830,49.19138,49.19138,NaN,NaN,387.68393,NaN,17.011524,NaN,NaN,9.81092,9.964212,15.360733,12.577484,0.867951
C,3.937193,-5.971389,0.496144,3,4.14723,0.00000,4.14723,-3.79345574,-0.10379307,-1.71379,NaN,-1.71379,NaN,NaN,0.86206,4.14723,4.14723,0.00000,64.01868956,102.71309530,88.77223,88.77223,NaN,NaN,44.92175,NaN,5.360504,NaN,NaN,4.14723,9.682307,15.360733,12.895713,1.012340
C,5.983861,-7.087645,-0.904516,4,5.71467,0.00000,5.71467,-1.99936900,-0.00087356,-0.41282,NaN,-0.41282,NaN,NaN,0.10792,5.71467,5.71467,0.00000,59.93992576,100.61120842,73.14105,73.14105,NaN,NaN,56.88787,NaN,6.073103,NaN,NaN,5.71467,10.480295,15.206023,11.583172,0.960349
H,3.596599,-6.621563,2.430025,5,10.63845,0.00000,10.63845,-3.25939647,-0.00037643,-0.40224,NaN,-0.40224,NaN,NaN,0.30316,10.63845,10.63845,0.00000,24.00383361,114.97550670,84.81006,84.81006,NaN,NaN,448.11012,NaN,16.201810,NaN,NaN,10.63845,8.902403,15.232868,12.290775,2.004830
C,6.546922,-6.356974,-3.410136,6,4.74748,0.00000,4.74748,-1.76343141,-0.03307573,-0.89748,NaN,-0.89748,NaN,NaN,0.20228,4.74748,4.74748,0.00000,54.85340981,94.42191606,67.93486,67.93486,NaN,NaN,38.58164,NaN,4.851805,NaN,NaN,4.74748,10.146474,14.921103,11.010449,0.687395
C,7.436936,-8.966992,0.307132,7,4.73509,0.00000,4.73509,-1.82869546,-0.03722752,-0.90973,NaN,-0.90973,NaN,NaN,0.21488,4.73509,4.73509,0.00000,56.67213442,94.42191606,70.52938,70.52938,NaN,NaN,40.41774,NaN,4.992759,NaN,NaN,4.73509,10.224583,14.921103,11.065612,0.655192
C,8.543692,-7.501139,-4.669664,8,4.70289,0.00000,4.70289,-1.18268144,-0.00668444,-0.62061,NaN,-0.62061,NaN,NaN,0.11069,4.70289,4.70289,0.00000,54.85340981,93.03058213,64.99482,64.99482,NaN,NaN,30.97270,NaN,4.174988,NaN,NaN,4.70289,9.997309,14.891532,10.805911,0.625492
H,5.412659,-4.907812,-4.315131,9,9.14803,0.00000,9.14803,-1.67429334,-0.00004699,-0.33097,NaN,-0.33097,NaN,NaN,0.13911,9.14803,9.14803,0.00000,42.69749355,112.33490409,82.52661,82.52661,NaN,NaN,145.07913,NaN,9.583807,NaN,NaN,9.14803,10.734461,15.360733,12.225996,0.665923
C,9.43261,-10.105399,-0.971693,10,4.73446,0.00000,4.73446,-0.99045037,-0.00710121,-0.54662,NaN,-0.54662,NaN,NaN,0.07443,4.73446,4.73446,0.00000,56.64819636,94.42191606,65.18041,65.18041,NaN,NaN,30.26660,NaN,4.051724,NaN,NaN,4.73446,9.982919,14.921103,10.805800,0.647675
H,6.98271,-9.507993,2.235633,11,8.77435,0.00000,8.77435,-1.71431906,-0.00017335,-0.35239,NaN,-0.35239,NaN,NaN,0.15182,8.77435,8.77435,0.00000,70.58573563,120.52241460,92.41227,92.41227,NaN,NaN,165.53071,NaN,10.952318,NaN,NaN,8.77435,10.779856,15.137427,12.280100,0.610501
C,9.9833,-9.371282,-3.453919,12,4.76024,0.00000,4.76024,-1.16960410,-0.00259222,-0.74131,NaN,-0.74131,NaN,NaN,0.10030,4.76024,4.76024,0.00000,57.26024615,94.42191606,67.57702,67.57702,NaN,NaN,27.75499,NaN,4.099456,NaN,NaN,4.76024,10.247488,14.921103,10.987801,0.577258
H,8.993779,-6.95501,-6.595677,13,8.93640,0.00000,8.93640,-1.13481465,-0.00004699,-0.25372,NaN,-0.25372,NaN,NaN,0.07578,8.93640,8.93640,0.00000,65.30095555,114.55716733,84.84984,84.84984,NaN,NaN,156.91640,NaN,10.141051,NaN,NaN,8.93640,10.627403,14.595614,12.044369,0.617191
H,10.556386,-11.554137,-0.05154,14,8.95057,0.00000,8.95057,-0.95808121,-0.00013276,-0.21437,NaN,-0.21437,NaN,NaN,0.05328,8.95057,8.95057,0.00000,65.48905376,113.66683826,84.52345,84.52345,NaN,NaN,152.11576,NaN,9.984265,NaN,NaN,8.95057,10.557605,14.638172,12.052106,0.625255
H,11.541967,-10.258641,-4.453533,15,8.85940,0.00000,8.85940,-1.07432152,-0.00004881,-0.24707,NaN,-0.24707,NaN,NaN,0.07054,8.85940,8.85940,0.00000,70.00127538,114.58898358,85.98611,85.98611,NaN,NaN,138.50199,NaN,9.603369,NaN,NaN,8.85940,10.884458,14.576049,12.131466,0.566789
C,7.236615,-2.244919,3.605148,16,3.73105,0.00000,3.73105,-1.08463620,-0.02456276,-0.33432,NaN,-0.33432,NaN,NaN,0.02589,3.73105,3.73105,0.00000,39.45779071,73.57557631,57.04533,57.04533,NaN,NaN,76.45897,NaN,7.423538,NaN,NaN,3.73105,8.824582,11.796356,9.624680,0.293312
C,4.886932,-1.445831,3.541031,17,9.63446,0.00000,9.63446,-0.52227549,-0.00190794,-0.14294,NaN,-0.14294,NaN,NaN,0.01268,9.63446,9.63446,0.00000,29.41250412,93.99991197,63.41195,63.41195,NaN,NaN,140.44604,NaN,9.611741,NaN,NaN,9.63446,9.082213,13.663572,10.530945,0.637669
H,8.696522,-1.407003,2.421667,18,9.02345,0.00000,9.02345,-0.50556656,-0.00163019,-0.11306,NaN,-0.11306,NaN,NaN,0.01167,9.02345,9.02345,0.00000,56.48610976,122.48814781,85.89166,85.89166,NaN,NaN,277.31458,NaN,13.959266,NaN,NaN,9.02345,9.564226,13.387337,11.643355,0.478526
H,7.807126,-3.763284,4.872568,19,9.00755,0.00000,9.00755,-0.48272146,-0.00082300,-0.11551,NaN,-0.11551,NaN,NaN,0.01316,9.00755,9.00755,0.00000,47.07859009,115.01584325,79.71448,79.71448,NaN,NaN,243.04384,NaN,12.773596,NaN,NaN,9.00755,9.557874,13.361562,11.599897,0.470065
C,2.518423,-0.799832,3.376633,20,4.69481,0.00000,4.69481,-0.64294071,-0.00793897,-0.10493,NaN,-0.10493,NaN,NaN,0.01195,4.69481,4.69481,0.00000,28.01876865,106.88623726,59.83837,59.83837,NaN,NaN,457.09655,NaN,19.393740,NaN,NaN,4.69481,9.200786,13.527634,10.402363,0.758776
H,1.819772,0.693624,4.615592,21,9.21605,0.00000,9.21605,-0.41802564,-0.01206412,-0.08284,NaN,-0.08284,NaN,NaN,0.00243,9.21605,9.21605,0.00000,38.11224216,116.38877134,78.79865,78.79865,NaN,NaN,331.49543,NaN,14.954024,NaN,NaN,9.21605,9.878370,14.526372,11.564901,0.420709
Cl,-2.764945,-4.11345,-1.505225,22,21.98109,0.00000,21.98109,-0.33670543,-0.00264365,-0.07550,NaN,-0.07550,NaN,NaN,0.00577,21.98109,21.98109,0.00000,0.09579942,83.68635861,23.49265,23.49265,NaN,NaN,190.98741,NaN,11.152635,NaN,NaN,21.98109,8.780008,12.067383,9.435800,0.285142
Cl,-0.969116,-5.267538,4.167337,23,21.57009,0.00000,21.57009,-0.27447023,-0.00012573,-0.05314,NaN,-0.05314,NaN,NaN,0.00467,21.57009,20.00270,1.56739,-3.92662326,67.89098594,13.74737,14.97080,-1.86571,115.28547,113.99478,1.29070,8.558459,0.011070,1.276245,21.57009,8.690854,11.405400,9.289657,0.267655
O,-2.385632,-0.062542,2.579729,24,9.50647,0.00000,9.50647,-1.28047740,-0.00461398,-0.13731,NaN,-0.13731,NaN,NaN,0.01636,9.50647,9.50647,0.00000,8.93109210,117.91309223,48.45495,48.45495,NaN,NaN,603.91568,NaN,20.802229,NaN,NaN,9.50647,10.319484,16.472876,12.045442,1.406767
O,0.491939,-0.013674,-1.527624,25,9.52710,0.00000,9.52710,-1.21512209,-0.00550027,-0.13658,NaN,-0.13658,NaN,NaN,0.01425,9.52710,9.52710,0.00000,15.79846209,116.64316066,45.86031,45.86031,NaN,NaN,571.99788,NaN,20.247753,NaN,NaN,9.52710,9.673999,16.407855,11.884409,1.375239
C,-3.454041,3.003943,-0.438428,26,4.16861,0.00000,4.16861,-1.77854586,-0.01681894,-0.99040,NaN,-0.99040,NaN,NaN,0.24695,4.16861,4.16861,0.00000,75.95138752,147.83283604,111.24053,111.24053,NaN,NaN,223.93354,NaN,13.177401,NaN,NaN,4.16861,11.255811,16.558007,12.800073,1.307832
C,-0.852467,3.977342,-0.176716,27,4.17053,0.00000,4.17053,-1.86417043,-0.01517736,-1.01463,NaN,-1.01463,NaN,NaN,0.25929,4.17053,4.17053,0.00000,89.78144923,153.07768478,117.19086,117.19086,NaN,NaN,124.89291,NaN,9.278237,NaN,NaN,4.17053,11.285223,16.483377,12.828408,1.292889
C,3.523092,3.084834,-0.811923,28,5.23749,0.00000,5.23749,-2.00146696,-0.01302792,-1.04447,NaN,-1.04447,NaN,NaN,0.23959,5.23749,5.23749,0.00000,87.69397807,155.19666294,118.66730,118.66730,NaN,NaN,103.42938,NaN,8.430965,NaN,NaN,5.23749,10.360819,17.080680,13.453384,1.710030
C,-6.488403,0.015407,1.054167,29,5.38518,0.00000,5.38518,-2.00449644,-0.01158344,-1.02841,NaN,-1.02841,NaN,NaN,0.25704,5.38518,5.38518,0.00000,56.13027482,148.83271914,104.28133,104.28133,NaN,NaN,219.42889,NaN,12.467721,NaN,NaN,5.38518,9.803484,17.115957,13.432541,1.795798
C,-8.388725,0.992291,-0.504067,30,5.40394,0.00000,5.40394,-1.40196516,-0.01029782,-0.90609,NaN,-0.90609,NaN,NaN,0.11729,5.40394,5.40394,0.00000,81.42598610,139.78341581,95.43807,95.43807,NaN,NaN,70.35696,NaN,6.793981,NaN,NaN,5.40394,11.284805,16.073051,12.308862,0.679614
C,-5.253376,4.0591,-2.048943,31,4.86149,0.00000,4.86149,-1.54556874,-0.03118697,-0.90562,NaN,-0.90562,NaN,NaN,0.12517,4.86149,4.86149,0.00000,89.60446269,144.59286987,109.10048,109.10048,NaN,NaN,120.02687,NaN,8.773276,NaN,NaN,4.86149,11.274555,16.028112,12.330081,0.833627
C,-7.686333,3.013658,-2.051356,32,4.68277,0.00000,4.68277,-2.29084779,-0.01029782,-1.19919,NaN,-1.19919,NaN,NaN,0.38002,4.68277,4.68277,0.00000,83.25141464,147.79671927,101.95357,101.95357,NaN,NaN,98.10631,NaN,8.022560,NaN,NaN,4.68277,10.911074,16.509070,11.832522,0.745446
C,-0.266423,6.425568,0.600079,33,4.91132,0.00000,4.91132,-1.61973244,-0.02148056,-0.93281,NaN,-0.93281,NaN,NaN,0.13985,4.91132,4.91132,0.00000,100.48061667,152.30470476,115.41600,115.41600,NaN,NaN,70.83624,NaN,6.540211,NaN,NaN,4.91132,11.329181,16.313375,12.385729,0.835021
