Element,X,Y,Z,Atom#,LEAE All area,LEAE Positive area,LEAE Negative area,LEAE Minimal value,LEAE Maximal value,LEAE All average,LEAE Positive average,LEAE Negative average,LEAE All variance,LEAE Positive variance,LEAE Negative variance,ESP All area (Ang^2),ESP Positive area (Ang^2),ESP Negative area (Ang^2),ESP Minimal value (kcal/mol),ESP Maximal value (kcal/mol),ESP All average (kcal/mol),ESP Positive average (kcal/mol),ESP Negative average (kcal/mol),ESP All variance (kcal/mol)^2,ESP Positive variance (kcal/mol)^2,ESP Negative variance (kcal/mol)^2,ESP Pi (kcal/mol),ESP nu,ESP nu*sigma^2,ALIE Area(Ang^2),ALIE Min value,ALIE Max value,ALIE Average,ALIE Variance
Si,0.152879,1.975883,1.141207,1,0.27031,0.00000,0.27031,-0.27840808,-0.01815594,-0.08276,NaN,-0.08276,NaN,NaN,0.00256,0.27031,0.27031,0.00000,56.96985954,86.39662685,74.78561,74.78561,NaN,NaN,35.03158,NaN,4.858104,NaN,NaN,0.27031,10.853468,12.770916,11.655153,0.199652
O,-2.402025,3.907704,-0.47167,2,9.98100,0.00000,9.98100,-0.86332035,-0.00201948,-0.26271,NaN,-0.26271,NaN,NaN,0.05077,9.98100,9.98100,0.00000,17.57789109,91.23548140,50.26125,50.26125,NaN,NaN,398.27842,NaN,17.444193,NaN,NaN,9.98100,10.179072,15.384411,12.632029,0.892330
C,-3.969882,5.319239,0.632289,3,4.46025,0.00000,4.46025,-3.88145055,-0.11224758,-1.87400,NaN,-1.87400,NaN,NaN,1.00532,4.46025,4.46025,0.00000,73.78749819,111.17578944,93.10053,93.10053,NaN,NaN,63.27794,NaN,6.458613,NaN,NaN,4.46025,11.253543,15.378365,13.166951,0.437400
C,-5.669479,6.93847,-0.727983,4,5.74005,0.00000,5.74005,-2.00387805,-0.00087449,-0.41807,NaN,-0.41807,NaN,NaN,0.11392,5.74005,5.74005,0.00000,62.19423111,103.35837548,74.88090,74.88090,NaN,NaN,59.64971,NaN,6.359445,NaN,NaN,5.74005,10.555611,15.262353,11.666883,0.977883
H,-4.077948,5.286768,2.697221,5,11.00652,0.00000,11.00652,-3.34543349,-0.00272644,-0.38791,NaN,-0.38791,NaN,NaN,0.33527,11.00652,11.00652,0.00000,31.63594320,119.86046523,87.84796,87.84796,NaN,NaN,393.73249,NaN,15.891881,NaN,NaN,11.00652,8.952558,15.259708,12.222503,1.723869
C,-5.637129,7.100485,-3.395175,6,4.73624,0.00000,4.73624,-1.79889208,-0.03740458,-0.92918,NaN,-0.92918,NaN,NaN,0.21763,4.73624,4.73624,0.00000,56.38119004,94.54138108,68.20596,68.20596,NaN,NaN,32.36885,NaN,4.237843,NaN,NaN,4.73624,10.212952,14.962646,11.073730,0.671790
C,-7.400207,8.394235,0.689287,7,4.72061,0.00000,4.72061,-1.87400121,-0.04760586,-0.94229,NaN,-0.94229,NaN,NaN,0.22910,4.72061,4.72061,0.00000,60.95851345,94.64993815,72.98612,72.98612,NaN,NaN,33.62024,NaN,4.605885,NaN,NaN,4.72061,10.301875,14.962646,11.134632,0.643573
C,-7.318182,8.705263,-4.608955,8,4.71687,0.00000,4.71687,-1.21402887,-0.00171780,-0.63783,NaN,-0.63783,NaN,NaN,0.11675,4.71687,4.71687,0.00000,56.38119004,94.54138108,65.50807,65.50807,NaN,NaN,28.55873,NaN,3.937182,NaN,NaN,4.71687,10.054623,14.911631,10.860104,0.615531
H,-4.292339,5.973579,-4.45649,9,9.13726,0.00000,9.13726,-1.69810903,-0.00001641,-0.34197,NaN,-0.34197,NaN,NaN,0.14807,9.13726,9.13726,0.00000,43.72310717,109.92845316,81.25764,81.25764,NaN,NaN,130.07321,NaN,9.112035,NaN,NaN,9.13726,10.829301,15.384411,12.271127,0.667209
C,-9.079406,9.995489,-0.546031,10,4.70412,0.00000,4.70412,-1.02017478,-0.00389988,-0.56010,NaN,-0.56010,NaN,NaN,0.07947,4.70412,4.70412,0.00000,60.08943250,94.27128076,67.00086,67.00086,NaN,NaN,26.32401,NaN,3.788574,NaN,NaN,4.70412,10.041093,14.911631,10.849558,0.638691
H,-7.401693,8.248244,2.737858,11,8.79648,0.00000,8.79648,-1.77734570,-0.00013307,-0.35893,NaN,-0.35893,NaN,NaN,0.16001,8.79648,8.79648,0.00000,75.30100199,123.94403037,95.53883,95.53883,NaN,NaN,166.47366,NaN,11.062507,NaN,NaN,8.79648,10.872820,15.259708,12.346720,0.614847
C,-9.034461,10.149976,-3.188004,12,4.77508,0.00000,4.77508,-1.22281797,-0.00171780,-0.77554,NaN,-0.77554,NaN,NaN,0.10773,4.77508,4.77508,0.00000,60.02978272,94.54138108,69.16477,69.16477,NaN,NaN,25.64717,NaN,3.980130,NaN,NaN,4.77508,10.333487,14.911631,11.065813,0.578210
H,-7.308744,8.849531,-6.655544,13,8.91334,0.00000,8.91334,-1.16112147,-0.00003878,-0.25821,NaN,-0.25821,NaN,NaN,0.07896,8.91334,8.91334,0.00000,65.99259204,114.02747251,84.59226,84.59226,NaN,NaN,153.24430,NaN,10.035405,NaN,NaN,8.91334,10.669797,14.625459,12.081991,0.621257
H,-10.414827,11.121148,0.529666,14,8.90932,0.00000,8.90932,-0.99039790,-0.00001651,-0.22022,NaN,-0.22022,NaN,NaN,0.05652,8.90932,8.90932,0.00000,68.66681839,115.69246299,86.47984,86.47984,NaN,NaN,152.39243,NaN,10.031900,NaN,NaN,8.90932,10.625793,14.710966,12.086873,0.606922
H,-10.342813,11.404293,-4.152817,15,8.85792,0.00000,8.85792,-1.13660072,-0.00003884,-0.25514,NaN,-0.25514,NaN,NaN,0.07604,8.85792,8.85792,0.00000,72.11290613,115.64211826,87.20772,87.20772,NaN,NaN,135.42307,NaN,9.495141,NaN,NaN,8.85792,10.914565,14.613092,12.187313,0.574667
C,0.153143,9.27954,3.121106,16,3.90775,0.00000,3.90775,-0.42318451,-0.00950255,-0.21433,NaN,-0.21433,NaN,NaN,0.01132,3.90775,3.90775,0.00000,19.82525089,65.38001007,36.74834,36.74834,NaN,NaN,95.03055,NaN,8.153068,NaN,NaN,3.90775,8.585005,11.766756,9.317339,0.321263
C,0.67295,6.87328,3.435301,17,9.61534,0.00000,9.61534,-0.86949960,-0.00160272,-0.10011,NaN,-0.10011,NaN,NaN,0.00999,9.61534,9.61534,0.00000,16.86531096,87.73835527,43.09955,43.09955,NaN,NaN,181.92333,NaN,10.371409,NaN,NaN,9.61534,8.876679,13.588743,10.270889,0.771014
H,-1.60019,10.100588,3.821854,18,9.04428,0.00000,9.04428,-0.35265852,-0.00056265,-0.08150,NaN,-0.08150,NaN,NaN,0.00617,9.04428,9.04428,0.00000,32.96527192,107.83954262,69.72262,69.72262,NaN,NaN,304.60334,NaN,14.342659,NaN,NaN,9.04428,9.356049,13.171165,11.417154,0.485161
H,1.480553,10.541924,2.180908,19,8.97113,0.00000,8.97113,-0.35188746,-0.00043746,-0.07700,NaN,-0.07700,NaN,NaN,0.00683,8.97113,8.97113,0.00000,30.24876428,96.27830091,60.07207,60.07207,NaN,NaN,260.97438,NaN,13.310538,NaN,NaN,8.97113,9.334730,13.139621,11.380372,0.473522
C,1.108948,4.456418,3.612083,20,4.60074,0.00000,4.60074,-0.21130579,-0.00167940,-0.03647,NaN,-0.03647,NaN,NaN,0.00051,4.60074,4.60074,0.00000,16.75425641,85.38197864,37.09464,37.09464,NaN,NaN,165.99158,NaN,9.934438,NaN,NaN,4.60074,8.891813,13.084058,9.861727,0.663365
H,2.07868,3.706983,5.269518,21,9.40401,0.00000,9.40401,-0.28425719,-0.00200991,-0.04160,NaN,-0.04160,NaN,NaN,0.00135,9.40401,9.40401,0.00000,29.48866694,96.05137976,58.92791,58.92791,NaN,NaN,268.13453,NaN,13.648451,NaN,NaN,9.40401,9.588669,14.688499,11.407136,0.485861
Cl,-2.773056,0.297209,3.918204,22,20.95621,0.00000,20.95621,-0.39752526,-0.00180031,-0.05658,NaN,-0.05658,NaN,NaN,0.00268,20.95621,20.95621,0.00000,13.49325132,87.41492828,33.88212,33.88212,NaN,NaN,181.63161,NaN,10.292267,NaN,NaN,20.95621,8.782864,11.878774,9.346848,0.228863
Cl,2.837779,3.432508,-1.847547,23,22.48693,0.00000,22.48693,-0.25250010,-0.00182421,-0.05287,NaN,-0.05287,NaN,NaN,0.00235,22.48693,22.48693,0.00000,8.80766491,86.26410516,26.68771,26.68771,NaN,NaN,189.39597,NaN,10.774059,NaN,NaN,22.48693,8.696506,12.021994,9.331579,0.272040
O,-0.678425,-0.431184,-1.361225,24,9.27699,0.00000,9.27699,-1.25841958,-0.01516075,-0.16436,NaN,-0.16436,NaN,NaN,0.01550,9.27699,9.27699,0.00000,18.66732152,117.35990594,49.82546,49.82546,NaN,NaN,583.82056,NaN,20.689213,NaN,NaN,9.27699,9.700897,16.919959,12.099392,1.374161
O,2.423636,-0.424909,2.475422,25,9.75859,0.00000,9.75859,-1.30143547,-0.00756369,-0.14909,NaN,-0.14909,NaN,NaN,0.01706,9.75859,9.75859,0.00000,20.58953435,119.82437805,51.37536,51.37536,NaN,NaN,533.18707,NaN,19.721656,NaN,NaN,9.75859,9.901711,16.767408,12.136687,1.379985
C,0.611151,-4.524371,-0.242507,26,5.03068,0.00000,5.03068,-2.14212384,-0.02113127,-1.14677,NaN,-1.14677,NaN,NaN,0.27051,5.03068,5.03068,0.00000,96.15722532,154.34294873,117.26575,117.26575,NaN,NaN,118.30816,NaN,9.242607,NaN,NaN,5.03068,11.633020,16.871900,12.978891,0.978234
C,3.255909,-3.707909,-0.399732,27,4.98745,0.00000,4.98745,-2.06028492,-0.02935261,-1.13519,NaN,-1.13519,NaN,NaN,0.25799,4.98745,4.98745,0.00000,92.71797731,151.43966616,116.64867,116.64867,NaN,NaN,114.33020,NaN,9.009650,NaN,NaN,4.98745,11.644529,16.853078,12.963002,0.978779
C,6.475589,-0.824603,0.855556,28,5.29439,0.00000,5.29439,-2.15623475,-0.01252704,-1.11538,NaN,-1.11538,NaN,NaN,0.28254,5.29439,5.29439,0.00000,83.50708947,153.13508831,111.82510,111.82510,NaN,NaN,163.97336,NaN,10.811803,NaN,NaN,5.29439,11.962894,17.236097,13.684441,1.648953
C,-3.748782,-3.49009,-0.675796,29,5.39851,0.00000,5.39851,-2.13584439,-0.00971964,-1.08785,NaN,-1.08785,NaN,NaN,0.29755,5.39851,5.39851,0.00000,65.03720472,155.38816535,112.97093,112.97093,NaN,NaN,236.42714,NaN,12.741325,NaN,NaN,5.39851,9.786299,17.239848,13.505492,2.008238
C,-4.528317,-5.963036,-0.152501,30,5.44768,0.00000,5.44768,-1.49636129,-0.00971964,-0.97158,NaN,-0.97158,NaN,NaN,0.12012,5.44768,5.44768,0.00000,88.00866238,145.92787223,103.15874,103.15874,NaN,NaN,62.72982,NaN,6.203862,NaN,NaN,5.44768,11.415059,16.106547,12.428876,0.662246
C,-0.058765,-7.019809,0.216249,31,4.64168,0.00000,4.64168,-1.99280945,-0.02345771,-1.08045,NaN,-1.08045,NaN,NaN,0.23798,4.64168,4.64168,0.00000,95.39571928,154.34294873,111.23554,111.23554,NaN,NaN,93.70527,NaN,7.651417,NaN,NaN,4.64168,11.093011,16.820563,11.990436,0.722449
C,-2.591204,-7.721529,0.279513,32,4.68549,0.00000,4.68549,-2.36860249,-0.00971964,-1.27040,NaN,-1.27040,NaN,NaN,0.39001,4.68549,4.68549,0.00000,92.46364720,150.82095362,107.65184,107.65184,NaN,NaN,72.20469,NaN,6.509843,NaN,NaN,4.68549,11.197998,16.871900,12.009426,0.647909
C,5.036256,-5.034572,-1.798643,33,4.66394,0.00000,4.66394,-1.97584075,-0.01887249,-1.07084,NaN,-1.07084,NaN,NaN,0.23651,4.66394,4.66394,0.00000,94.36345566,151.43966616,110.30574,110.30574,NaN,NaN,90.35340,NaN,7.409300,NaN,NaN,4.66394,11.085178,16.651562,11.991443,0.768532
C,7.530336,-4.212156,-1.896694,34,4.67930,0.00000,4.67930,-2.33746459,-0.01252704,-1.25378,NaN,-1.25378,NaN,NaN,0.37820,4.67930,4.67930,0.00000,90.20871560,150.48451600,105.69057,105.69057,NaN,NaN,67.02764,NaN,6.288029,NaN,NaN,4.67930,11.169203,16.450271,11.977637,0.615574
C,8.328883,-2.055984,-0.576378,35,5.38576,0.00000,5.38576,-1.49202712,-0.01297164,-0.96407,NaN,-0.96407,NaN,NaN,0.12211,5.38576,5.38576,0.00000,85.86707085,144.74669975,100.67449,100.67449,NaN,NaN,61.83293,NaN,6.058863,NaN,NaN,5.38576,11.412188,15.753206,12.421783,0.675504
H,1.422525,-8.381383,0.590621,36,8.95906,0.00000,8.95906,-1.89078425,-0.00812688,-0.47086,NaN,-0.47086,NaN,NaN,0.18288,8.95906,8.95906,0.00000,107.14024795,164.10348624,133.61246,133.61246,NaN,NaN,193.07455,NaN,11.626073,NaN,NaN,8.95906,11.661898,15.780721,13.235699,0.690024
H,-3.098125,-9.659953,0.708154,37,8.84543,0.00000,8.84543,-2.25823104,-0.00416477,-0.51835,NaN,-0.51835,NaN,NaN,0.24988,8.84543,8.84543,0.00000,100.85017478,151.43651873,122.69302,122.69302,NaN,NaN,142.55494,NaN,9.687791,NaN,NaN,8.84543,11.778381,15.646060,13.053998,0.530613
H,4.424888,-6.670544,-2.865365,38,8.99175,0.00000,8.99175,-1.89986549,-0.00874391,-0.47262,NaN,-0.47262,NaN,NaN,0.17990,8.99175,8.99175,0.00000,106.89389852,163.97717489,133.41982,133.41982,NaN,NaN,196.77281,NaN,11.794022,NaN,NaN,8.99175,11.628778,15.780721,13.226014,0.679139
H,8.888608,-5.223649,-3.049374,39,8.86864,0.00000,8.86864,-2.21981288,-0.00401778,-0.51509,NaN,-0.51509,NaN,NaN,0.24734,8.86864,8.86864,0.00000,98.76091852,149.89291437,121.02267,121.02267,NaN,NaN,144.64808,NaN,9.835282,NaN,NaN,8.86864,11.677059,15.629655,13.038645,0.538272
N,-1.275308,-2.806198,-0.694856,40,4.53317,0.00000,4.53317,-0.93689988,-0.01530752,-0.37901,NaN,-0.37901,NaN,NaN,0.03647,4.53317,4.53317,0.00000,64.69526988,155.38816535,108.39662,108.39662,NaN,NaN,256.44609,NaN,12.664300,NaN,NaN,4.53317,10.189662,17.239848,14.291275,1.584422
N,4.0363,-1.623611,0.930036,41,4.81109,0.00000,4.81109,-0.91779464,-0.01887249,-0.37495,NaN,-0.37495,NaN,NaN,0.03306,4.81109,4.81109,0.00000,62.04952491,153.13508831,105.51526,105.51526,NaN,NaN,263.88133,NaN,13.060896,NaN,NaN,4.81109,10.080776,17.219026,14.199542,1.680153
