Element,X,Y,Z,Atom#,LEAE All area,LEAE Positive area,LEAE Negative area,LEAE Minimal value,LEAE Maximal value,LEAE All average,LEAE Positive average,LEAE Negative average,LEAE All variance,LEAE Positive variance,LEAE Negative variance,ESP All area (Ang^2),ESP Positive area (Ang^2),ESP Negative area (Ang^2),ESP Minimal value (kcal/mol),ESP Maximal value (kcal/mol),ESP All average (kcal/mol),ESP Positive average (kcal/mol),ESP Negative average (kcal/mol),ESP All variance (kcal/mol)^2,ESP Positive variance (kcal/mol)^2,ESP Negative variance (kcal/mol)^2,ESP Pi (kcal/mol),ESP nu,ESP nu*sigma^2,ALIE Area(Ang^2),ALIE Min value,ALIE Max value,ALIE Average,ALIE Variance
Si,-0.769532,3.271154,1.86108,1,0.55729,0.00000,0.55729,-0.12234615,-0.01179105,-0.04322,NaN,-0.04322,NaN,NaN,0.00038,0.55729,0.55729,0.00000,34.77528286,99.04581371,62.57301,62.57301,NaN,NaN,198.40871,NaN,11.684072,NaN,NaN,0.55729,10.571656,12.888158,11.423345,0.160190
O,2.238898,2.863171,-0.143281,2,8.63692,0.00000,8.63692,-1.16687796,-0.00727149,-0.29191,NaN,-0.29191,NaN,NaN,0.05477,8.63692,8.63692,0.00000,43.67301670,111.39662879,75.41494,75.41494,NaN,NaN,283.67120,NaN,14.445175,NaN,NaN,8.63692,10.888029,15.440045,12.865384,0.787185
C,4.194912,4.212664,-0.242114,3,4.10782,0.00000,4.10782,-3.72918554,-0.09095981,-1.73948,NaN,-1.73948,NaN,NaN,0.82255,4.10782,4.10782,0.00000,67.00037349,122.19869966,102.78312,102.78312,NaN,NaN,139.47854,NaN,10.056682,NaN,NaN,4.10782,9.577966,15.468846,12.943920,1.033718
C,6.173255,3.696956,-2.0406,4,5.06556,0.00000,5.06556,-2.02190714,-0.01838109,-0.47957,NaN,-0.47957,NaN,NaN,0.11762,5.06556,5.06556,0.00000,76.91519359,113.24638034,91.35880,91.35880,NaN,NaN,90.85359,NaN,8.516512,NaN,NaN,5.06556,10.612932,15.249038,11.826467,0.979805
H,4.48429,5.694573,1.168265,5,10.47431,0.00000,10.47431,-3.22499654,-0.00090570,-0.40623,NaN,-0.40623,NaN,NaN,0.31326,10.47431,10.47431,0.00000,28.24885672,122.58283572,91.05197,91.05197,NaN,NaN,503.23332,NaN,17.708865,NaN,NaN,10.47431,8.935882,15.486326,12.287641,2.108414
C,5.897174,1.827828,-3.927733,6,4.61632,0.00000,4.61632,-1.80330704,-0.04876888,-0.95390,NaN,-0.95390,NaN,NaN,0.21607,4.61632,4.61632,0.00000,73.16351216,112.75369048,88.96689,88.96689,NaN,NaN,59.13820,NaN,6.567568,NaN,NaN,4.61632,10.321425,15.003546,11.192758,0.651817
C,8.478765,5.009479,-1.777457,7,4.64664,0.00000,4.64664,-1.92118197,-0.05379724,-0.96289,NaN,-0.96289,NaN,NaN,0.23642,4.64664,4.64664,0.00000,71.74729440,113.24638034,86.67723,86.67723,NaN,NaN,48.24182,NaN,5.668875,NaN,NaN,4.64664,10.407505,14.990859,11.221038,0.633535
C,7.915607,1.279494,-5.508531,8,4.71099,0.00000,4.71099,-1.32089614,-0.01248092,-0.68883,NaN,-0.68883,NaN,NaN,0.13129,4.71099,4.71099,0.00000,73.16351216,112.87865649,83.35883,83.35883,NaN,NaN,37.06093,NaN,4.583291,NaN,NaN,4.71099,10.161134,14.990859,10.971108,0.620607
H,4.109533,0.841741,-4.115669,9,9.12763,0.00000,9.12763,-1.75416048,-0.00144678,-0.35982,NaN,-0.35982,NaN,NaN,0.15605,9.12763,9.12763,0.00000,63.80102014,139.47595735,106.14560,106.14560,NaN,NaN,198.65294,NaN,11.183449,NaN,NaN,9.12763,10.918677,15.468846,12.360717,0.588928
C,10.498252,4.433458,-3.361286,10,4.69008,0.00000,4.69008,-1.08223134,-0.01249972,-0.59375,NaN,-0.59375,NaN,NaN,0.08600,4.69008,4.69008,0.00000,71.64730293,112.35683857,81.48085,81.48085,NaN,NaN,39.09106,NaN,4.764209,NaN,NaN,4.69008,10.149038,14.990859,10.948360,0.607165
H,8.665594,6.441755,-0.31775,11,8.81053,0.00000,8.81053,-1.83394399,-0.00036502,-0.37659,NaN,-0.37659,NaN,NaN,0.17244,8.81053,8.81053,0.00000,84.07542474,130.31401270,103.55882,103.55882,NaN,NaN,142.88235,NaN,10.165595,NaN,NaN,8.81053,10.914442,15.486326,12.408448,0.624972
C,10.215391,2.571813,-5.219996,12,4.77978,0.00000,4.77978,-1.22873086,-0.00687531,-0.78077,NaN,-0.78077,NaN,NaN,0.10904,4.77978,4.77978,0.00000,72.18825683,112.87865649,84.04429,84.04429,NaN,NaN,33.32918,NaN,4.293365,NaN,NaN,4.77978,10.390527,14.990859,11.137293,0.582084
H,7.725127,-0.156273,-6.961658,13,8.92503,0.00000,8.92503,-1.27172349,-0.00015786,-0.28172,NaN,-0.28172,NaN,NaN,0.09375,8.92503,8.92503,0.00000,83.23874067,133.90293595,104.00813,104.00813,NaN,NaN,166.58801,NaN,10.592990,NaN,NaN,8.92503,10.715011,14.760405,12.189046,0.614790
H,12.284184,5.421112,-3.155177,14,8.90516,0.00000,8.90516,-1.04069169,-0.00013851,-0.23165,NaN,-0.23165,NaN,NaN,0.06320,8.90516,8.90516,0.00000,79.11928799,125.90918684,97.79837,97.79837,NaN,NaN,138.75434,NaN,9.478826,NaN,NaN,8.90516,10.682231,14.779115,12.169961,0.613440
H,11.793187,2.120089,-6.45323,15,8.88619,0.00000,8.88619,-1.14690908,-0.00008331,-0.25914,NaN,-0.25914,NaN,NaN,0.07783,8.88619,8.88619,0.00000,83.94139492,128.27122363,100.43292,100.43292,NaN,NaN,129.82901,NaN,9.244369,NaN,NaN,8.88619,10.992301,14.710932,12.261588,0.581822
C,1.709303,8.890453,-2.550129,16,3.54399,0.00000,3.54399,-1.06310532,-0.00955983,-0.29192,NaN,-0.29192,NaN,NaN,0.02131,3.54399,3.54399,0.00000,26.03931459,72.96393996,50.26883,50.26883,NaN,NaN,219.37395,NaN,13.866323,NaN,NaN,3.54399,8.804196,11.700284,9.596239,0.277525
C,-0.025164,7.708408,-1.216485,17,9.62297,0.00000,9.62297,-0.42435483,-0.00485621,-0.10690,NaN,-0.10690,NaN,NaN,0.00844,9.62297,9.62297,0.00000,16.85485966,91.98093662,48.14356,48.14356,NaN,NaN,179.68507,NaN,10.837216,NaN,NaN,9.62297,9.000408,13.469418,10.356056,0.697026
H,2.942014,10.295462,-1.686942,18,8.99319,0.00000,8.99319,-0.40152049,-0.00064568,-0.08041,NaN,-0.08041,NaN,NaN,0.00745,8.99319,8.99319,0.00000,36.79250514,108.06413458,72.64389,72.64389,NaN,NaN,267.89593,NaN,13.160254,NaN,NaN,8.99319,9.529198,13.249087,11.506425,0.461936
H,1.918543,8.554953,-4.570397,19,9.01375,0.00000,9.01375,-0.38132543,-0.00070897,-0.07755,NaN,-0.07755,NaN,NaN,0.00632,9.01375,9.01375,0.00000,38.67143210,111.29113756,74.56983,74.56983,NaN,NaN,273.71541,NaN,13.510585,NaN,NaN,9.01375,9.478829,13.216285,11.506022,0.469647
C,-1.589934,6.394143,0.14874,20,5.12797,0.00000,5.12797,-0.33300925,-0.00323659,-0.03258,NaN,-0.03258,NaN,NaN,0.00101,5.12797,5.12797,0.00000,16.03275656,94.63476460,37.38893,37.38893,NaN,NaN,212.83235,NaN,11.218281,NaN,NaN,5.12797,8.926855,13.387570,10.003564,0.766386
H,-3.529551,7.037096,0.408177,21,9.92175,0.00000,9.92175,-0.28872987,-0.00173865,-0.06361,NaN,-0.06361,NaN,NaN,0.00162,9.92175,9.92175,0.00000,20.98197282,94.02972746,55.51141,55.51141,NaN,NaN,269.63101,NaN,13.347295,NaN,NaN,9.92175,9.137982,12.541997,11.293228,0.347286
Cl,1.344381,5.04794,5.051189,22,21.47245,0.00000,21.47245,-0.23762029,-0.00052224,-0.04916,NaN,-0.04916,NaN,NaN,0.00341,21.47245,17.96984,3.50261,-7.20461884,79.93597065,15.26704,18.91912,-3.46965,163.16169,158.92744,4.23425,11.478875,0.025278,4.124364,21.47245,8.705831,11.626749,9.340862,0.269444
