Element,X,Y,Z,Atom#,LEAE All area,LEAE Positive area,LEAE Negative area,LEAE Minimal value,LEAE Maximal value,LEAE All average,LEAE Positive average,LEAE Negative average,LEAE All variance,LEAE Positive variance,LEAE Negative variance,ESP All area (Ang^2),ESP Positive area (Ang^2),ESP Negative area (Ang^2),ESP Minimal value (kcal/mol),ESP Maximal value (kcal/mol),ESP All average (kcal/mol),ESP Positive average (kcal/mol),ESP Negative average (kcal/mol),ESP All variance (kcal/mol)^2,ESP Positive variance (kcal/mol)^2,ESP Negative variance (kcal/mol)^2,ESP Pi (kcal/mol),ESP nu,ESP nu*sigma^2,ALIE Area(Ang^2),ALIE Min value,ALIE Max value,ALIE Average,ALIE Variance
Si,0.700521,-2.964549,2.422003,1,0.45226,0.00000,0.45226,-0.18101899,-0.00800162,-0.04322,NaN,-0.04322,NaN,NaN,0.00070,0.45226,0.45226,0.00000,35.23933321,78.83658958,58.99374,58.99374,NaN,NaN,97.29127,NaN,8.056697,NaN,NaN,0.45226,10.661940,12.021827,11.354728,0.074579
O,-2.485767,-3.059841,0.64735,2,9.37452,0.00000,9.37452,-0.91204952,-0.00610657,-0.27625,NaN,-0.27625,NaN,NaN,0.05195,9.37452,9.37452,0.00000,21.78010438,122.98812690,66.09801,66.09801,NaN,NaN,770.79007,NaN,23.862759,NaN,NaN,9.37452,9.867344,15.465257,12.672680,1.042298
C,-2.992657,-3.206009,-1.675424,3,4.02739,0.00000,4.02739,-3.82696446,-0.07794753,-1.66970,NaN,-1.66970,NaN,NaN,0.88259,4.02739,4.02739,0.00000,70.12092504,141.16082768,109.87079,109.87079,NaN,NaN,346.09869,NaN,16.918946,NaN,NaN,4.02739,9.689327,15.421188,12.959091,1.085959
C,-5.504893,-3.797563,-2.54473,4,5.71723,0.00000,5.71723,-2.18812425,-0.01084923,-0.43654,NaN,-0.43654,NaN,NaN,0.11252,5.71723,5.71723,0.00000,74.60447994,124.67174639,92.06721,92.06721,NaN,NaN,113.42171,NaN,8.804326,NaN,NaN,5.71723,10.602800,15.089384,11.691748,0.927408
H,-1.551968,-2.731013,-3.078075,5,9.31763,0.00000,9.31763,-3.25831151,-0.00806972,-0.48432,NaN,-0.48432,NaN,NaN,0.31740,9.31763,9.31763,0.00000,62.54360588,145.69625283,115.05873,115.05873,NaN,NaN,345.59996,NaN,15.443852,NaN,NaN,9.31763,9.570710,15.606352,12.891656,1.134400
C,-7.426195,-4.550419,-0.850653,6,4.09680,0.00000,4.09680,-1.75640426,-0.04146286,-0.88961,NaN,-0.88961,NaN,NaN,0.20261,4.09680,4.09680,0.00000,66.53260469,109.93477123,83.67735,83.67735,NaN,NaN,87.15308,NaN,8.450070,NaN,NaN,4.09680,10.281373,14.834872,11.242965,0.624646
C,-6.033622,-3.530653,-5.143578,7,4.76129,0.00000,4.76129,-1.88545710,-0.03966062,-0.94064,NaN,-0.94064,NaN,NaN,0.22869,4.76129,4.76129,0.00000,72.43069754,117.62382965,88.68730,88.68730,NaN,NaN,59.68688,NaN,6.167870,NaN,NaN,4.76129,10.317657,14.969218,11.158650,0.640524
C,-9.842911,-5.013109,-1.760359,8,4.64854,0.00000,4.64854,-1.28403394,-0.00646271,-0.65789,NaN,-0.65789,NaN,NaN,0.12792,4.64854,4.64854,0.00000,66.53260469,110.56747358,79.35291,79.35291,NaN,NaN,55.01924,NaN,6.301044,NaN,NaN,4.64854,10.115131,14.933226,10.939431,0.623498
H,-6.984779,-4.75607,1.141209,9,9.14584,0.00000,9.14584,-1.67588870,-0.00028912,-0.34698,NaN,-0.34698,NaN,NaN,0.14992,9.14584,9.14584,0.00000,44.42097535,113.76610592,89.53424,89.53424,NaN,NaN,108.59665,NaN,7.961397,NaN,NaN,9.14584,10.821336,15.421188,12.265653,0.612668
C,-8.467286,-3.977943,-6.034725,10,4.72313,0.00000,4.72313,-1.05522282,-0.01128427,-0.57713,NaN,-0.57713,NaN,NaN,0.08244,4.72313,4.72313,0.00000,70.41368747,109.60174704,80.41940,80.41940,NaN,NaN,34.01625,NaN,4.358655,NaN,NaN,4.72313,10.088272,14.818487,10.900485,0.608481
