Element,X,Y,Z,Atom#,LEAE All area,LEAE Positive area,LEAE Negative area,LEAE Minimal value,LEAE Maximal value,LEAE All average,LEAE Positive average,LEAE Negative average,LEAE All variance,LEAE Positive variance,LEAE Negative variance,ESP All area (Ang^2),ESP Positive area (Ang^2),ESP Negative area (Ang^2),ESP Minimal value (kcal/mol),ESP Maximal value (kcal/mol),ESP All average (kcal/mol),ESP Positive average (kcal/mol),ESP Negative average (kcal/mol),ESP All variance (kcal/mol)^2,ESP Positive variance (kcal/mol)^2,ESP Negative variance (kcal/mol)^2,ESP Pi (kcal/mol),ESP nu,ESP nu*sigma^2,ALIE Area(Ang^2),ALIE Min value,ALIE Max value,ALIE Average,ALIE Variance
Si,-0.401627,1.630582,2.605377,1,0.63757,0.00000,0.63757,-0.14673481,-0.00402671,-0.04795,NaN,-0.04795,NaN,NaN,0.00062,0.63757,0.63757,0.00000,45.76433167,98.23072441,68.45428,68.45428,NaN,NaN,162.15455,NaN,11.016841,NaN,NaN,0.63757,10.789275,13.071852,11.375591,0.208288
O,2.617796,2.251971,0.523492,2,9.86569,0.00000,9.86569,-0.98444483,-0.00121939,-0.24028,NaN,-0.24028,NaN,NaN,0.06868,9.86569,9.86569,0.00000,50.11477111,121.40412741,76.82427,76.82427,NaN,NaN,153.69120,NaN,9.790253,NaN,NaN,9.86569,10.837068,15.188263,12.523740,0.689799
C,4.07084,4.017973,-0.113011,3,4.58956,0.00000,4.58956,-3.58028594,-0.06487647,-1.78880,NaN,-1.78880,NaN,NaN,0.91138,4.58956,4.58956,0.00000,72.94970886,130.21592286,102.21270,102.21270,NaN,NaN,196.71146,NaN,12.015717,NaN,NaN,4.58956,11.652885,15.076205,12.979290,0.464613
C,3.490938,6.046961,-1.822851,4,5.72118,0.00000,5.72118,-1.84270266,-0.00628306,-0.39228,NaN,-0.39228,NaN,NaN,0.09405,5.72118,5.72118,0.00000,53.08707905,108.25706734,77.17751,77.17751,NaN,NaN,151.57249,NaN,10.149932,NaN,NaN,5.72118,10.481858,15.003770,11.550095,0.889237
H,6.015567,3.935823,0.607519,5,8.94266,0.00000,8.94266,-3.08333443,-0.00121939,-0.47033,NaN,-0.47033,NaN,NaN,0.33049,8.94266,8.94266,0.00000,62.63637993,137.70930606,110.88869,110.88869,NaN,NaN,231.55567,NaN,12.042267,NaN,NaN,8.94266,9.704790,15.121562,12.715468,1.114495
C,1.22558,6.116641,-3.237647,6,4.73625,0.00000,4.73625,-1.76880194,-0.03531713,-0.86193,NaN,-0.86193,NaN,NaN,0.17398,4.73625,4.73625,0.00000,50.53913130,97.49647770,67.67157,67.67157,NaN,NaN,130.89003,NaN,10.319954,NaN,NaN,4.73625,10.185756,14.847706,11.001715,0.617623
C,5.329202,7.959663,-2.139068,7,4.69477,0.00000,4.69477,-1.81041988,-0.04534888,-0.90082,NaN,-0.90082,NaN,NaN,0.21004,4.69477,4.69477,0.00000,58.55368831,106.09509665,75.02339,75.02339,NaN,NaN,64.29041,NaN,6.351051,NaN,NaN,4.69477,10.216335,14.849977,11.067598,0.659253
C,0.810819,8.091333,-4.91439,8,4.72389,0.00000,4.72389,-1.11596566,-0.00439418,-0.59591,NaN,-0.59591,NaN,NaN,0.09699,4.72389,4.72389,0.00000,50.53913130,97.56823509,65.06805,65.06805,NaN,NaN,53.99341,NaN,5.767898,NaN,NaN,4.72389,9.958295,14.849977,10.787421,0.630783
H,-0.14875,4.617977,-3.010891,9,10.84520,0.00000,10.84520,-1.63828386,-0.00170179,-0.27351,NaN,-0.27351,NaN,NaN,0.09824,10.84520,10.84520,0.00000,31.66786851,110.32397902,79.12798,79.12798,NaN,NaN,322.75927,NaN,14.603903,NaN,NaN,10.84520,9.133298,15.076205,11.916447,1.217037
C,4.882637,9.945481,-3.798624,10,4.68821,0.00000,4.68821,-0.99168022,-0.00520085,-0.54014,NaN,-0.54014,NaN,NaN,0.07700,4.68821,4.68821,0.00000,58.13369363,97.56823509,67.57323,67.57323,NaN,NaN,33.58902,NaN,4.342483,NaN,NaN,4.68821,9.971778,14.849977,10.782958,0.619993
