Element,X,Y,Z,Atom#,LEAE All area,LEAE Positive area,LEAE Negative area,LEAE Minimal value,LEAE Maximal value,LEAE All average,LEAE Positive average,LEAE Negative average,LEAE All variance,LEAE Positive variance,LEAE Negative variance,ESP All area (Ang^2),ESP Positive area (Ang^2),ESP Negative area (Ang^2),ESP Minimal value (kcal/mol),ESP Maximal value (kcal/mol),ESP All average (kcal/mol),ESP Positive average (kcal/mol),ESP Negative average (kcal/mol),ESP All variance (kcal/mol)^2,ESP Positive variance (kcal/mol)^2,ESP Negative variance (kcal/mol)^2,ESP Pi (kcal/mol),ESP nu,ESP nu*sigma^2,ALIE Area(Ang^2),ALIE Min value,ALIE Max value,ALIE Average,ALIE Variance
Si,0.17482,1.7576,1.579288,1,0.44799,0.00000,0.44799,-0.15211843,-0.00468264,-0.04923,NaN,-0.04923,NaN,NaN,0.00122,0.44799,0.44799,0.00000,48.35746478,107.71385234,79.19989,79.19989,NaN,NaN,172.30187,NaN,10.923866,NaN,NaN,0.44799,10.890045,13.195405,11.744007,0.253082
O,-2.329337,4.100938,0.549852,2,10.01617,0.00000,10.01617,-0.75527442,-0.00058002,-0.23480,NaN,-0.23480,NaN,NaN,0.03999,10.01617,10.01617,0.00000,29.82739063,107.71385234,55.53995,55.53995,NaN,NaN,321.66175,NaN,15.101567,NaN,NaN,10.01617,10.159967,15.303964,12.626600,0.809876
C,-2.483023,6.432499,1.004877,3,4.74977,0.00000,4.74977,-3.72417070,-0.09122447,-1.67554,NaN,-1.67554,NaN,NaN,0.87257,4.74977,4.74977,0.00000,63.25368413,104.99551417,90.56020,90.56020,NaN,NaN,44.84350,NaN,5.080767,NaN,NaN,4.74977,9.815253,15.303964,12.856662,0.882738
C,-4.255739,8.042776,-0.283132,4,5.72770,0.00000,5.72770,-1.89419793,-0.00143604,-0.40808,NaN,-0.40808,NaN,NaN,0.10587,5.72770,5.72770,0.00000,62.47588408,97.58444136,74.25452,74.25452,NaN,NaN,51.00869,NaN,5.893253,NaN,NaN,5.72770,10.482568,15.020591,11.581301,0.934084
H,-1.281115,7.258952,2.469708,5,10.30249,0.00000,10.30249,-3.28037772,-0.00216019,-0.41687,NaN,-0.41687,NaN,NaN,0.32827,10.30249,10.30249,0.00000,26.94667876,113.76449541,84.20334,84.20334,NaN,NaN,411.80694,NaN,15.503608,NaN,NaN,10.30249,9.034864,15.167896,12.245533,2.005198
C,-5.85749,7.129691,-2.215396,6,4.69563,0.00000,4.69563,-1.73256960,-0.03470182,-0.88974,NaN,-0.88974,NaN,NaN,0.19690,4.69563,4.69563,0.00000,56.89297788,93.89752537,68.77481,68.77481,NaN,NaN,30.81176,NaN,4.205941,NaN,NaN,4.69563,10.148975,14.902642,11.005799,0.675462
C,-4.357688,10.606634,0.446338,7,4.74633,0.00000,4.74633,-1.82207863,-0.04137346,-0.90504,NaN,-0.90504,NaN,NaN,0.21307,4.74633,4.74633,0.00000,57.60121231,93.89752537,70.58774,70.58774,NaN,NaN,35.06445,NaN,4.568831,NaN,NaN,4.74633,10.224570,14.902642,11.076252,0.669555
C,-7.532265,8.773724,-3.387415,8,4.73557,0.00000,4.73557,-1.16830717,-0.00172274,-0.61340,NaN,-0.61340,NaN,NaN,0.10726,4.73557,4.73557,0.00000,56.85700817,93.08093441,65.25650,65.25650,NaN,NaN,26.66484,NaN,3.849165,NaN,NaN,4.73557,9.997076,14.803780,10.806799,0.616033
H,-5.756652,5.156823,-2.757772,9,9.18646,0.00000,9.18646,-1.62369197,-0.00010057,-0.32823,NaN,-0.32823,NaN,NaN,0.13815,9.18646,9.18646,0.00000,47.39208556,113.57708016,83.98626,83.98626,NaN,NaN,139.03097,NaN,9.451805,NaN,NaN,9.18646,10.659547,15.303964,12.253532,0.652963
C,-6.044455,12.238968,-0.737628,10,4.73806,0.00000,4.73806,-0.98692733,-0.00424835,-0.54627,NaN,-0.54627,NaN,NaN,0.07242,4.73806,4.73806,0.00000,57.50644282,93.89752537,64.89578,64.89578,NaN,NaN,26.13370,NaN,3.752133,NaN,NaN,4.73806,9.984371,14.902642,10.788654,0.611245
H,-3.110705,11.284615,1.930476,11,8.76196,0.00000,8.76196,-1.69325699,-0.00008537,-0.34757,NaN,-0.34757,NaN,NaN,0.14830,8.76196,8.76196,0.00000,70.78215617,119.44565622,91.52349,91.52349,NaN,NaN,160.80852,NaN,10.827351,NaN,NaN,8.76196,10.787454,15.146983,12.273784,0.606071
