Element,X,Y,Z,Atom#,LEAE All area,LEAE Positive area,LEAE Negative area,LEAE Minimal value,LEAE Maximal value,LEAE All average,LEAE Positive average,LEAE Negative average,LEAE All variance,LEAE Positive variance,LEAE Negative variance,ESP All area (Ang^2),ESP Positive area (Ang^2),ESP Negative area (Ang^2),ESP Minimal value (kcal/mol),ESP Maximal value (kcal/mol),ESP All average (kcal/mol),ESP Positive average (kcal/mol),ESP Negative average (kcal/mol),ESP All variance (kcal/mol)^2,ESP Positive variance (kcal/mol)^2,ESP Negative variance (kcal/mol)^2,ESP Pi (kcal/mol),ESP nu,ESP nu*sigma^2,ALIE Area(Ang^2),ALIE Min value,ALIE Max value,ALIE Average,ALIE Variance
Si,-0.811456,2.347773,2.693196,1,0.29258,0.00000,0.29258,-0.11164829,-0.00485093,-0.03339,NaN,-0.03339,NaN,NaN,0.00070,0.29258,0.29258,0.00000,41.63323286,98.73091797,60.91076,60.91076,NaN,NaN,87.25412,NaN,7.291732,NaN,NaN,0.29258,10.685193,12.564469,11.362614,0.081683
O,2.356541,2.695806,0.779807,2,9.25890,0.00000,9.25890,-0.95249384,-0.00215420,-0.27758,NaN,-0.27758,NaN,NaN,0.05794,9.25890,9.25890,0.00000,28.09023473,126.66936536,68.16687,68.16687,NaN,NaN,647.78218,NaN,21.616753,NaN,NaN,9.25890,9.823270,15.429838,12.685384,0.965351
C,2.715128,2.903184,-1.558809,3,4.31014,0.00000,4.31014,-3.77620303,-0.07719931,-1.72359,NaN,-1.72359,NaN,NaN,0.88226,4.31014,4.31014,0.00000,73.72338455,141.40356407,112.02167,112.02167,NaN,NaN,275.84101,NaN,14.756606,NaN,NaN,4.31014,9.748172,15.429838,12.964404,0.941277
C,5.155553,3.529901,-2.59628,4,5.60297,0.00000,5.60297,-2.00325524,-0.00752535,-0.44455,NaN,-0.44455,NaN,NaN,0.12029,5.60297,5.60297,0.00000,77.89567221,127.74265763,95.10360,95.10360,NaN,NaN,105.01696,NaN,8.726202,NaN,NaN,5.60297,10.604393,15.260540,11.716062,0.929567
H,1.177337,2.472737,-2.872087,5,9.28116,0.00000,9.28116,-3.24600919,-0.01267477,-0.51765,NaN,-0.51765,NaN,NaN,0.33266,9.28116,9.28116,0.00000,65.18049046,148.17615078,117.21187,117.21187,NaN,NaN,344.63130,NaN,15.474611,NaN,NaN,9.28116,9.464600,15.357990,12.801630,1.104449
C,7.183265,4.315603,-1.05068,6,4.63520,0.00000,4.63520,-1.77511844,-0.04521069,-0.93182,NaN,-0.93182,NaN,NaN,0.19989,4.63520,4.63520,0.00000,69.41296092,116.31334974,84.73012,84.73012,NaN,NaN,58.48729,NaN,6.261787,NaN,NaN,4.63520,10.306966,14.890104,11.146577,0.617793
C,5.500449,3.249592,-5.22452,7,4.64817,0.00000,4.64817,-1.86457183,-0.04647329,-0.94354,NaN,-0.94354,NaN,NaN,0.22762,4.64817,4.64817,0.00000,75.58042737,121.69201410,93.77658,93.77658,NaN,NaN,77.60073,NaN,7.473179,NaN,NaN,4.64817,10.376223,14.864069,11.185139,0.614005
C,9.522634,4.800116,-2.135043,8,4.67443,0.00000,4.67443,-1.27739457,-0.00359682,-0.66424,NaN,-0.66424,NaN,NaN,0.12354,4.67443,4.67443,0.00000,69.22887637,116.31334974,80.89295,80.89295,NaN,NaN,52.07703,NaN,5.558822,NaN,NaN,4.67443,10.137879,14.890104,10.939307,0.582881
H,6.883373,4.533024,0.963747,9,9.20214,0.00000,9.20214,-1.61086817,-0.00013878,-0.33051,NaN,-0.33051,NaN,NaN,0.13901,9.20214,9.20214,0.00000,52.38233482,117.29817390,91.90599,91.90599,NaN,NaN,101.40350,NaN,7.861614,NaN,NaN,9.20214,10.906199,15.458938,12.335816,0.629544
C,7.858689,3.715135,-6.291951,10,4.75054,0.00000,4.75054,-1.07733531,-0.00887660,-0.57855,NaN,-0.57855,NaN,NaN,0.08652,4.75054,4.75054,0.00000,73.28547025,116.31429421,85.79244,85.79244,NaN,NaN,53.33063,NaN,5.914677,NaN,NaN,4.75054,10.138904,14.851779,10.943247,0.610296
H,3.923334,2.647412,-6.39451,11,8.82878,0.00000,8.82878,-1.76167199,-0.00031591,-0.36974,NaN,-0.36974,NaN,NaN,0.16318,8.82878,8.82878,0.00000,90.24627994,147.19550473,117.06505,117.06505,NaN,NaN,202.12370,NaN,12.136163,NaN,NaN,8.82878,10.919024,15.344790,12.417754,0.606478
C,9.863594,4.491987,-4.748154,12,4.77292,0.00000,4.77292,-1.17824076,-0.00266540,-0.74897,NaN,-0.74897,NaN,NaN,0.10482,4.77292,4.77292,0.00000,72.09169621,116.31429421,85.79442,85.79442,NaN,NaN,52.22920,NaN,5.874364,NaN,NaN,4.77292,10.374166,14.890104,11.116025,0.564285
H,11.092437,5.407461,-0.962307,13,8.90481,0.00000,8.90481,-1.23426737,-0.00013125,-0.27171,NaN,-0.27171,NaN,NaN,0.08732,8.90481,8.90481,0.00000,76.99956641,123.32132170,95.50686,95.50686,NaN,NaN,136.17696,NaN,9.437156,NaN,NaN,8.90481,10.653054,14.693713,12.139674,0.611803
H,8.142235,3.48251,-8.310226,14,8.88858,0.00000,8.88858,-1.04177870,-0.00009127,-0.22774,NaN,-0.22774,NaN,NaN,0.06139,8.88858,8.88858,0.00000,82.71143893,131.11761627,102.90576,102.90576,NaN,NaN,147.12848,NaN,9.908375,NaN,NaN,8.88858,10.678740,14.791619,12.173373,0.612644
H,11.702889,4.861536,-5.58176,15,8.86590,0.00000,8.86590,-1.10684037,-0.00028333,-0.25356,NaN,-0.25356,NaN,NaN,0.07397,8.86590,8.86590,0.00000,83.36326082,128.27485206,100.77719,100.77719,NaN,NaN,127.83095,NaN,9.117884,NaN,NaN,8.86590,10.979226,14.694072,12.239937,0.573864
C,0.000219,8.073003,-2.15545,16,3.67820,0.00000,3.67820,-1.05586925,-0.00861189,-0.26767,NaN,-0.26767,NaN,NaN,0.01884,3.67820,3.67820,0.00000,29.67450637,80.67783095,56.10819,56.10819,NaN,NaN,255.69900,NaN,15.084793,NaN,NaN,3.67820,8.775036,11.635992,9.548104,0.269805
C,-0.840794,7.052972,-0.050416,17,9.78116,0.00000,9.78116,-0.44954581,-0.00386762,-0.10326,NaN,-0.10326,NaN,NaN,0.00691,9.78116,9.78116,0.00000,24.04948262,103.16564634,55.56785,55.56785,NaN,NaN,225.26598,NaN,12.283002,NaN,NaN,9.78116,8.991483,13.556463,10.388331,0.716791
H,-1.133259,8.058357,-3.874796,18,8.99808,0.00000,8.99808,-0.36437126,-0.00109090,-0.07841,NaN,-0.07841,NaN,NaN,0.00640,8.99808,8.99808,0.00000,43.11344826,117.40794269,81.52263,81.52263,NaN,NaN,280.97819,NaN,13.510240,NaN,NaN,8.99808,9.466993,13.248351,11.497754,0.466462
H,1.821613,9.029771,-2.226173,19,9.04191,0.00000,9.04191,-0.34872649,-0.00127600,-0.07480,NaN,-0.07480,NaN,NaN,0.00505,9.04191,9.04191,0.00000,40.14932102,113.21138202,77.39468,77.39468,NaN,NaN,270.58400,NaN,13.144767,NaN,NaN,9.04191,9.433407,13.213752,11.487039,0.475410
C,-1.548795,5.854751,1.973653,20,2.84334,0.00000,2.84334,-0.33356910,-0.00159579,-0.03556,NaN,-0.03556,NaN,NaN,0.00150,2.84334,2.84334,0.00000,21.53187485,112.94847984,37.68894,37.68894,NaN,NaN,223.32076,NaN,11.399100,NaN,NaN,2.84334,8.895196,13.869184,9.943805,0.703317
H,-2.620512,6.81858,3.445264,21,9.71632,0.00000,9.71632,-0.28345642,-0.00146681,-0.06417,NaN,-0.06417,NaN,NaN,0.00160,9.71632,9.71632,0.00000,20.34821212,91.73182089,56.15399,56.15399,NaN,NaN,229.19113,NaN,11.855469,NaN,NaN,9.71632,9.664718,12.701467,11.389532,0.288211
Cl,1.334717,3.426155,6.189093,22,19.17664,0.00000,19.17664,-0.15987498,-0.00118756,-0.03776,NaN,-0.03776,NaN,NaN,0.00160,19.17664,15.17105,4.00559,-9.05264887,77.25294927,10.62348,14.51182,-4.10353,120.24016,113.36945,6.87071,9.486513,0.053876,6.478104,19.17664,8.573225,11.867155,9.202968,0.283215
Cl,-4.285283,1.415191,4.843185,23,22.01195,0.00000,22.01195,-0.19674501,-0.00218844,-0.04678,NaN,-0.04678,NaN,NaN,0.00205,22.01195,20.54910,1.46285,-4.52988281,93.15613269,22.63832,24.40699,-2.20671,219.48981,217.80558,1.68423,12.746982,0.007615,1.671311,22.01195,8.766049,12.173424,9.391899,0.266850
O,-2.370476,1.460044,-0.470175,24,7.28414,0.00000,7.28414,-1.43067703,-0.00456411,-0.13728,NaN,-0.13728,NaN,NaN,0.02724,7.28414,7.28414,0.00000,38.78321840,128.29489765,73.14359,73.14359,NaN,NaN,445.77570,NaN,17.764124,NaN,NaN,7.28414,10.457131,15.685812,12.194803,1.352476
O,0.203155,-1.056733,3.149185,25,9.05873,0.00000,9.05873,-1.41692540,-0.00173149,-0.14014,NaN,-0.14014,NaN,NaN,0.01984,9.05873,9.05873,0.00000,11.91971795,114.16949563,47.39472,47.39472,NaN,NaN,611.34773,NaN,21.104151,NaN,NaN,9.05873,9.969202,15.672693,11.951055,1.254020
C,-2.708163,-2.896,-0.6432,26,4.70722,0.00000,4.70722,-1.95958261,-0.05021713,-1.03521,NaN,-1.03521,NaN,NaN,0.23038,4.70722,4.70722,0.00000,79.37464279,144.54061918,113.83734,113.83734,NaN,NaN,285.93029,NaN,15.298153,NaN,NaN,4.70722,11.252378,16.288644,12.686308,1.083610
C,0.07424,-3.028634,-0.749758,27,4.69718,0.00000,4.69718,-1.96172862,-0.08555117,-1.10056,NaN,-1.10056,NaN,NaN,0.22848,4.69718,4.69718,0.00000,104.18196098,150.06079615,124.54375,124.54375,NaN,NaN,46.20350,NaN,5.381152,NaN,NaN,4.69718,11.438522,16.438594,12.841364,1.080599
C,4.003706,-2.791643,1.53294,28,5.13044,0.00000,5.13044,-2.39799729,-0.05842516,-1.25650,NaN,-1.25650,NaN,NaN,0.32593,5.13044,5.13044,0.00000,90.49144012,149.09714267,112.16801,112.16801,NaN,NaN,59.29523,NaN,5.582782,NaN,NaN,5.13044,11.449515,16.221317,12.889458,0.902925
C,-6.401793,-0.277236,-1.096277,29,5.23252,0.00000,5.23252,-2.36344971,-0.00381607,-1.15960,NaN,-1.15960,NaN,NaN,0.31270,5.23252,5.23252,0.00000,79.36917922,144.54061918,99.44992,99.44992,NaN,NaN,192.97962,NaN,12.133573,NaN,NaN,5.23252,11.015986,16.162505,12.588149,1.048856
C,-7.916547,-2.482955,-1.039574,30,5.22428,0.00000,5.22428,-1.44133416,-0.01372332,-0.91820,NaN,-0.91820,NaN,NaN,0.12683,5.22428,5.22428,0.00000,80.46025770,140.70369931,95.77025,95.77025,NaN,NaN,87.96863,NaN,7.824755,NaN,NaN,5.22428,11.014354,16.146029,12.008368,0.646010
C,-4.155491,-5.072465,-0.734705,31,4.65097,0.00000,4.65097,-1.72239391,-0.03406960,-0.97393,NaN,-0.97393,NaN,NaN,0.18692,4.65097,4.65097,0.00000,85.44012373,141.31304890,104.54136,104.54136,NaN,NaN,132.95091,NaN,9.721895,NaN,NaN,4.65097,10.879486,15.836732,11.734941,0.632790
C,-6.76946,-4.857201,-0.836557,32,4.63422,0.00000,4.63422,-1.98721987,-0.01478335,-1.12780,NaN,-1.12780,NaN,NaN,0.27065,4.63422,4.63422,0.00000,81.31102146,140.57017132,98.57703,98.57703,NaN,NaN,86.98258,NaN,7.964352,NaN,NaN,4.63422,10.866193,15.878375,11.685735,0.592899
