Element,X,Y,Z,Atom#,LEAE All area,LEAE Positive area,LEAE Negative area,LEAE Minimal value,LEAE Maximal value,LEAE All average,LEAE Positive average,LEAE Negative average,LEAE All variance,LEAE Positive variance,LEAE Negative variance,ESP All area (Ang^2),ESP Positive area (Ang^2),ESP Negative area (Ang^2),ESP Minimal value (kcal/mol),ESP Maximal value (kcal/mol),ESP All average (kcal/mol),ESP Positive average (kcal/mol),ESP Negative average (kcal/mol),ESP All variance (kcal/mol)^2,ESP Positive variance (kcal/mol)^2,ESP Negative variance (kcal/mol)^2,ESP Pi (kcal/mol),ESP nu,ESP nu*sigma^2,ALIE Area(Ang^2),ALIE Min value,ALIE Max value,ALIE Average,ALIE Variance
Si,-0.983767,2.759873,1.524092,1,0.54751,0.00000,0.54751,-0.09672251,-0.00954474,-0.02934,NaN,-0.02934,NaN,NaN,0.00030,0.54751,0.54751,0.00000,41.27346795,96.84609668,60.23015,60.23015,NaN,NaN,145.71462,NaN,9.931405,NaN,NaN,0.54751,10.542229,12.231430,11.066758,0.099345
O,2.122818,2.577341,-0.639136,2,9.37290,0.00000,9.37290,-0.99239085,-0.00793977,-0.31471,NaN,-0.31471,NaN,NaN,0.06958,9.37290,9.37290,0.00000,42.20182325,113.03087139,73.01516,73.01516,NaN,NaN,291.40180,NaN,14.863598,NaN,NaN,9.37290,10.334105,15.340235,12.719910,0.822166
C,3.887987,4.145464,-0.733104,3,4.45300,0.00000,4.45300,-4.03942538,-0.09488495,-2.07235,NaN,-2.07235,NaN,NaN,1.22819,4.45300,4.45300,0.00000,78.41352955,128.73124852,110.36160,110.36160,NaN,NaN,100.20533,NaN,8.045888,NaN,NaN,4.45300,12.050011,15.380704,13.461572,0.256403
C,5.971455,3.86768,-2.462204,4,5.31309,0.00000,5.31309,-2.02061574,-0.01861663,-0.47218,NaN,-0.47218,NaN,NaN,0.13637,5.31309,5.31309,0.00000,75.88689852,116.56812488,93.11263,93.11263,NaN,NaN,110.81691,NaN,9.296746,NaN,NaN,5.31309,10.614292,15.070367,11.808640,0.932673
H,3.875932,5.777872,0.543927,5,11.38692,0.00000,11.38692,-3.51310440,-0.00262780,-0.44905,NaN,-0.44905,NaN,NaN,0.44092,11.38692,11.38692,0.00000,48.68285242,126.24725230,98.56514,98.56514,NaN,NaN,281.53641,NaN,13.835802,NaN,NaN,11.38692,9.469114,15.407350,12.566560,1.485077
C,5.965854,1.987232,-4.359145,6,4.19889,0.00000,4.19889,-1.83548478,-0.04087454,-0.95176,NaN,-0.95176,NaN,NaN,0.23292,4.19889,4.19889,0.00000,71.54288432,114.30185604,88.00516,88.00516,NaN,NaN,81.46874,NaN,7.768563,NaN,NaN,4.19889,10.322193,14.979449,11.249244,0.703992
C,8.061436,5.500165,-2.188431,7,4.72608,0.00000,4.72608,-1.92240070,-0.05158334,-0.96217,NaN,-0.96217,NaN,NaN,0.24296,4.72608,4.72608,0.00000,70.95223338,114.00583784,87.44038,87.44038,NaN,NaN,63.68146,NaN,6.744544,NaN,NaN,4.72608,10.414605,15.004142,11.230109,0.641720
C,8.03727,1.749747,-5.947129,8,4.69286,0.00000,4.69286,-1.33411762,-0.00513205,-0.70263,NaN,-0.70263,NaN,NaN,0.13374,4.69286,4.69286,0.00000,71.39465349,114.30185604,82.43176,82.43176,NaN,NaN,41.22786,NaN,4.790302,NaN,NaN,4.69286,10.145938,14.979449,10.974832,0.605570
H,4.336893,0.755701,-4.541641,9,9.18094,0.00000,9.18094,-1.79730609,-0.00090987,-0.36418,NaN,-0.36418,NaN,NaN,0.16185,9.18094,9.18094,0.00000,61.18527787,137.39400834,104.65003,104.65003,NaN,NaN,185.23390,NaN,10.669156,NaN,NaN,9.18094,10.895703,15.380704,12.349292,0.602953
C,10.147552,5.22147,-3.766379,10,4.72483,0.00000,4.72483,-1.08579502,-0.01010974,-0.59324,NaN,-0.59324,NaN,NaN,0.08659,4.72483,4.72483,0.00000,70.79719909,114.30185604,81.82516,81.82516,NaN,NaN,46.80423,NaN,5.456530,NaN,NaN,4.72483,10.138759,14.979449,10.950646,0.601589
