Element,X,Y,Z,Atom#,LEAE All area,LEAE Positive area,LEAE Negative area,LEAE Minimal value,LEAE Maximal value,LEAE All average,LEAE Positive average,LEAE Negative average,LEAE All variance,LEAE Positive variance,LEAE Negative variance,ESP All area (Ang^2),ESP Positive area (Ang^2),ESP Negative area (Ang^2),ESP Minimal value (kcal/mol),ESP Maximal value (kcal/mol),ESP All average (kcal/mol),ESP Positive average (kcal/mol),ESP Negative average (kcal/mol),ESP All variance (kcal/mol)^2,ESP Positive variance (kcal/mol)^2,ESP Negative variance (kcal/mol)^2,ESP Pi (kcal/mol),ESP nu,ESP nu*sigma^2,ALIE Area(Ang^2),ALIE Min value,ALIE Max value,ALIE Average,ALIE Variance
Si,-0.074412,2.203687,1.273127,1,0.28436,0.00000,0.28436,-0.22224145,-0.01168466,-0.05360,NaN,-0.05360,NaN,NaN,0.00155,0.28436,0.28436,0.00000,52.41373958,97.97971047,73.15766,73.15766,NaN,NaN,105.83384,NaN,7.972763,NaN,NaN,0.28436,10.707054,12.936783,11.648201,0.193890
O,-2.814883,4.104035,0.000401,2,9.82758,0.00000,9.82758,-0.78716947,-0.00222500,-0.24464,NaN,-0.24464,NaN,NaN,0.04454,9.82758,9.82758,0.00000,15.79633474,99.01396007,47.83654,47.83654,NaN,NaN,373.48293,NaN,16.546045,NaN,NaN,9.82758,9.802035,15.255115,12.476756,0.892126
C,-2.822725,6.299956,-0.920811,3,4.13451,0.00000,4.13451,-3.67802051,-0.10044957,-1.64042,NaN,-1.64042,NaN,NaN,0.80836,4.13451,4.13451,0.00000,54.16935233,108.25056120,87.71600,87.71600,NaN,NaN,114.09211,NaN,8.788745,NaN,NaN,4.13451,9.555493,15.255115,12.824400,1.051544
C,-5.139341,7.681508,-1.290054,4,5.70671,0.00000,5.70671,-1.95823024,-0.00210264,-0.39990,NaN,-0.39990,NaN,NaN,0.10241,5.70671,5.70671,0.00000,61.77825287,98.41660776,73.42775,73.42775,NaN,NaN,54.98303,NaN,6.111506,NaN,NaN,5.70671,10.466082,15.190267,11.567716,0.977389
H,-1.048339,7.145591,-1.559606,5,10.50742,0.00000,10.50742,-3.17912638,-0.00236692,-0.37484,NaN,-0.37484,NaN,NaN,0.26939,10.50742,10.50742,0.00000,29.02400227,115.66391457,84.01648,84.01648,NaN,NaN,421.04208,NaN,16.254700,NaN,NaN,10.50742,8.882999,15.262013,12.173412,2.037018
C,-7.485906,6.736662,-0.43795,6,4.75808,0.00000,4.75808,-1.72591897,-0.02950867,-0.87693,NaN,-0.87693,NaN,NaN,0.19589,4.75808,4.75808,0.00000,56.49469664,93.72267342,70.26210,70.26210,NaN,NaN,43.41787,NaN,5.439796,NaN,NaN,4.75808,10.134119,14.857336,10.992992,0.647967
C,-5.013872,10.027401,-2.550406,7,4.71758,0.00000,4.71758,-1.78805093,-0.02742503,-0.88653,NaN,-0.88653,NaN,NaN,0.20428,4.71758,4.71758,0.00000,58.83481318,93.83919205,70.59083,70.59083,NaN,NaN,32.71347,NaN,4.429310,NaN,NaN,4.71758,10.199861,14.834191,11.045832,0.664314
C,-9.669487,8.130299,-0.855179,8,4.70611,0.00000,4.70611,-1.15327929,-0.00378221,-0.60513,NaN,-0.60513,NaN,NaN,0.10326,4.70611,4.70611,0.00000,56.36232132,93.72267342,66.92763,66.92763,NaN,NaN,34.32419,NaN,4.525506,NaN,NaN,4.70611,9.993724,14.796158,10.797492,0.632757
H,-7.54353,4.941263,0.550906,9,9.15841,0.00000,9.15841,-1.59445922,-0.00039365,-0.34221,NaN,-0.34221,NaN,NaN,0.13688,9.15841,9.15841,0.00000,36.85485972,109.32047853,82.17481,82.17481,NaN,NaN,139.98726,NaN,9.235194,NaN,NaN,9.15841,10.789062,15.255115,12.186570,0.612320
C,-7.213281,11.407387,-2.967881,10,4.72988,0.00000,4.72988,-0.98360879,-0.00562580,-0.54372,NaN,-0.54372,NaN,NaN,0.07132,4.72988,4.72988,0.00000,58.34501847,93.54287127,65.36208,65.36208,NaN,NaN,25.85406,NaN,3.742920,NaN,NaN,4.72988,9.975217,14.834191,10.777424,0.617859
