Element,X,Y,Z,Atom#,LEAE All area,LEAE Positive area,LEAE Negative area,LEAE Minimal value,LEAE Maximal value,LEAE All average,LEAE Positive average,LEAE Negative average,LEAE All variance,LEAE Positive variance,LEAE Negative variance,ESP All area (Ang^2),ESP Positive area (Ang^2),ESP Negative area (Ang^2),ESP Minimal value (kcal/mol),ESP Maximal value (kcal/mol),ESP All average (kcal/mol),ESP Positive average (kcal/mol),ESP Negative average (kcal/mol),ESP All variance (kcal/mol)^2,ESP Positive variance (kcal/mol)^2,ESP Negative variance (kcal/mol)^2,ESP Pi (kcal/mol),ESP nu,ESP nu*sigma^2,ALIE Area(Ang^2),ALIE Min value,ALIE Max value,ALIE Average,ALIE Variance
Si,0.93518,-2.943366,1.836194,1,0.52910,0.00000,0.52910,-0.09985654,-0.00807998,-0.04013,NaN,-0.04013,NaN,NaN,0.00029,0.52910,0.52910,0.00000,37.63250844,98.55559994,60.32648,60.32648,NaN,NaN,114.26664,NaN,7.619956,NaN,NaN,0.52910,10.590120,12.761864,11.316075,0.168425
O,-1.935295,-2.717107,-0.469818,2,9.14566,0.00000,9.14566,-0.84224803,-0.00736370,-0.30326,NaN,-0.30326,NaN,NaN,0.05104,9.14566,9.14566,0.00000,48.37997958,111.80688757,71.69015,71.69015,NaN,NaN,148.52349,NaN,9.743073,NaN,NaN,9.14566,10.732233,15.303230,12.764441,0.727475
C,-3.284839,-4.493897,-1.29025,3,4.14976,0.00000,4.14976,-3.72991632,-0.07322766,-1.71123,NaN,-1.71123,NaN,NaN,0.83655,4.14976,4.14976,0.00000,68.47441813,114.37917524,98.89038,98.89038,NaN,NaN,63.41933,NaN,6.223967,NaN,NaN,4.14976,9.587542,15.299704,12.939919,0.963337
C,-5.551241,-4.054872,-2.739899,4,5.69736,0.00000,5.69736,-1.98307858,-0.01148406,-0.43409,NaN,-0.43409,NaN,NaN,0.11700,5.69736,5.69736,0.00000,73.19742854,106.62570653,85.67830,85.67830,NaN,NaN,53.10390,NaN,5.889777,NaN,NaN,5.69736,10.552621,15.234875,11.655483,0.950590
H,-2.677925,-6.446256,-0.994782,5,10.50724,0.00000,10.50724,-3.04303024,-0.00137200,-0.36488,NaN,-0.36488,NaN,NaN,0.26743,10.50724,10.50724,0.00000,26.29387735,118.90951150,87.66523,87.66523,NaN,NaN,476.09586,NaN,17.162278,NaN,NaN,10.50724,8.857011,15.280243,12.179375,2.067321
C,-6.323899,-1.602253,-3.446226,6,4.72767,0.00000,4.72767,-1.79585945,-0.03266507,-0.91385,NaN,-0.91385,NaN,NaN,0.20385,4.72767,4.72767,0.00000,71.29057182,105.41796383,85.88741,85.88741,NaN,NaN,41.83267,NaN,5.274731,NaN,NaN,4.72767,10.265210,14.906841,11.128816,0.615269
C,-6.986129,-6.174134,-3.487002,7,4.74666,0.00000,4.74666,-1.87089208,-0.03031409,-0.92932,NaN,-0.92932,NaN,NaN,0.22267,4.74666,4.74666,0.00000,66.75108911,105.97387232,79.71267,79.71267,NaN,NaN,35.08977,NaN,4.444467,NaN,NaN,4.74666,10.276306,14.914312,11.126161,0.647216
C,-8.514424,-1.28217,-4.85334,8,4.76498,0.00000,4.76498,-1.26077037,-0.00312874,-0.65380,NaN,-0.65380,NaN,NaN,0.12160,4.76498,4.76498,0.00000,70.86667837,105.72788241,80.44327,80.44327,NaN,NaN,30.45567,NaN,4.275289,NaN,NaN,4.76498,10.106955,14.906841,10.920976,0.610213
H,-5.185276,0.008557,-2.896315,9,9.60778,0.00000,9.60778,-1.71789118,-0.00976944,-0.39889,NaN,-0.39889,NaN,NaN,0.14417,9.60778,9.60778,0.00000,69.13748187,141.14276395,107.28148,107.28148,NaN,NaN,193.81888,NaN,11.311134,NaN,NaN,9.60778,10.882720,15.303230,12.390071,0.591392
C,-9.184664,-5.83888,-4.890061,10,4.73564,0.00000,4.73564,-1.05581961,-0.00649088,-0.58232,NaN,-0.58232,NaN,NaN,0.08260,4.73564,4.73564,0.00000,66.69931893,105.72788241,74.90671,74.90671,NaN,NaN,30.89019,NaN,3.866727,NaN,NaN,4.73564,10.062480,14.906841,10.876497,0.648226
H,-6.36675,-8.054706,-2.942474,11,8.76139,0.00000,8.76139,-1.78346595,-0.00065354,-0.36145,NaN,-0.36145,NaN,NaN,0.15611,8.76139,8.76139,0.00000,79.16586094,126.53146360,99.02260,99.02260,NaN,NaN,153.21957,NaN,10.554366,NaN,NaN,8.76139,10.906370,15.280243,12.337038,0.614260
C,-9.94803,-3.396548,-5.568343,12,4.75260,0.00000,4.75260,-1.18062158,-0.00237506,-0.75815,NaN,-0.75815,NaN,NaN,0.10116,4.75260,4.75260,0.00000,67.88164825,105.72788241,79.09727,79.09727,NaN,NaN,27.90350,NaN,4.009243,NaN,NaN,4.75260,10.305469,14.906841,11.041226,0.561579
H,-9.12082,0.600878,-5.396073,13,8.89663,0.00000,8.89663,-1.22006579,-0.00165535,-0.27734,NaN,-0.27734,NaN,NaN,0.08527,8.89663,8.89663,0.00000,81.24734789,129.96117154,100.48449,100.48449,NaN,NaN,158.76428,NaN,10.405502,NaN,NaN,8.89663,10.666402,14.729385,12.140935,0.605392
H,-10.302005,-7.462419,-5.459434,14,8.91536,0.00000,8.91536,-1.01904168,-0.00032497,-0.22731,NaN,-0.22731,NaN,NaN,0.05997,8.91536,8.91536,0.00000,74.65112465,120.75880091,92.37646,92.37646,NaN,NaN,142.94778,NaN,9.662713,NaN,NaN,8.91536,10.643201,14.719746,12.108500,0.617437
H,-11.662823,-3.135377,-6.66681,15,8.88402,0.00000,8.88402,-1.09954487,-0.00048881,-0.25224,NaN,-0.25224,NaN,NaN,0.07278,8.88402,8.88402,0.00000,80.41058594,124.43937615,96.37325,96.37325,NaN,NaN,132.89717,NaN,9.415070,NaN,NaN,8.88402,10.916738,14.645339,12.201491,0.577087
C,-5.623976,-6.350324,3.670511,16,3.46439,0.00000,3.46439,-1.08983611,-0.00877083,-0.36175,NaN,-0.36175,NaN,NaN,0.02856,3.46439,3.46439,0.00000,30.23094846,75.15790492,54.23371,54.23371,NaN,NaN,192.21504,NaN,12.751067,NaN,NaN,3.46439,8.752945,11.706831,9.556338,0.275815
