Element,X,Y,Z,Atom#,LEAE All area,LEAE Positive area,LEAE Negative area,LEAE Minimal value,LEAE Maximal value,LEAE All average,LEAE Positive average,LEAE Negative average,LEAE All variance,LEAE Positive variance,LEAE Negative variance,ESP All area (Ang^2),ESP Positive area (Ang^2),ESP Negative area (Ang^2),ESP Minimal value (kcal/mol),ESP Maximal value (kcal/mol),ESP All average (kcal/mol),ESP Positive average (kcal/mol),ESP Negative average (kcal/mol),ESP All variance (kcal/mol)^2,ESP Positive variance (kcal/mol)^2,ESP Negative variance (kcal/mol)^2,ESP Pi (kcal/mol),ESP nu,ESP nu*sigma^2,ALIE Area(Ang^2),ALIE Min value,ALIE Max value,ALIE Average,ALIE Variance
Si,0.094456,2.44207,2.113186,1,0.29017,0.00000,0.29017,-0.25922875,-0.00313172,-0.06434,NaN,-0.06434,NaN,NaN,0.00342,0.29017,0.29017,0.00000,43.97548958,86.61405212,66.02172,66.02172,NaN,NaN,90.06158,NaN,8.084961,NaN,NaN,0.29017,10.949244,12.975659,11.632546,0.113432
O,-2.61917,4.753804,1.317024,2,10.41708,0.00000,10.41708,-0.84953051,-0.00138862,-0.26342,NaN,-0.26342,NaN,NaN,0.05053,10.41708,10.41708,0.00000,7.02730766,95.69759437,44.51132,44.51132,NaN,NaN,550.92999,NaN,20.339205,NaN,NaN,10.41708,10.045730,15.387144,12.579710,0.880522
C,-3.181806,5.526786,-0.85988,3,4.49461,0.00000,4.49461,-3.91080500,-0.11057735,-1.99576,NaN,-1.99576,NaN,NaN,1.12100,4.49461,4.49461,0.00000,72.49200984,112.78744274,95.91217,95.91217,NaN,NaN,88.74975,NaN,8.156325,NaN,NaN,4.49461,11.799677,15.387144,13.366808,0.347722
C,-5.24245,7.226422,-1.32076,4,5.69166,0.00000,5.69166,-1.94423476,-0.00755452,-0.41900,NaN,-0.41900,NaN,NaN,0.11105,5.69166,5.69166,0.00000,54.69752486,102.66599707,70.13610,70.13610,NaN,NaN,84.07317,NaN,7.435386,NaN,NaN,5.69166,10.517178,15.240359,11.657752,0.964217
H,-2.054136,4.892091,-2.477883,5,9.67843,0.00000,9.67843,-3.37235617,-0.00192254,-0.49389,NaN,-0.49389,NaN,NaN,0.43178,9.67843,9.67843,0.00000,59.52551230,133.12098840,104.14122,104.14122,NaN,NaN,212.52395,NaN,10.804923,NaN,NaN,9.67843,9.485493,15.245626,12.725176,1.496452
C,-6.805401,8.117759,0.654915,6,4.74271,0.00000,4.74271,-1.79194275,-0.03121247,-0.92985,NaN,-0.92985,NaN,NaN,0.21089,4.74271,4.74271,0.00000,50.44349176,89.40565748,61.36319,61.36319,NaN,NaN,34.28682,NaN,4.179446,NaN,NaN,4.74271,10.187190,14.856266,11.051653,0.666085
C,-5.695113,7.97749,-3.841433,7,4.73982,0.00000,4.73982,-1.85898409,-0.03002967,-0.93702,NaN,-0.93702,NaN,NaN,0.22896,4.73982,4.73982,0.00000,57.48547012,94.93998694,70.21287,70.21287,NaN,NaN,43.28916,NaN,5.357258,NaN,NaN,4.73982,10.284055,14.921584,11.125677,0.658702
C,-8.790052,9.736523,0.095603,8,4.73127,0.00000,4.73127,-1.20217652,-0.00382529,-0.62897,NaN,-0.62897,NaN,NaN,0.11525,4.73127,4.73127,0.00000,50.44349176,89.23746574,60.01650,60.01650,NaN,NaN,31.68225,NaN,4.085711,NaN,NaN,4.73127,10.033647,14.854618,10.844939,0.628910
H,-6.436793,7.514961,2.579773,9,9.10842,0.00000,9.10842,-1.66653577,-0.00006306,-0.33419,NaN,-0.33419,NaN,NaN,0.14368,9.10842,9.10842,0.00000,36.73205213,100.29596557,73.28235,73.28235,NaN,NaN,114.41136,NaN,8.618660,NaN,NaN,9.10842,10.782043,15.345394,12.244710,0.674905
C,-7.689341,9.602133,-4.382058,10,4.71201,0.00000,4.71201,-1.00662118,-0.00401080,-0.55357,NaN,-0.55357,NaN,NaN,0.07759,4.71201,4.71201,0.00000,57.05010866,89.47808795,64.41210,64.41210,NaN,NaN,27.76215,NaN,4.132181,NaN,NaN,4.71201,10.022893,14.809042,10.836638,0.633643
H,-4.48107,7.271806,-5.340241,11,8.76798,0.00000,8.76798,-1.70623413,-0.00013081,-0.35584,NaN,-0.35584,NaN,NaN,0.15795,8.76798,8.76798,0.00000,74.44896610,129.10252383,97.84455,97.84455,NaN,NaN,212.61158,NaN,12.533069,NaN,NaN,8.76798,10.947285,15.191018,12.335452,0.599663
C,-9.231524,10.476201,-2.416519,12,4.75979,0.00000,4.75979,-1.23011373,-0.00049243,-0.77843,NaN,-0.77843,NaN,NaN,0.10836,4.75979,4.75979,0.00000,55.53219396,90.62496643,65.48086,65.48086,NaN,NaN,26.38143,NaN,4.143461,NaN,NaN,4.75979,10.323996,14.921584,11.048125,0.568255
H,-10.006415,10.430572,1.594859,13,8.89738,0.00000,8.89738,-1.16711352,-0.00003675,-0.25533,NaN,-0.25533,NaN,NaN,0.07724,8.89738,8.89738,0.00000,60.82810839,108.35444324,78.89540,78.89540,NaN,NaN,154.22055,NaN,10.154276,NaN,NaN,8.89738,10.663496,14.609619,12.052920,0.614212
H,-8.051282,10.187653,-6.314448,14,8.92934,0.00000,8.92934,-0.96146039,-0.00002315,-0.21585,NaN,-0.21585,NaN,NaN,0.05461,8.92934,8.92934,0.00000,67.37829311,115.88105225,86.09311,86.09311,NaN,NaN,162.96390,NaN,10.445270,NaN,NaN,8.92934,10.565380,14.709885,12.084768,0.620897
H,-10.791876,11.74235,-2.838773,15,8.87255,0.00000,8.87255,-1.11837901,-0.00001973,-0.25578,NaN,-0.25578,NaN,NaN,0.07650,8.87255,8.87255,0.00000,69.70752428,113.25286383,84.49185,84.49185,NaN,NaN,139.12227,NaN,9.654952,NaN,NaN,8.87255,10.974973,14.618467,12.175473,0.574112
C,4.181554,2.594925,-4.541694,16,3.85826,0.00000,3.85826,-0.17638447,-0.01463889,-0.08861,NaN,-0.08861,NaN,NaN,0.00191,3.85826,3.85826,0.00000,39.24914343,87.14076714,61.05628,61.05628,NaN,NaN,156.92629,NaN,10.654461,NaN,NaN,3.85826,8.738198,11.613111,9.475334,0.302915
C,3.249121,3.357937,-2.378345,17,10.22752,0.00000,10.22752,-0.34038416,-0.00919387,-0.07179,NaN,-0.07179,NaN,NaN,0.00204,10.22752,10.22752,0.00000,39.24914343,93.68883281,69.62838,69.62838,NaN,NaN,152.18687,NaN,10.260654,NaN,NaN,10.22752,9.023321,13.221092,10.581345,0.591010
H,3.174523,2.905745,-6.309121,18,8.97722,0.00000,8.97722,-0.14390992,-0.00119041,-0.03563,NaN,-0.03563,NaN,NaN,0.00063,8.97722,8.97722,0.00000,51.95856880,125.80488698,89.46600,89.46600,NaN,NaN,280.92689,NaN,13.555328,NaN,NaN,8.97722,9.461311,13.387749,11.611669,0.495255
H,6.008603,1.657148,-4.643756,19,9.26557,0.00000,9.26557,-1.19826852,-0.00119041,-0.09832,NaN,-0.09832,NaN,NaN,0.01385,9.26557,9.26557,0.00000,51.55648875,135.78492335,95.77115,95.77115,NaN,NaN,353.31807,NaN,15.225923,NaN,NaN,9.26557,9.489303,13.469157,11.676571,0.500960
C,2.339275,4.129762,-0.217279,20,3.51875,0.00000,3.51875,-0.37015407,-0.00725947,-0.13087,NaN,-0.13087,NaN,NaN,0.00421,3.51875,3.51875,0.00000,46.71499930,112.93061928,65.47799,65.47799,NaN,NaN,180.59646,NaN,11.058190,NaN,NaN,3.51875,9.438811,13.455258,10.474659,0.804215
H,2.862251,6.026949,0.403075,21,9.94204,0.00000,9.94204,-0.25922875,-0.00767473,-0.03906,NaN,-0.03906,NaN,NaN,0.00072,9.94204,9.94204,0.00000,13.09397924,97.40092449,63.50705,63.50705,NaN,NaN,273.50403,NaN,12.856126,NaN,NaN,9.94204,8.943400,13.102474,11.319040,0.467744
Cl,-2.783612,0.47074,4.503501,22,21.62932,0.00000,21.62932,-0.40025532,-0.00412960,-0.05627,NaN,-0.05627,NaN,NaN,0.00232,21.62932,20.93178,0.69754,-2.18945131,89.10576733,26.66293,27.58726,-1.07436,297.38382,296.99580,0.38802,14.592665,0.001303,0.387515,21.62932,8.919838,11.985951,9.576480,0.290155
Cl,1.268341,4.825731,5.318356,23,22.26829,0.00000,22.26829,-0.23262334,-0.00158188,-0.02449,NaN,-0.02449,NaN,NaN,0.00037,22.26829,15.17048,7.09781,-9.41383437,67.45152507,6.70533,11.76339,-4.10549,123.56888,117.51298,6.05590,8.693205,0.046606,5.759108,22.26829,8.758429,11.865634,9.359032,0.307142
O,-0.967007,0.350669,-0.827468,24,9.45231,0.00000,9.45231,-1.47585520,-0.03011799,-0.20845,NaN,-0.20845,NaN,NaN,0.01941,9.45231,9.45231,0.00000,44.78313885,129.31100187,71.33989,71.33989,NaN,NaN,333.37154,NaN,15.279189,NaN,NaN,9.45231,10.828741,16.167787,12.256180,1.240953
O,2.350738,-0.239789,3.016243,25,10.21474,0.00000,10.21474,-1.58120042,-0.00273480,-0.19241,NaN,-0.19241,NaN,NaN,0.02167,10.21474,10.21474,0.00000,9.84393826,120.43951493,46.96557,46.96557,NaN,NaN,658.88630,NaN,21.689553,NaN,NaN,10.21474,10.148917,16.062627,12.127555,1.240396
