Element,X,Y,Z,Atom#,LEAE All area,LEAE Positive area,LEAE Negative area,LEAE Minimal value,LEAE Maximal value,LEAE All average,LEAE Positive average,LEAE Negative average,LEAE All variance,LEAE Positive variance,LEAE Negative variance,ESP All area (Ang^2),ESP Positive area (Ang^2),ESP Negative area (Ang^2),ESP Minimal value (kcal/mol),ESP Maximal value (kcal/mol),ESP All average (kcal/mol),ESP Positive average (kcal/mol),ESP Negative average (kcal/mol),ESP All variance (kcal/mol)^2,ESP Positive variance (kcal/mol)^2,ESP Negative variance (kcal/mol)^2,ESP Pi (kcal/mol),ESP nu,ESP nu*sigma^2,ALIE Area(Ang^2),ALIE Min value,ALIE Max value,ALIE Average,ALIE Variance
Si,0.196498,2.984575,1.735959,1,3.98169,0.00000,3.98169,-2.03028865,-0.03619306,-0.76804,NaN,-0.76804,NaN,NaN,0.30012,3.98169,3.98169,0.00000,86.51372833,154.43873356,118.90648,118.90648,NaN,NaN,213.64154,NaN,12.288484,NaN,NaN,3.98169,10.863810,14.532556,12.060081,0.299262
O,-1.973258,5.844216,1.026068,2,10.24494,0.00000,10.24494,-1.08781032,-0.00180560,-0.33643,NaN,-0.33643,NaN,NaN,0.07466,10.24494,10.24494,0.00000,30.26350633,150.31418910,66.47240,66.47240,NaN,NaN,523.62279,NaN,18.909777,NaN,NaN,10.24494,10.842820,15.482792,12.780148,0.777023
C,-3.227924,6.20199,-0.971877,3,4.44512,0.00000,4.44512,-4.00297489,-0.11038620,-1.81290,NaN,-1.81290,NaN,NaN,0.96402,4.44512,4.44512,0.00000,83.86334688,126.26250750,105.99447,105.99447,NaN,NaN,53.11697,NaN,5.779918,NaN,NaN,4.44512,10.121293,15.452722,13.099568,0.890520
C,-5.152319,8.101541,-1.175342,4,5.70164,0.00000,5.70164,-2.00218029,-0.01376853,-0.42836,NaN,-0.42836,NaN,NaN,0.10056,5.70164,5.70164,0.00000,71.71401534,111.81534659,85.42113,85.42113,NaN,NaN,59.97285,NaN,6.369381,NaN,NaN,5.70164,10.610748,15.328640,11.719269,0.931334
H,-2.810554,5.06768,-2.653642,5,10.13999,0.00000,10.13999,-3.39897560,-0.00648084,-0.48472,NaN,-0.48472,NaN,NaN,0.38211,10.13999,10.13999,0.00000,67.01318706,150.77046677,113.25959,113.25959,NaN,NaN,189.48820,NaN,10.315641,NaN,NaN,10.13999,10.255584,15.368810,12.919049,1.148825
C,-5.808447,9.675785,0.881975,6,4.72637,0.00000,4.72637,-1.86078193,-0.04774323,-0.95512,NaN,-0.95512,NaN,NaN,0.22592,4.72637,4.72637,0.00000,63.25811549,103.30087827,77.14084,77.14084,NaN,NaN,39.52454,NaN,4.886336,NaN,NaN,4.72637,10.272324,15.024078,11.134955,0.676580
C,-6.400962,8.356855,-3.52149,7,4.76324,0.00000,4.76324,-1.94084351,-0.05130298,-0.96976,NaN,-0.96976,NaN,NaN,0.24227,4.76324,4.76324,0.00000,66.46167006,104.56301607,80.78877,80.78877,NaN,NaN,41.87484,NaN,5.010110,NaN,NaN,4.76324,10.350000,14.999767,11.208575,0.671482
C,-7.691709,11.474014,0.576897,8,4.72246,0.00000,4.72246,-1.25726301,-0.00615680,-0.65137,NaN,-0.65137,NaN,NaN,0.12664,4.72246,4.72246,0.00000,63.17214851,103.30087827,72.01603,72.01603,NaN,NaN,30.53418,NaN,3.866196,NaN,NaN,4.72246,10.106501,15.024078,10.920968,0.635385
H,-4.831937,9.456237,2.671744,9,9.13112,0.00000,9.13112,-1.77013743,-0.00015257,-0.34417,NaN,-0.34417,NaN,NaN,0.15128,9.13112,9.13112,0.00000,52.53245163,118.03237896,90.38496,90.38496,NaN,NaN,119.67128,NaN,8.705999,NaN,NaN,9.13112,10.869502,15.482792,12.343219,0.685823
C,-8.287418,10.164122,-3.806305,10,4.70667,0.00000,4.70667,-1.04329475,-0.00957930,-0.57413,NaN,-0.57413,NaN,NaN,0.08339,4.70667,4.70667,0.00000,65.57186639,103.06953742,73.00426,73.00426,NaN,NaN,26.81697,NaN,3.698203,NaN,NaN,4.70667,10.093728,14.999767,10.901388,0.609886
H,-5.879446,7.128975,-5.083301,11,8.72678,0.00000,8.72678,-1.84489805,-0.00008649,-0.37201,NaN,-0.37201,NaN,NaN,0.16900,8.72678,8.72678,0.00000,80.67531599,130.17062408,102.50568,102.50568,NaN,NaN,175.22842,NaN,11.518518,NaN,NaN,8.72678,10.985782,15.283308,12.387303,0.597280
C,-8.928994,11.71668,-1.760595,12,4.78936,0.00000,4.78936,-1.24980214,-0.00417571,-0.79502,NaN,-0.79502,NaN,NaN,0.11283,4.78936,4.78936,0.00000,65.77075222,103.30087827,75.06398,75.06398,NaN,NaN,27.40276,NaN,3.878047,NaN,NaN,4.78936,10.391076,15.024078,11.130324,0.591824
H,-8.212504,12.694997,2.141167,13,8.90805,0.00000,8.90805,-1.22156749,-0.00006601,-0.26814,NaN,-0.26814,NaN,NaN,0.08611,8.90805,8.90805,0.00000,71.60355416,118.05075954,89.33938,89.33938,NaN,NaN,143.17676,NaN,9.665168,NaN,NaN,8.90805,10.660726,14.680957,12.125962,0.615065
