Element,X,Y,Z,Atom#,LEAE All area,LEAE Positive area,LEAE Negative area,LEAE Minimal value,LEAE Maximal value,LEAE All average,LEAE Positive average,LEAE Negative average,LEAE All variance,LEAE Positive variance,LEAE Negative variance,ESP All area (Ang^2),ESP Positive area (Ang^2),ESP Negative area (Ang^2),ESP Minimal value (kcal/mol),ESP Maximal value (kcal/mol),ESP All average (kcal/mol),ESP Positive average (kcal/mol),ESP Negative average (kcal/mol),ESP All variance (kcal/mol)^2,ESP Positive variance (kcal/mol)^2,ESP Negative variance (kcal/mol)^2,ESP Pi (kcal/mol),ESP nu,ESP nu*sigma^2,ALIE Area(Ang^2),ALIE Min value,ALIE Max value,ALIE Average,ALIE Variance
Si,0.395561,-2.258223,1.484295,1,0.33063,0.00000,0.33063,-0.42894946,-0.00525594,-0.14139,NaN,-0.14139,NaN,NaN,0.01394,0.33063,0.33063,0.00000,43.46471569,111.26798849,65.32706,65.32706,NaN,NaN,185.44868,NaN,9.421356,NaN,NaN,0.33063,10.758600,13.113030,11.544879,0.240333
O,3.259214,-4.047117,0.27179,2,10.24897,0.00000,10.24897,-0.91333870,-0.00141448,-0.28106,NaN,-0.28106,NaN,NaN,0.05018,10.24897,10.24897,0.00000,5.84787514,112.54243852,43.54730,43.54730,NaN,NaN,595.89760,NaN,20.432814,NaN,NaN,10.24897,10.010085,15.370136,12.496069,0.938488
C,5.106429,-3.251856,-0.997286,3,4.45891,0.00000,4.45891,-4.20690703,-0.16455745,-1.87559,NaN,-1.87559,NaN,NaN,1.02233,4.45891,4.45891,0.00000,63.59702688,110.54812743,91.41887,91.41887,NaN,NaN,85.57523,NaN,7.748738,NaN,NaN,4.45891,9.740621,15.341606,12.846217,1.039667
C,7.298778,-4.781941,-1.490786,4,5.70952,0.00000,5.70952,-1.95085719,-0.06293203,-0.58493,NaN,-0.58493,NaN,NaN,0.07186,5.70952,5.70952,0.00000,60.05299296,105.69677620,73.69730,73.69730,NaN,NaN,60.80950,NaN,6.202655,NaN,NaN,5.70952,10.481093,15.168908,11.586163,0.965157
H,5.02458,-1.371474,-1.837989,5,10.11856,0.00000,10.11856,-3.56109656,-0.00709107,-0.57889,NaN,-0.57889,NaN,NaN,0.44968,10.11856,10.11856,0.00000,51.19531701,133.58234584,103.30213,103.30213,NaN,NaN,225.58718,NaN,11.515275,NaN,NaN,10.11856,9.939434,15.438405,13.056333,0.872287
C,7.567537,-7.240684,-0.485338,6,4.72114,0.00000,4.72114,-1.80238833,-0.04251352,-0.97481,NaN,-0.97481,NaN,NaN,0.19576,4.72114,4.72114,0.00000,52.80043702,93.07238210,64.08793,64.08793,NaN,NaN,32.32257,NaN,3.997490,NaN,NaN,4.72114,10.141179,14.903512,10.997424,0.664749
C,9.206978,-3.745231,-3.039547,7,4.75198,0.00000,4.75198,-1.82897257,-0.06098010,-0.96841,NaN,-0.96841,NaN,NaN,0.20013,4.75198,4.75198,0.00000,60.51906696,101.00934062,74.07487,74.07487,NaN,NaN,42.06776,NaN,5.267719,NaN,NaN,4.75198,10.229005,14.883134,11.071490,0.659031
C,9.727537,-8.625982,-1.029914,8,4.74323,0.00000,4.74323,-1.28913220,-0.01238665,-0.71722,NaN,-0.71722,NaN,NaN,0.12039,4.74323,4.74323,0.00000,52.80043702,93.07238210,61.86310,61.86310,NaN,NaN,31.85810,NaN,3.949150,NaN,NaN,4.74323,9.994542,14.903512,10.808389,0.643046
H,6.084075,-8.010464,0.703137,9,9.13650,0.00000,9.13650,-1.69314448,-0.00022130,-0.35939,NaN,-0.35939,NaN,NaN,0.15347,9.13650,9.13650,0.00000,34.19742119,99.39184888,73.61555,73.61555,NaN,NaN,104.12638,NaN,8.189951,NaN,NaN,9.13650,10.740394,15.370136,12.204212,0.686163
C,11.363176,-5.1497,-3.578172,10,4.70345,0.00000,4.70345,-1.21986567,-0.01476453,-0.69369,NaN,-0.69369,NaN,NaN,0.09990,4.70345,4.70345,0.00000,58.92595903,92.82642420,66.98670,66.98670,NaN,NaN,26.60614,NaN,4.006411,NaN,NaN,4.70345,9.990163,14.883134,10.794640,0.614488
