Element,X,Y,Z,Atom#,LEAE All area,LEAE Positive area,LEAE Negative area,LEAE Minimal value,LEAE Maximal value,LEAE All average,LEAE Positive average,LEAE Negative average,LEAE All variance,LEAE Positive variance,LEAE Negative variance,ESP All area (Ang^2),ESP Positive area (Ang^2),ESP Negative area (Ang^2),ESP Minimal value (kcal/mol),ESP Maximal value (kcal/mol),ESP All average (kcal/mol),ESP Positive average (kcal/mol),ESP Negative average (kcal/mol),ESP All variance (kcal/mol)^2,ESP Positive variance (kcal/mol)^2,ESP Negative variance (kcal/mol)^2,ESP Pi (kcal/mol),ESP nu,ESP nu*sigma^2,ALIE Area(Ang^2),ALIE Min value,ALIE Max value,ALIE Average,ALIE Variance
Si,0.3077,-1.660808,1.236098,1,0.23454,0.00000,0.23454,-0.89160292,-0.06982177,-0.30906,NaN,-0.30906,NaN,NaN,0.05287,0.23454,0.23454,0.00000,53.76680562,87.48988782,74.18968,74.18968,NaN,NaN,54.27114,NaN,6.149701,NaN,NaN,0.23454,10.982937,12.601784,11.778138,0.111515
O,3.521586,-2.581203,-0.062951,2,9.91678,0.00000,9.91678,-0.95218626,-0.00586902,-0.29904,NaN,-0.29904,NaN,NaN,0.05990,9.91678,9.91678,0.00000,21.73530884,91.34919175,50.94192,50.94192,NaN,NaN,324.90825,NaN,15.690026,NaN,NaN,9.91678,9.878101,15.356598,12.586181,0.883379
C,4.217634,-4.785977,-0.633066,3,4.41828,0.00000,4.41828,-4.28631194,-0.14248204,-2.00677,NaN,-2.00677,NaN,NaN,1.09141,4.41828,4.41828,0.00000,60.17060240,108.30439708,90.45609,90.45609,NaN,NaN,66.30326,NaN,6.454451,NaN,NaN,4.41828,10.043509,15.356598,13.042531,0.630845
C,6.786908,-5.365061,-1.292888,4,5.73452,0.00000,5.73452,-1.98979226,-0.05085799,-0.58754,NaN,-0.58754,NaN,NaN,0.07467,5.73452,5.73452,0.00000,62.16784095,99.37684427,73.62363,73.62363,NaN,NaN,56.41947,NaN,6.219963,NaN,NaN,5.73452,10.532845,15.249400,11.641899,0.989435
H,2.816225,-6.304587,-0.692819,5,11.12911,0.00000,11.12911,-3.68294643,-0.00162286,-0.47196,NaN,-0.47196,NaN,NaN,0.39308,11.12911,11.12911,0.00000,30.02106764,118.74778868,86.44749,86.44749,NaN,NaN,388.79436,NaN,15.720505,NaN,NaN,11.12911,8.909477,15.238325,12.225745,1.718949
C,8.69791,-3.498076,-1.299143,6,4.73400,0.00000,4.73400,-1.83873379,-0.04059752,-0.99514,NaN,-0.99514,NaN,NaN,0.20478,4.73400,4.73400,0.00000,56.98568186,93.09763410,68.41071,68.41071,NaN,NaN,28.81156,NaN,4.092869,NaN,NaN,4.73400,10.192874,14.961664,11.042219,0.641207
C,7.363399,-7.884109,-1.956522,7,4.74633,0.00000,4.74633,-1.86739376,-0.04127814,-0.98977,NaN,-0.98977,NaN,NaN,0.20999,4.74633,4.74633,0.00000,60.09142779,93.82400892,71.39395,71.39395,NaN,NaN,33.14241,NaN,4.541580,NaN,NaN,4.74633,10.266283,14.961664,11.118271,0.663861
C,11.145913,-4.162101,-1.965576,8,4.74850,0.00000,4.74850,-1.31509243,-0.01301150,-0.72993,NaN,-0.72993,NaN,NaN,0.12377,4.74850,4.74850,0.00000,56.98568186,93.19573490,65.77917,65.77917,NaN,NaN,28.84379,NaN,4.025698,NaN,NaN,4.74850,10.039020,14.961664,10.850543,0.648568
H,8.224612,-1.571481,-0.779612,9,9.12611,0.00000,9.12611,-1.76144212,-0.00044426,-0.37081,NaN,-0.37081,NaN,NaN,0.15777,9.12611,9.12611,0.00000,43.79388512,115.05439451,83.97485,83.97485,NaN,NaN,155.98317,NaN,9.991323,NaN,NaN,9.12611,10.756831,15.356598,12.252407,0.658588
C,9.822853,-8.530468,-2.622534,10,4.72985,0.00000,4.72985,-1.24338710,-0.01383652,-0.70584,NaN,-0.70584,NaN,NaN,0.10311,4.72985,4.72985,0.00000,59.43877747,92.53016804,65.81110,65.81110,NaN,NaN,25.33663,NaN,3.761589,NaN,NaN,4.72985,10.022120,14.881852,10.830586,0.618257
H,5.875089,-9.299072,-1.932831,11,8.78034,0.00000,8.78034,-1.79504684,-0.00058720,-0.37549,NaN,-0.37549,NaN,NaN,0.16446,8.78034,8.78034,0.00000,73.76300455,122.74468316,94.13780,94.13780,NaN,NaN,169.77317,NaN,11.147809,NaN,NaN,8.78034,10.892635,15.179896,12.322123,0.611948
C,11.707097,-6.671595,-2.626908,12,4.74696,0.00000,4.74696,-1.73701743,-0.01301150,-0.97175,NaN,-0.97175,NaN,NaN,0.21426,4.74696,4.74696,0.00000,59.43877747,93.19573490,68.44161,68.44161,NaN,NaN,25.54347,NaN,3.988598,NaN,NaN,4.74696,10.306001,14.961664,11.036627,0.582064
H,12.630276,-2.745642,-1.97681,13,8.91363,0.00000,8.91363,-1.29550050,-0.00010532,-0.30138,NaN,-0.30138,NaN,NaN,0.09965,8.91363,8.91363,0.00000,67.21360538,115.84821137,86.04005,86.04005,NaN,NaN,159.21585,NaN,10.237272,NaN,NaN,8.91363,10.604634,14.605954,12.069112,0.612576
H,10.280006,-10.463674,-3.134169,14,8.88096,0.00000,8.88096,-1.21862803,-0.00016503,-0.29007,NaN,-0.29007,NaN,NaN,0.09082,8.88096,8.88096,0.00000,67.87230708,114.58767079,85.42707,85.42707,NaN,NaN,153.09726,NaN,10.053356,NaN,NaN,8.88096,10.561067,14.666255,12.069616,0.610388
H,13.628555,-7.175477,-3.146736,15,8.88618,0.00000,8.88618,-1.68055389,-0.00010532,-0.36523,NaN,-0.36523,NaN,NaN,0.15619,8.88618,8.88618,0.00000,71.75761800,115.31789925,86.76433,86.76433,NaN,NaN,136.65110,NaN,9.533174,NaN,NaN,8.88618,10.861968,14.606706,12.171005,0.579384
C,3.724953,-7.411795,4.826402,16,3.88081,0.00000,3.88081,-0.87959686,-0.03733512,-0.46909,NaN,-0.46909,NaN,NaN,0.05352,3.88081,3.88081,0.00000,20.37111730,65.30083355,38.63814,38.63814,NaN,NaN,110.81385,NaN,8.865086,NaN,NaN,3.88081,8.636878,11.413454,9.351000,0.299040
C,1.805741,-5.944149,4.25397,17,9.27792,0.00000,9.27792,-0.96598285,-0.00307924,-0.42006,NaN,-0.42006,NaN,NaN,0.03928,9.27792,9.27792,0.00000,14.16256083,85.28017032,41.93479,41.93479,NaN,NaN,163.45558,NaN,9.638625,NaN,NaN,9.27792,8.897391,13.435497,10.240822,0.741528
H,4.124977,-9.119149,3.746826,18,9.05023,0.00000,9.05023,-0.77833519,-0.00174453,-0.31036,NaN,-0.31036,NaN,NaN,0.02511,9.05023,9.05023,0.00000,33.62389226,108.21879380,70.50021,70.50021,NaN,NaN,299.44900,NaN,14.188191,NaN,NaN,9.05023,9.385978,13.183428,11.437119,0.474282
H,4.95067,-6.99312,6.426915,19,8.95279,0.00000,8.95279,-0.81607331,-0.00174453,-0.30260,NaN,-0.30260,NaN,NaN,0.02448,8.95279,8.95279,0.00000,29.16973900,96.78731982,60.76053,60.76053,NaN,NaN,258.19100,NaN,13.241052,NaN,NaN,8.95279,9.342574,13.124403,11.387456,0.470861
C,-0.007264,-4.424816,3.573606,20,4.84109,0.00000,4.84109,-0.93232249,-0.00307924,-0.37469,NaN,-0.37469,NaN,NaN,0.06781,4.84109,4.84109,0.00000,13.83821655,81.40283833,35.58940,35.58940,NaN,NaN,178.90349,NaN,10.440810,NaN,NaN,4.84109,8.908653,13.184627,9.889280,0.705453
H,-1.902671,-4.691122,4.337982,21,9.37384,0.00000,9.37384,-0.88771114,-0.02744716,-0.25159,NaN,-0.25159,NaN,NaN,0.02794,9.37384,9.37384,0.00000,26.85461474,98.90837340,60.28063,60.28063,NaN,NaN,296.99746,NaN,14.315467,NaN,NaN,9.37384,9.624546,13.276001,11.396656,0.412271
Cl,2.411676,0.830092,4.022632,22,22.23239,0.00000,22.23239,-0.56416105,-0.00231538,-0.09336,NaN,-0.09336,NaN,NaN,0.00614,22.23239,22.23239,0.00000,5.49329710,86.67889010,26.50675,26.50675,NaN,NaN,205.93154,NaN,11.313372,NaN,NaN,22.23239,8.708620,12.139010,9.303912,0.259838
Cl,-1.720546,-3.93448,-1.863291,23,21.08429,0.00000,21.08429,-0.36726042,-0.00080496,-0.10117,NaN,-0.10117,NaN,NaN,0.00804,21.08429,21.08429,0.00000,16.50510715,90.10850298,32.93577,32.93577,NaN,NaN,145.29671,NaN,9.027212,NaN,NaN,21.08429,8.723673,12.078317,9.319835,0.234941
O,0.404437,0.820054,-1.317623,24,9.26278,0.00000,9.26278,-1.23612165,-0.01320661,-0.21719,NaN,-0.21719,NaN,NaN,0.02111,9.26278,9.26278,0.00000,21.27134302,119.43320321,51.17354,51.17354,NaN,NaN,535.05942,NaN,19.820142,NaN,NaN,9.26278,9.581304,16.809972,12.056938,1.319200
O,-2.687926,-0.138695,2.433824,25,9.71420,0.00000,9.71420,-1.29572157,-0.01050072,-0.22584,NaN,-0.22584,NaN,NaN,0.02999,9.71420,9.71420,0.00000,17.58543221,118.31740925,50.22260,50.22260,NaN,NaN,569.15261,NaN,20.410218,NaN,NaN,9.71420,9.934635,16.601041,12.092201,1.335326
C,-2.110412,4.314764,-0.27079,26,4.98366,0.00000,4.98366,-2.21716281,-0.13546832,-1.18366,NaN,-1.18366,NaN,NaN,0.28169,4.98366,4.98366,0.00000,94.34293539,153.34926833,116.88847,116.88847,NaN,NaN,143.14525,NaN,10.412580,NaN,NaN,4.98366,11.580109,16.791190,12.968772,0.987131
C,-4.368353,2.716309,-0.524316,27,4.96407,0.00000,4.96407,-2.08659555,-0.10009066,-1.17063,NaN,-1.17063,NaN,NaN,0.27212,4.96407,4.96407,0.00000,93.20640902,151.90717031,117.08078,117.08078,NaN,NaN,116.10133,NaN,9.090395,NaN,NaN,4.96407,11.585325,16.620787,12.945745,0.991606
C,-6.61051,-0.997084,0.664872,28,5.27397,0.00000,5.27397,-2.16480115,-0.07024706,-1.11837,NaN,-1.11837,NaN,NaN,0.27267,5.27397,5.27397,0.00000,86.22501080,153.07743817,113.50715,113.50715,NaN,NaN,159.23256,NaN,10.755410,NaN,NaN,5.27397,11.867455,17.172804,13.616981,1.622192
C,2.356594,4.706183,-0.656332,29,5.35047,0.00000,5.35047,-2.23857252,-0.09924177,-1.15132,NaN,-1.15132,NaN,NaN,0.30269,5.35047,5.35047,0.00000,60.57149819,154.79955496,112.58569,112.58569,NaN,NaN,261.22967,NaN,13.649504,NaN,NaN,5.35047,9.666340,17.172220,13.438505,1.857663
C,2.336833,7.302232,-0.149355,30,5.10028,0.00000,5.10028,-1.54561224,-0.03446820,-0.98645,NaN,-0.98645,NaN,NaN,0.13526,5.10028,5.10028,0.00000,91.72674277,142.92946973,104.80024,104.80024,NaN,NaN,57.11180,NaN,6.083511,NaN,NaN,5.10028,11.263758,15.366611,12.399671,0.764009
C,-2.249785,6.878155,0.227669,31,4.67017,0.00000,4.67017,-1.98077717,-0.08487101,-1.09612,NaN,-1.09612,NaN,NaN,0.24160,4.67017,4.67017,0.00000,94.74566850,152.53679156,110.39981,110.39981,NaN,NaN,98.89859,NaN,8.020205,NaN,NaN,4.67017,11.053517,16.461580,11.949783,0.722819
C,-0.054479,8.336997,0.302609,32,4.71716,0.00000,4.71716,-2.21005321,-0.03446820,-1.22055,NaN,-1.22055,NaN,NaN,0.34586,4.71716,4.71716,0.00000,92.07102117,152.53679156,107.00584,107.00584,NaN,NaN,62.32296,NaN,5.721681,NaN,NaN,4.71716,11.150391,16.461580,11.937642,0.618216
C,-6.391796,3.399974,-2.034923,33,4.68935,0.00000,4.68935,-1.98246016,-0.07240728,-1.09186,NaN,-1.09186,NaN,NaN,0.24141,4.68935,4.68935,0.00000,96.22265570,151.90717031,110.61892,110.61892,NaN,NaN,83.66969,NaN,7.028613,NaN,NaN,4.68935,11.071052,16.581963,11.956166,0.749209
C,-8.513216,1.84425,-2.200184,34,4.71823,0.00000,4.71823,-2.15161392,-0.02879645,-1.19713,NaN,-1.19713,NaN,NaN,0.33963,4.71823,4.71823,0.00000,92.74118832,149.42937429,106.48265,106.48265,NaN,NaN,55.27100,NaN,5.155579,NaN,NaN,4.71823,11.116579,16.510931,11.926531,0.643996
C,-8.697731,-0.424637,-0.855256,35,5.09027,0.00000,5.09027,-1.54665675,-0.02879645,-0.97381,NaN,-0.97381,NaN,NaN,0.13303,5.09027,5.09027,0.00000,92.32847415,143.38440146,103.85290,103.85290,NaN,NaN,46.75911,NaN,5.280968,NaN,NaN,5.09027,11.253409,15.608579,12.392710,0.770970
H,-4.082644,7.714877,0.587637,36,8.96549,0.00000,8.96549,-1.88239600,-0.04061080,-0.51317,NaN,-0.51317,NaN,NaN,0.15904,8.96549,8.96549,0.00000,106.24973726,162.88584253,132.67466,132.67466,NaN,NaN,188.02965,NaN,11.436095,NaN,NaN,8.96549,11.612534,15.709681,13.188418,0.697383
H,-0.22484,10.331437,0.723429,37,8.28959,0.00000,8.28959,-2.09346987,-0.01211584,-0.52143,NaN,-0.52143,NaN,NaN,0.23313,8.28959,8.28959,0.00000,97.94072837,150.25894490,121.81703,121.81703,NaN,NaN,138.62900,NaN,9.844625,NaN,NaN,8.28959,11.677483,15.573391,12.888665,0.448132
H,-6.273292,5.133169,-3.117404,38,8.94200,0.00000,8.94200,-1.86026556,-0.02437899,-0.50404,NaN,-0.50404,NaN,NaN,0.16458,8.94200,8.94200,0.00000,107.87717811,163.50405858,133.19342,133.19342,NaN,NaN,186.97519,NaN,11.468066,NaN,NaN,8.94200,11.601942,15.709681,13.176578,0.668274
H,-10.050104,2.417933,-3.42148,39,8.29063,0.00000,8.29063,-2.06651707,-0.01128755,-0.50198,NaN,-0.50198,NaN,NaN,0.23570,8.29063,8.29063,0.00000,98.32905734,149.69179970,121.23541,121.23541,NaN,NaN,140.05105,NaN,9.951325,NaN,NaN,8.29063,11.674356,15.578767,12.876145,0.455658
C,-10.983277,-2.200282,-1.010867,40,0.38396,0.00000,0.38396,-0.84642372,-0.00294307,-0.31438,NaN,-0.31438,NaN,NaN,0.04365,0.38396,0.38396,0.00000,94.69585882,116.86816018,104.86677,104.86677,NaN,NaN,13.32857,NaN,2.971135,NaN,NaN,0.38396,13.530568,16.105432,14.299163,0.161489
F,-6.50891,-3.013257,2.118489,41,12.61255,0.00000,12.61255,-1.07530807,-0.00514481,-0.10107,NaN,-0.10107,NaN,NaN,0.01443,12.61255,12.61255,0.00000,45.12144772,124.89917365,68.71026,68.71026,NaN,NaN,388.02506,NaN,15.987022,NaN,NaN,12.61255,11.715209,17.354259,15.130639,0.736574
N,0.221994,3.277635,-0.692426,42,4.56424,0.00000,4.56424,-1.06318143,-0.08307579,-0.43812,NaN,-0.43812,NaN,NaN,0.04489,4.56424,4.56424,0.00000,60.21101562,154.79955496,107.78970,107.78970,NaN,NaN,279.71433,NaN,13.383280,NaN,NaN,4.56424,9.925383,17.172220,14.212166,1.621860
N,-4.532746,0.509283,0.818576,43,4.89105,0.00000,4.89105,-0.99041616,-0.07379831,-0.41015,NaN,-0.41015,NaN,NaN,0.03500,4.89105,4.89105,0.00000,64.86284398,153.64586327,105.97396,105.97396,NaN,NaN,244.75783,NaN,12.591964,NaN,NaN,4.89105,10.110766,17.039083,14.150047,1.598971
F,4.430062,3.448652,-1.202306,44,12.67234,0.00000,12.67234,-1.21248618,-0.01320661,-0.14295,NaN,-0.14295,NaN,NaN,0.01738,12.67234,12.67234,0.00000,44.23652484,128.99683736,71.43145,71.43145,NaN,NaN,406.64153,NaN,16.005538,NaN,NaN,12.67234,11.827178,17.326814,15.115775,0.732058
C,4.79055,8.844287,-0.096769,45,0.38296,0.00000,0.38296,-0.82603022,-0.01017361,-0.30718,NaN,-0.30718,NaN,NaN,0.03856,0.38296,0.38296,0.00000,97.42246019,119.47009657,106.55232,106.55232,NaN,NaN,15.99917,NaN,3.258013,NaN,NaN,0.38296,13.683721,16.004574,14.313277,0.154614
C,6.069163,8.754455,-2.727593,46,0.23680,0.00000,0.23680,-0.65269715,-0.00109605,-0.12253,NaN,-0.12253,NaN,NaN,0.02524,0.23680,0.23680,0.00000,74.38925069,110.04178792,89.07313,89.07313,NaN,NaN,125.70401,NaN,9.654407,NaN,NaN,0.23680,12.474029,13.770045,13.207673,0.151014
C,4.256589,11.630425,0.550804,47,0.12316,0.00000,0.12316,-0.03139564,-0.00367082,-0.02007,NaN,-0.02007,NaN,NaN,0.00010,0.12316,0.12316,0.00000,77.27660187,89.85563658,84.20760,84.20760,NaN,NaN,19.93186,NaN,3.982598,NaN,NaN,0.12316,12.531133,13.725191,13.217437,0.214149
C,6.58538,7.763917,1.946679,48,0.22748,0.00000,0.22748,-0.66333161,-0.00066155,-0.12299,NaN,-0.12299,NaN,NaN,0.02527,0.22748,0.22748,0.00000,67.31798148,103.63964466,83.75818,83.75818,NaN,NaN,95.55383,NaN,7.377264,NaN,NaN,0.22748,12.441787,13.968393,13.193124,0.169692
H,4.801087,9.515693,-4.177037,49,8.27173,0.00000,8.27173,-0.99572234,-0.00188336,-0.04476,NaN,-0.04476,NaN,NaN,0.01027,8.27173,8.27173,0.00000,67.17940304,111.77178106,89.32402,89.32402,NaN,NaN,143.79415,NaN,10.311265,NaN,NaN,8.27173,10.559573,14.164547,11.543698,0.599761
H,7.77339,9.928207,-2.666436,50,7.99096,0.00000,7.99096,-0.07780222,-0.00032423,-0.03578,NaN,-0.03578,NaN,NaN,0.00056,7.99096,7.99096,0.00000,66.35409056,105.17089306,83.19996,83.19996,NaN,NaN,105.76199,NaN,8.628515,NaN,NaN,7.99096,10.581730,14.380436,11.536117,0.589109
