Element,X,Y,Z,Atom#,LEAE All area,LEAE Positive area,LEAE Negative area,LEAE Minimal value,LEAE Maximal value,LEAE All average,LEAE Positive average,LEAE Negative average,LEAE All variance,LEAE Positive variance,LEAE Negative variance,ESP All area (Ang^2),ESP Positive area (Ang^2),ESP Negative area (Ang^2),ESP Minimal value (kcal/mol),ESP Maximal value (kcal/mol),ESP All average (kcal/mol),ESP Positive average (kcal/mol),ESP Negative average (kcal/mol),ESP All variance (kcal/mol)^2,ESP Positive variance (kcal/mol)^2,ESP Negative variance (kcal/mol)^2,ESP Pi (kcal/mol),ESP nu,ESP nu*sigma^2,ALIE Area(Ang^2),ALIE Min value,ALIE Max value,ALIE Average,ALIE Variance
Si,0.346045,-1.843913,1.266147,1,0.28483,0.00000,0.28483,-0.58761672,-0.05449635,-0.28481,NaN,-0.28481,NaN,NaN,0.02547,0.28483,0.28483,0.00000,51.45564719,104.44486156,81.28515,81.28515,NaN,NaN,132.32198,NaN,9.080436,NaN,NaN,0.28483,10.826061,13.299858,11.774191,0.278999
O,3.355022,-3.341792,0.105035,2,9.88483,0.00000,9.88483,-0.87224850,-0.00216318,-0.28664,NaN,-0.28664,NaN,NaN,0.05246,9.88483,9.88483,0.00000,19.94301175,105.67091605,52.68272,52.68272,NaN,NaN,372.24260,NaN,16.239627,NaN,NaN,9.88483,9.807048,15.308207,12.587678,0.843988
C,3.704999,-5.511537,-0.82027,3,4.15271,0.00000,4.15271,-4.17709608,-0.13036559,-1.84520,NaN,-1.84520,NaN,NaN,0.97351,4.15271,4.15271,0.00000,58.87974178,109.90791324,89.63651,89.63651,NaN,NaN,99.60283,NaN,8.099915,NaN,NaN,4.15271,9.651352,15.284370,12.872227,1.007152
C,6.194819,-6.569125,-1.093435,4,5.71697,0.00000,5.71697,-1.94086042,-0.05267853,-0.57932,NaN,-0.57932,NaN,NaN,0.06798,5.71697,5.71697,0.00000,62.41461456,99.36804928,72.77252,72.77252,NaN,NaN,53.58446,NaN,6.062195,NaN,NaN,5.71697,10.467069,15.173255,11.574088,0.963881
H,2.089848,-6.585694,-1.530587,5,10.46455,0.00000,10.46455,-3.65163336,-0.01022286,-0.48992,NaN,-0.48992,NaN,NaN,0.38508,10.46455,10.46455,0.00000,35.22345394,118.44568085,87.19225,87.19225,NaN,NaN,382.77374,NaN,15.552786,NaN,NaN,10.46455,9.040630,15.205086,12.198757,1.996947
C,8.371264,-5.307526,-0.197826,6,4.76122,0.00000,4.76122,-1.78689895,-0.04693245,-0.96457,NaN,-0.96457,NaN,NaN,0.19044,4.76122,4.76122,0.00000,55.57882889,91.29080229,66.35302,66.35302,NaN,NaN,27.80686,NaN,3.876529,NaN,NaN,4.76122,10.135106,14.858082,11.000741,0.666208
C,6.414161,-8.936129,-2.303506,7,4.69636,0.00000,4.69636,-1.82891842,-0.03952629,-0.96952,NaN,-0.96952,NaN,NaN,0.19896,4.69636,4.69636,0.00000,58.58361771,91.53787185,70.15430,70.15430,NaN,NaN,32.52616,NaN,4.500525,NaN,NaN,4.69636,10.211031,14.858082,11.054516,0.659666
C,10.727652,-6.415051,-0.519318,8,4.76597,0.00000,4.76597,-1.27870898,-0.01187749,-0.71044,NaN,-0.71044,NaN,NaN,0.11556,4.76597,4.76597,0.00000,55.57882889,91.29080229,63.26812,63.26812,NaN,NaN,26.35339,NaN,3.810693,NaN,NaN,4.76597,9.986168,14.845685,10.796883,0.615311
H,8.168976,-3.494567,0.736043,9,9.11724,0.00000,9.11724,-1.69203656,-0.00016500,-0.35242,NaN,-0.35242,NaN,NaN,0.14938,9.11724,9.11724,0.00000,40.92724705,108.15809389,79.52637,79.52637,NaN,NaN,128.63794,NaN,9.062635,NaN,NaN,9.11724,10.748797,15.308207,12.209465,0.637626
C,8.784409,-10.027556,-2.622564,10,4.75256,0.00000,4.75256,-1.20950808,-0.01489282,-0.68694,NaN,-0.68694,NaN,NaN,0.09864,4.75256,4.75256,0.00000,57.99150300,90.47920326,64.37253,64.37253,NaN,NaN,25.61502,NaN,3.767257,NaN,NaN,4.75256,9.975587,14.765433,10.785818,0.630226
