Element,X,Y,Z,Atom#,LEAE All area,LEAE Positive area,LEAE Negative area,LEAE Minimal value,LEAE Maximal value,LEAE All average,LEAE Positive average,LEAE Negative average,LEAE All variance,LEAE Positive variance,LEAE Negative variance,ESP All area (Ang^2),ESP Positive area (Ang^2),ESP Negative area (Ang^2),ESP Minimal value (kcal/mol),ESP Maximal value (kcal/mol),ESP All average (kcal/mol),ESP Positive average (kcal/mol),ESP Negative average (kcal/mol),ESP All variance (kcal/mol)^2,ESP Positive variance (kcal/mol)^2,ESP Negative variance (kcal/mol)^2,ESP Pi (kcal/mol),ESP nu,ESP nu*sigma^2,ALIE Area(Ang^2),ALIE Min value,ALIE Max value,ALIE Average,ALIE Variance
Si,0.700637,-2.907712,2.207699,1,0.39718,0.00000,0.39718,-0.22063434,-0.01821459,-0.09057,NaN,-0.09057,NaN,NaN,0.00266,0.39718,0.39718,0.00000,37.24518811,75.04419681,57.37658,57.37658,NaN,NaN,85.35512,NaN,7.649807,NaN,NaN,0.39718,10.684589,12.046713,11.273646,0.060793
O,-2.561924,-2.741352,0.561993,2,9.34023,0.00000,9.34023,-1.01138464,-0.00762489,-0.31429,NaN,-0.31429,NaN,NaN,0.06412,9.34023,9.34023,0.00000,19.22468455,119.03717249,61.78370,61.78370,NaN,NaN,739.07291,NaN,23.227328,NaN,NaN,9.34023,9.735486,15.353358,12.577326,1.036161
C,-3.147545,-2.708834,-1.743408,3,4.11752,0.00000,4.11752,-4.21855616,-0.10177624,-1.82818,NaN,-1.82818,NaN,NaN,1.01314,4.11752,4.11752,0.00000,66.92507569,137.76404407,107.12128,107.12128,NaN,NaN,318.13329,NaN,16.045141,NaN,NaN,4.11752,9.551623,15.353358,12.895778,1.034545
C,-5.719844,-3.069104,-2.562839,4,5.71406,0.00000,5.71406,-2.20635056,-0.05225514,-0.60965,NaN,-0.60965,NaN,NaN,0.07581,5.71406,5.71406,0.00000,72.25848797,123.92901740,89.26810,89.26810,NaN,NaN,104.45979,NaN,8.413168,NaN,NaN,5.71406,10.532723,15.161099,11.631371,0.936235
H,-1.715628,-2.265906,-3.165981,5,9.34136,0.00000,9.34136,-3.70445354,-0.01816718,-0.59850,NaN,-0.59850,NaN,NaN,0.42681,9.34136,9.34136,0.00000,58.25270686,142.68049808,112.03460,112.03460,NaN,NaN,350.15872,NaN,15.549021,NaN,NaN,9.34136,9.466579,15.462956,12.805969,1.136238
C,-7.631294,-3.823458,-0.861503,6,4.76926,0.00000,4.76926,-1.80204609,-0.03539559,-0.96395,NaN,-0.96395,NaN,NaN,0.18850,4.76926,4.76926,0.00000,64.26558383,108.30379213,79.53384,79.53384,NaN,NaN,53.97556,NaN,6.051727,NaN,NaN,4.76926,10.200063,14.754579,11.086298,0.639905
C,-6.306857,-2.583237,-5.11721,7,4.74227,0.00000,4.74227,-1.83901794,-0.05194330,-0.97695,NaN,-0.97695,NaN,NaN,0.20278,4.74227,4.74227,0.00000,70.45417320,115.65490145,87.76103,87.76103,NaN,NaN,65.98994,NaN,6.631820,NaN,NaN,4.74227,10.264338,14.916219,11.101978,0.647307
C,-10.094976,-4.087359,-1.721106,8,4.74803,0.00000,4.74803,-1.32881512,-0.01292841,-0.73378,NaN,-0.73378,NaN,NaN,0.12608,4.74803,4.74803,0.00000,64.26558383,108.30379213,75.59785,75.59785,NaN,NaN,43.43068,NaN,4.993171,NaN,NaN,4.74803,10.040040,14.916219,10.866646,0.610007
H,-7.144656,-4.186934,1.096723,9,9.14747,0.00000,9.14747,-1.69418641,-0.00092704,-0.36342,NaN,-0.36342,NaN,NaN,0.15702,9.14747,9.14747,0.00000,43.47160172,112.83778122,87.13183,87.13183,NaN,NaN,116.40679,NaN,8.322410,NaN,NaN,9.14747,10.815642,15.353358,12.206466,0.612643
C,-8.788007,-2.823508,-5.955196,10,4.72785,0.00000,4.72785,-1.26115191,-0.01741436,-0.70772,NaN,-0.70772,NaN,NaN,0.10572,4.72785,4.72785,0.00000,68.61550849,108.82437542,79.89590,79.89590,NaN,NaN,41.28888,NaN,5.081032,NaN,NaN,4.72785,10.038816,14.916219,10.844086,0.611117
H,-4.813777,-2.011345,-6.407672,11,8.81275,0.00000,8.81275,-1.73009775,-0.00055050,-0.38144,NaN,-0.38144,NaN,NaN,0.16405,8.81275,8.81275,0.00000,86.57662163,142.15081548,112.19214,112.19214,NaN,NaN,200.22968,NaN,12.085387,NaN,NaN,8.81275,10.946905,15.333985,12.353355,0.610563
C,-10.675386,-3.579595,-4.259639,12,4.71521,0.00000,4.71521,-1.68231153,-0.01292841,-0.94386,NaN,-0.94386,NaN,NaN,0.20069,4.71521,4.71521,0.00000,67.34208099,108.82437542,79.50974,79.50974,NaN,NaN,37.48796,NaN,4.629423,NaN,NaN,4.71521,10.286053,14.916219,11.023162,0.580000
H,-11.577515,-4.673357,-0.429557,13,8.91695,0.00000,8.91695,-1.28849655,-0.00035193,-0.30471,NaN,-0.30471,NaN,NaN,0.10225,8.91695,8.91695,0.00000,72.66818380,120.14921778,91.81667,91.81667,NaN,NaN,141.91816,NaN,9.600479,NaN,NaN,8.91695,10.609713,14.621225,12.074510,0.613055
H,-9.258046,-2.437441,-7.9145,14,8.93375,0.00000,8.93375,-1.22702974,-0.00015729,-0.29208,NaN,-0.29208,NaN,NaN,0.09178,8.93375,8.93375,0.00000,78.10229544,127.15847145,98.54416,98.54416,NaN,NaN,151.32164,NaN,10.078655,NaN,NaN,8.93375,10.612492,14.721587,12.111896,0.618914
H,-12.610175,-3.77815,-4.91736,15,8.88784,0.00000,8.88784,-1.61899048,-0.00035193,-0.35805,NaN,-0.35805,NaN,NaN,0.14861,8.88784,8.88784,0.00000,78.92760708,123.28074921,95.54456,95.54456,NaN,NaN,130.16241,NaN,9.258143,NaN,NaN,8.88784,10.841739,14.635489,12.172489,0.577709
C,-1.057481,-7.891617,-3.191383,16,3.49699,0.00000,3.49699,-1.36858149,-0.02452926,-0.53761,NaN,-0.53761,NaN,NaN,0.06820,3.49699,3.49699,0.00000,28.32649829,77.38949174,52.59843,52.59843,NaN,NaN,219.58417,NaN,13.793827,NaN,NaN,3.49699,8.734968,11.589803,9.540836,0.260820
C,0.173772,-7.165823,-1.154649,17,9.75517,0.00000,9.75517,-0.79607345,-0.01101639,-0.24266,NaN,-0.24266,NaN,NaN,0.03234,9.75517,9.75517,0.00000,16.90961917,99.89541500,50.06610,50.06610,NaN,NaN,201.66087,NaN,11.158454,NaN,NaN,9.75517,8.870535,13.617683,10.272716,0.709339
H,-0.28324,-7.586117,-5.074926,18,9.04853,0.00000,9.04853,-0.85125943,-0.00233199,-0.19917,NaN,-0.19917,NaN,NaN,0.03510,9.04853,9.04853,0.00000,42.41223962,114.97821508,78.63646,78.63646,NaN,NaN,274.95623,NaN,13.550071,NaN,NaN,9.04853,9.486683,13.180489,11.458230,0.461873
H,-2.858279,-8.879759,-3.054478,19,9.01429,0.00000,9.01429,-0.83513203,-0.00233199,-0.18899,NaN,-0.18899,NaN,NaN,0.03064,9.01429,9.01429,0.00000,37.91675351,108.33833817,72.96570,72.96570,NaN,NaN,260.18029,NaN,13.018792,NaN,NaN,9.01429,9.384449,13.149289,11.442821,0.468233
C,1.258355,-6.257949,0.851747,20,4.90637,0.00000,4.90637,-0.39036158,-0.01101639,-0.09820,NaN,-0.09820,NaN,NaN,0.00247,4.90637,4.90637,0.00000,16.09231762,109.51745568,35.61951,35.61951,NaN,NaN,216.90673,NaN,10.930972,NaN,NaN,4.90637,8.790490,13.661077,9.842953,0.713456
H,2.611312,-7.388315,1.917167,21,9.97107,0.00000,9.97107,-0.68906500,-0.01639979,-0.13873,NaN,-0.13873,NaN,NaN,0.00708,9.97107,9.97107,0.00000,18.32782938,89.38291800,51.85599,51.85599,NaN,NaN,248.11579,NaN,12.556498,NaN,NaN,9.97107,9.131465,12.532328,11.244571,0.338503
Cl,-1.297225,-4.336974,5.640857,22,23.29013,0.00000,23.29013,-0.32496109,-0.00149891,-0.07458,NaN,-0.07458,NaN,NaN,0.00588,23.29013,16.10671,7.18342,-14.19099368,62.55625403,6.82680,12.73344,-6.41712,91.16378,75.47794,15.68584,9.407388,0.142457,12.986898,23.29013,8.470561,11.454841,9.074448,0.291051
Cl,4.396852,-2.604097,4.22094,23,22.18958,0.00000,22.18958,-0.36100956,-0.00192319,-0.08379,NaN,-0.08379,NaN,NaN,0.00761,22.18958,18.88365,3.30593,-9.37863744,84.88385578,17.48122,21.32426,-4.47038,197.42445,190.11309,7.31136,12.606404,0.035662,7.040597,22.18958,8.695417,12.042429,9.312288,0.266101
O,2.047807,-1.491412,-0.894855,24,8.28834,0.00000,8.28834,-1.27577688,-0.01499153,-0.18948,NaN,-0.18948,NaN,NaN,0.01953,8.28834,8.28834,0.00000,23.05098308,123.69022372,62.94160,62.94160,NaN,NaN,552.76343,NaN,19.909092,NaN,NaN,8.28834,10.349883,15.529946,11.916785,1.543053
O,0.049093,0.48174,3.240799,25,9.82372,0.00000,9.82372,-1.25849761,-0.00180381,-0.18522,NaN,-0.18522,NaN,NaN,0.01878,9.82372,9.82372,0.00000,1.99418041,108.26084176,36.65391,36.65391,NaN,NaN,626.25223,NaN,21.087815,NaN,NaN,9.82372,9.803761,15.641757,11.722564,1.277655
C,3.067407,2.708807,-0.217101,26,4.01395,0.00000,4.01395,-1.82976851,-0.01751606,-0.95029,NaN,-0.95029,NaN,NaN,0.23975,4.01395,4.01395,0.00000,72.76358751,144.62554169,108.19729,108.19729,NaN,NaN,332.59127,NaN,16.686154,NaN,NaN,4.01395,11.122435,16.201305,12.713331,1.268460
C,0.324075,3.218697,-0.183919,27,4.03812,0.00000,4.03812,-1.86269958,-0.04622387,-0.99804,NaN,-0.99804,NaN,NaN,0.24017,4.03812,4.03812,0.00000,93.52236094,147.51655165,120.33659,120.33659,NaN,NaN,66.36585,NaN,6.149830,NaN,NaN,4.03812,11.280218,16.298558,12.828143,1.252666
C,-3.631347,2.62774,2.020299,28,5.40724,0.00000,5.40724,-1.88781139,-0.03069772,-1.06646,NaN,-1.06646,NaN,NaN,0.24432,5.40724,5.40724,0.00000,91.36879024,148.19290248,108.17908,108.17908,NaN,NaN,80.41403,NaN,6.395774,NaN,NaN,5.40724,11.597372,16.504396,12.779276,0.788467
C,6.291102,-0.36706,-1.202884,29,5.51564,0.00000,5.51564,-1.84360847,-0.00593121,-0.96315,NaN,-0.96315,NaN,NaN,0.23438,5.51564,5.51564,0.00000,51.25667512,142.24000793,92.33628,92.33628,NaN,NaN,273.79543,NaN,14.438797,NaN,NaN,5.51564,9.877391,16.181540,12.441779,0.934876
C,8.203613,1.494167,-0.949264,30,5.13743,0.00000,5.13743,-1.73262113,-0.00698899,-0.98676,NaN,-0.98676,NaN,NaN,0.15515,5.13743,5.13743,0.00000,76.21981892,141.09177045,94.34404,94.34404,NaN,NaN,85.75333,NaN,7.767156,NaN,NaN,5.13743,11.002080,15.918925,12.115865,0.743311
C,4.886454,4.578534,0.125542,31,4.84772,0.00000,4.84772,-1.49742752,-0.00993807,-0.88668,NaN,-0.88668,NaN,NaN,0.12440,4.84772,4.84772,0.00000,83.70491347,142.88062614,106.13017,106.13017,NaN,NaN,167.78968,NaN,10.854112,NaN,NaN,4.84772,11.162367,15.728484,12.272960,0.859024
C,7.420987,3.905113,-0.228817,32,4.70386,0.00000,4.70386,-1.67965051,-0.00934902,-0.97947,NaN,-0.97947,NaN,NaN,0.20668,4.70386,4.70386,0.00000,78.76033567,141.09177045,97.00192,97.00192,NaN,NaN,97.65482,NaN,8.078220,NaN,NaN,4.70386,10.686647,15.993139,11.583076,0.734228
C,-0.829599,4.841331,-1.908603,33,4.97657,0.00000,4.97657,-1.56761988,-0.02139067,-0.93548,NaN,-0.93548,NaN,NaN,0.12658,4.97657,4.97657,0.00000,107.70582594,146.55056211,119.38479,119.38479,NaN,NaN,37.47039,NaN,4.625193,NaN,NaN,4.97657,11.270776,15.982539,12.339460,0.796917
C,-3.415814,5.315817,-1.61598,34,4.73447,0.00000,4.73447,-1.79628343,-0.02100398,-1.03858,NaN,-1.03858,NaN,NaN,0.23225,4.73447,4.73447,0.00000,100.48372073,148.01286357,112.25230,112.25230,NaN,NaN,45.22887,NaN,4.680671,NaN,NaN,4.73447,10.814130,16.080503,11.730738,0.753078
C,-4.872825,4.298543,0.327187,35,5.15091,0.00000,5.15091,-1.77677255,-0.03186029,-1.02292,NaN,-1.02292,NaN,NaN,0.16333,5.15091,5.15091,0.00000,100.48372073,145.96055375,109.17142,109.17142,NaN,NaN,28.78963,NaN,3.592262,NaN,NaN,5.15091,11.107151,16.037071,12.235007,0.745427
H,8.819085,5.368156,0.069393,36,8.14991,0.00000,8.14991,-1.64821336,-0.00671953,-0.41189,NaN,-0.41189,NaN,NaN,0.15199,8.14991,8.14991,0.00000,91.74842356,141.11951301,113.45985,113.45985,NaN,NaN,149.48738,NaN,10.349917,NaN,NaN,8.14991,11.206157,15.138505,12.615119,0.519201
H,-4.293913,6.557508,-2.984036,37,8.07654,0.00000,8.07654,-1.70616071,-0.00806411,-0.43363,NaN,-0.43363,NaN,NaN,0.16580,8.07654,8.07654,0.00000,103.35915396,152.91817121,126.02299,126.02299,NaN,NaN,131.26391,NaN,9.708067,NaN,NaN,8.07654,11.449686,15.200671,12.731153,0.511075
C,-7.697465,4.939502,0.582022,38,0.41854,0.00000,0.41854,-0.83025375,-0.12279409,-0.41538,NaN,-0.41538,NaN,NaN,0.02032,0.41854,0.41854,0.00000,99.94818965,117.34953239,109.98498,109.98498,NaN,NaN,9.76317,NaN,2.492080,NaN,NaN,0.41854,13.581077,14.858821,14.118666,0.067651
C,-4.75573,1.423982,4.118412,39,7.47013,0.00000,7.47013,-1.49634111,-0.00171609,-0.42330,NaN,-0.42330,NaN,NaN,0.13558,7.47013,7.47013,0.00000,22.79330722,117.34953239,66.61374,66.61374,NaN,NaN,469.70719,NaN,18.300953,NaN,NaN,7.47013,9.913352,14.858821,11.023954,1.031378
N,3.819573,0.31051,-0.766184,40,4.78895,0.00000,4.78895,-1.08134941,-0.00871319,-0.37674,NaN,-0.37674,NaN,NaN,0.04290,4.78895,4.78895,0.00000,52.46465554,144.01620568,101.66428,101.66428,NaN,NaN,342.51819,NaN,15.771004,NaN,NaN,4.78895,9.884582,16.480478,13.855157,1.385276
N,-1.106737,2.103278,1.647777,41,4.35743,0.00000,4.35743,-0.90780925,-0.03186029,-0.42540,NaN,-0.42540,NaN,NaN,0.04345,4.35743,4.35743,0.00000,84.88668074,149.37442782,112.52499,112.52499,NaN,NaN,136.81554,NaN,8.591108,NaN,NaN,4.35743,12.704415,16.607160,14.348839,0.607145
C,6.656796,-2.925585,-1.884108,42,7.43967,0.00000,7.43967,-1.50948070,-0.00201741,-0.40486,NaN,-0.40486,NaN,NaN,0.12875,7.43967,7.43967,0.00000,34.09229710,108.10392033,63.69062,63.69062,NaN,NaN,343.16665,NaN,15.498950,NaN,NaN,7.43967,9.864097,14.974179,10.941595,0.969916
C,11.011563,0.881455,-1.379154,43,0.44231,0.00000,0.44231,-0.83186185,-0.09224652,-0.40363,NaN,-0.40363,NaN,NaN,0.02008,0.44231,0.44231,0.00000,87.27980266,108.10392033,98.07303,98.07303,NaN,NaN,21.96434,NaN,3.968951,NaN,NaN,0.44231,13.414899,14.937158,14.070346,0.096435
C,11.424148,-0.019005,-4.131739,44,0.25477,0.00000,0.25477,-0.65522259,-0.00151241,-0.12602,NaN,-0.12602,NaN,NaN,0.02375,0.25477,0.25477,0.00000,68.76248824,99.25578749,81.55817,81.55817,NaN,NaN,102.74190,NaN,9.219445,NaN,NaN,0.25477,12.355520,13.563974,13.035017,0.143554
C,12.698493,3.22237,-0.974082,45,0.10389,0.00000,0.10389,-0.02939293,-0.00459471,-0.01615,NaN,-0.01615,NaN,NaN,0.00009,0.10389,0.10389,0.00000,71.21924054,83.06167306,76.75242,76.75242,NaN,NaN,16.06630,NaN,3.571804,NaN,NaN,0.10389,12.418095,13.563974,13.009456,0.215082
C,11.884389,-1.161872,0.524939,46,0.23343,0.00000,0.23343,-0.55019465,-0.00052282,-0.11347,NaN,-0.11347,NaN,NaN,0.02097,0.23343,0.23343,0.00000,57.61865760,87.74151987,74.03360,74.03360,NaN,NaN,66.57400,NaN,6.089872,NaN,NaN,0.23343,12.261969,13.542137,13.044737,0.154564
H,10.862008,1.464281,-5.464102,47,8.28669,0.00000,8.28669,-1.02433130,-0.00049414,-0.04129,NaN,-0.04129,NaN,NaN,0.01152,8.28669,8.28669,0.00000,61.97476632,107.38494735,83.87772,83.87772,NaN,NaN,143.84261,NaN,10.232654,NaN,NaN,8.28669,10.441251,13.944206,11.425427,0.598402
H,13.440601,-0.406903,-4.398999,48,7.97759,0.00000,7.97759,-0.07923608,-0.00048252,-0.03662,NaN,-0.03662,NaN,NaN,0.00062,7.97759,7.97759,0.00000,59.63158402,98.59365890,76.61435,76.61435,NaN,NaN,102.89766,NaN,8.500627,NaN,NaN,7.97759,10.462046,14.215419,11.406599,0.562715
H,10.370681,-1.739051,-4.561238,49,9.93628,0.00000,9.93628,-1.10505576,-0.00009503,-0.13065,NaN,-0.13065,NaN,NaN,0.04009,9.93628,9.93628,0.00000,56.69926884,108.07599779,78.61176,78.61176,NaN,NaN,133.86797,NaN,9.817009,NaN,NaN,9.93628,10.013680,14.855608,11.492521,0.893888
H,14.659603,2.67016,-1.327956,50,7.81915,0.00000,7.81915,-0.02832421,-0.00092030,-0.00523,NaN,-0.00523,NaN,NaN,0.00002,7.81915,7.81915,0.00000,61.86759429,100.53828561,78.50723,78.50723,NaN,NaN,99.97633,NaN,8.329459,NaN,NaN,7.81915,10.568770,14.215419,11.478354,0.513414
H,12.213519,4.752546,-2.283322,51,7.82294,0.00000,7.82294,-0.60620988,-0.00035347,-0.02625,NaN,-0.02625,NaN,NaN,0.00315,7.82294,7.82294,0.00000,64.38344891,111.99216055,89.03924,89.03924,NaN,NaN,163.49628,NaN,11.108434,NaN,NaN,7.82294,10.527245,14.195077,11.508059,0.630831
H,12.574232,3.932059,0.967651,52,7.76499,0.00000,7.76499,-0.50734313,-0.00056523,-0.02134,NaN,-0.02134,NaN,NaN,0.00207,7.76499,7.76499,0.00000,61.86759429,106.61987073,84.95986,84.95986,NaN,NaN,145.37438,NaN,10.525798,NaN,NaN,7.76499,10.522137,14.297095,11.496203,0.612956
H,13.896717,-1.535323,0.209108,53,7.97156,0.00000,7.97156,-0.07790784,-0.00050506,-0.03617,NaN,-0.03617,NaN,NaN,0.00060,7.97156,7.97156,0.00000,53.14207089,94.91628148,72.06998,72.06998,NaN,NaN,128.51225,NaN,9.613586,NaN,NaN,7.97156,10.415732,14.215419,11.356020,0.560830
H,11.638332,-0.48377,2.466004,54,8.27439,0.00000,8.27439,-1.03674200,-0.00065293,-0.04069,NaN,-0.04069,NaN,NaN,0.01045,8.27439,8.27439,0.00000,48.05721519,92.15899873,70.64623,70.64623,NaN,NaN,138.78734,NaN,10.214253,NaN,NaN,8.27439,10.375917,13.997720,11.364062,0.609245
H,10.851338,-2.933048,0.30435,55,9.92988,0.00000,9.92988,-1.06470519,-0.00009503,-0.12752,NaN,-0.12752,NaN,NaN,0.03900,9.92988,9.92988,0.00000,48.05721519,105.67419004,70.08178,70.08178,NaN,NaN,149.80390,NaN,10.170630,NaN,NaN,9.92988,10.065882,14.828301,11.449376,0.877314
