Element,X,Y,Z,Atom#,LEAE All area,LEAE Positive area,LEAE Negative area,LEAE Minimal value,LEAE Maximal value,LEAE All average,LEAE Positive average,LEAE Negative average,LEAE All variance,LEAE Positive variance,LEAE Negative variance,ESP All area (Ang^2),ESP Positive area (Ang^2),ESP Negative area (Ang^2),ESP Minimal value (kcal/mol),ESP Maximal value (kcal/mol),ESP All average (kcal/mol),ESP Positive average (kcal/mol),ESP Negative average (kcal/mol),ESP All variance (kcal/mol)^2,ESP Positive variance (kcal/mol)^2,ESP Negative variance (kcal/mol)^2,ESP Pi (kcal/mol),ESP nu,ESP nu*sigma^2,ALIE Area(Ang^2),ALIE Min value,ALIE Max value,ALIE Average,ALIE Variance
Si,-0.207163,-1.631533,0.647171,1,0.21459,0.00000,0.21459,-0.22208210,-0.03124629,-0.08622,NaN,-0.08622,NaN,NaN,0.00097,0.21459,0.21459,0.00000,46.21725794,85.09768249,69.55183,69.55183,NaN,NaN,70.49780,NaN,7.069357,NaN,NaN,0.21459,10.672541,12.184578,11.456420,0.079414
O,2.787713,-3.176819,-0.574411,2,9.80069,0.00000,9.80069,-0.79867352,-0.00138740,-0.24740,NaN,-0.24740,NaN,NaN,0.04657,9.80069,9.80069,0.00000,11.34394262,96.27055068,44.59754,44.59754,NaN,NaN,396.52879,NaN,17.286249,NaN,NaN,9.80069,9.806885,15.203303,12.391968,0.865883
C,4.435106,-4.34671,0.681942,3,4.08627,0.00000,4.08627,-3.39087673,-0.08550378,-1.59622,NaN,-1.59622,NaN,NaN,0.68798,4.08627,4.08627,0.00000,51.39802130,102.79930416,84.57021,84.57021,NaN,NaN,106.26374,NaN,8.541504,NaN,NaN,4.08627,9.350963,15.203303,12.668288,0.980001
C,6.357853,-5.855738,-0.517125,4,5.71655,0.00000,5.71655,-1.71088071,-0.01176116,-0.44108,NaN,-0.44108,NaN,NaN,0.09286,5.71655,5.71655,0.00000,57.76005637,98.40845825,70.26486,70.26486,NaN,NaN,60.25863,NaN,6.246009,NaN,NaN,5.71655,10.330493,15.002474,11.471175,0.983882
H,4.478857,-4.140496,2.737043,5,10.68031,0.00000,10.68031,-2.97918706,-0.00075379,-0.37150,NaN,-0.37150,NaN,NaN,0.27043,10.68031,10.68031,0.00000,27.14443837,115.41043735,83.88745,83.88745,NaN,NaN,401.39165,NaN,15.879546,NaN,NaN,10.68031,8.783662,15.151945,12.101043,1.961633
C,6.427395,-6.204011,-3.159344,6,4.75943,0.00000,4.75943,-1.68491357,-0.04050808,-0.87713,NaN,-0.87713,NaN,NaN,0.17852,4.75943,4.75943,0.00000,53.22108536,92.23468603,65.11828,65.11828,NaN,NaN,31.53419,NaN,4.182974,NaN,NaN,4.75943,10.048714,14.722252,10.909904,0.637419
C,8.24115,-6.929136,1.030305,7,4.73564,0.00000,4.73564,-1.75350782,-0.03229911,-0.88261,NaN,-0.88261,NaN,NaN,0.19502,4.73564,4.73564,0.00000,57.00849373,93.65633528,70.83728,70.83728,NaN,NaN,40.11590,NaN,5.017469,NaN,NaN,4.73564,10.149118,14.762864,10.974885,0.631985
C,8.370944,-7.607646,-4.226667,8,4.73964,0.00000,4.73964,-1.12671939,-0.00231342,-0.60006,NaN,-0.60006,NaN,NaN,0.09550,4.73964,4.73964,0.00000,53.04334692,92.23468603,64.29658,64.29658,NaN,NaN,35.62259,NaN,4.550029,NaN,NaN,4.73964,9.916253,14.722252,10.729134,0.623941
H,4.967616,-5.357581,-4.323567,9,9.15499,0.00000,9.15499,-1.58960613,-0.00014347,-0.32173,NaN,-0.32173,NaN,NaN,0.13031,9.15499,9.15499,0.00000,34.41366068,104.31079319,76.51691,76.51691,NaN,NaN,129.81938,NaN,9.108839,NaN,NaN,9.15499,10.653526,15.203303,12.115171,0.647693
C,10.187901,-8.324164,-0.05418,10,4.74331,0.00000,4.74331,-0.96205169,-0.00285683,-0.53442,NaN,-0.53442,NaN,NaN,0.06837,4.74331,4.74331,0.00000,56.76855976,93.65633528,66.06311,66.06311,NaN,NaN,32.20892,NaN,4.274348,NaN,NaN,4.74331,9.907335,14.762864,10.733066,0.648815
