Element,X,Y,Z,Atom#,LEAE All area,LEAE Positive area,LEAE Negative area,LEAE Minimal value,LEAE Maximal value,LEAE All average,LEAE Positive average,LEAE Negative average,LEAE All variance,LEAE Positive variance,LEAE Negative variance,ESP All area (Ang^2),ESP Positive area (Ang^2),ESP Negative area (Ang^2),ESP Minimal value (kcal/mol),ESP Maximal value (kcal/mol),ESP All average (kcal/mol),ESP Positive average (kcal/mol),ESP Negative average (kcal/mol),ESP All variance (kcal/mol)^2,ESP Positive variance (kcal/mol)^2,ESP Negative variance (kcal/mol)^2,ESP Pi (kcal/mol),ESP nu,ESP nu*sigma^2,ALIE Area(Ang^2),ALIE Min value,ALIE Max value,ALIE Average,ALIE Variance
Si,-0.531383,-1.531033,-1.734315,1,0.20359,0.00000,0.20359,-0.39932789,-0.00785666,-0.08687,NaN,-0.08687,NaN,NaN,0.00773,0.20359,0.20359,0.00000,38.28787323,88.09633625,59.32286,59.32286,NaN,NaN,148.04341,NaN,9.863267,NaN,NaN,0.20359,10.758136,12.520637,11.503781,0.123669
O,-4.121309,-1.831237,-1.188543,2,10.38847,0.00000,10.38847,-0.85998764,-0.00221194,-0.26530,NaN,-0.26530,NaN,NaN,0.04926,10.38847,10.38847,0.00000,5.94662281,120.12692099,44.21451,44.21451,NaN,NaN,601.83215,NaN,20.545140,NaN,NaN,10.38847,9.889521,15.276732,12.419252,0.895178
C,-5.363591,-1.346887,0.781252,3,4.23078,0.00000,4.23078,-3.82168203,-0.13828595,-1.78713,NaN,-1.78713,NaN,NaN,0.84517,4.23078,4.23078,0.00000,68.05602455,123.59052831,97.10256,97.10256,NaN,NaN,150.16017,NaN,10.277537,NaN,NaN,4.23078,10.058065,15.259807,12.957250,0.766282
C,-7.987235,-2.021858,1.054477,4,5.70153,0.00000,5.70153,-1.85631962,-0.05207840,-0.51294,NaN,-0.51294,NaN,NaN,0.08769,5.70153,5.70153,0.00000,63.96373198,111.52940462,77.28471,77.28471,NaN,NaN,67.31100,NaN,6.537050,NaN,NaN,5.70153,10.483041,15.156790,11.586435,0.939155
H,-4.464206,-0.315403,2.32856,5,9.56149,0.00000,9.56149,-3.33799237,-0.00989854,-0.44907,NaN,-0.44907,NaN,NaN,0.28305,9.56149,9.56149,0.00000,55.23173828,136.63808120,106.45068,106.45068,NaN,NaN,320.68761,NaN,14.670008,NaN,NaN,9.56149,9.386032,15.390512,12.749401,1.282289
C,-9.306873,-3.349819,-0.84799,6,4.71247,0.00000,4.71247,-1.75653418,-0.04417637,-0.92901,NaN,-0.92901,NaN,NaN,0.19183,4.71247,4.71247,0.00000,55.46039950,93.99198518,65.99563,65.99563,NaN,NaN,31.28096,NaN,3.867748,NaN,NaN,4.71247,10.142515,14.840495,10.989794,0.655539
C,-9.231601,-1.299827,3.299878,7,4.76240,0.00000,4.76240,-1.80433983,-0.05207840,-0.93017,NaN,-0.93017,NaN,NaN,0.20483,4.76240,4.76240,0.00000,63.58929498,106.29701727,76.74634,76.74634,NaN,NaN,42.95765,NaN,5.278422,NaN,NaN,4.76240,10.211128,14.850688,11.070539,0.666500
C,-11.838756,-3.9402,-0.490017,8,4.70958,0.00000,4.70958,-1.22913909,-0.00858423,-0.66641,NaN,-0.66641,NaN,NaN,0.10876,4.70958,4.70958,0.00000,55.46039950,93.99198518,63.21821,63.21821,NaN,NaN,29.87439,NaN,3.766547,NaN,NaN,4.70958,9.996428,14.850688,10.797291,0.617702
H,-8.323063,-3.892326,-2.563652,9,9.13971,0.00000,9.13971,-1.64226510,-0.00012017,-0.34390,NaN,-0.34390,NaN,NaN,0.14534,9.13971,9.13971,0.00000,33.36928756,100.29108185,74.64012,74.64012,NaN,NaN,104.09597,NaN,8.138459,NaN,NaN,9.13971,10.748580,15.276732,12.186092,0.654844
C,-11.768967,-1.897113,3.64069,10,4.70190,0.00000,4.70190,-1.09674991,-0.00783258,-0.61913,NaN,-0.61913,NaN,NaN,0.08391,4.70190,4.70190,0.00000,61.11515165,93.78942947,68.89201,68.89201,NaN,NaN,26.50381,NaN,3.932654,NaN,NaN,4.70190,9.989314,14.850688,10.803295,0.638951
H,-8.188981,-0.286722,4.751493,11,8.80479,0.00000,8.80479,-1.73119906,-0.00062053,-0.37002,NaN,-0.37002,NaN,NaN,0.15606,8.80479,8.80479,0.00000,79.42886888,133.50204541,103.08805,103.08805,NaN,NaN,202.22237,NaN,12.243235,NaN,NaN,8.80479,10.782722,15.183231,12.301177,0.609995
C,-13.067596,-3.216038,1.74801,12,4.77573,0.00000,4.77573,-1.42927525,-0.00522220,-0.84523,NaN,-0.84523,NaN,NaN,0.14546,4.77573,4.77573,0.00000,59.07411877,93.99198518,68.25205,68.25205,NaN,NaN,24.98744,NaN,3.855608,NaN,NaN,4.77573,10.240840,14.850688,10.978203,0.576793
H,-12.870979,-4.961334,-1.93981,13,8.93499,0.00000,8.93499,-1.19370084,-0.00009600,-0.27506,NaN,-0.27506,NaN,NaN,0.08568,8.93499,8.93499,0.00000,63.43922810,109.39610915,80.52488,80.52488,NaN,NaN,147.10960,NaN,9.916926,NaN,NaN,8.93499,10.496510,14.562747,12.020392,0.613229
H,-12.737058,-1.347891,5.36412,14,8.93469,0.00000,8.93469,-1.07846766,-0.00003126,-0.25210,NaN,-0.25210,NaN,NaN,0.06994,8.93469,8.93469,0.00000,70.94299205,118.67353857,89.36954,89.36954,NaN,NaN,158.36560,NaN,10.365065,NaN,NaN,8.93469,10.586370,14.664116,12.055071,0.614278
H,-15.048685,-3.685442,2.014066,15,8.86685,0.00000,8.86685,-1.34919041,-0.00020850,-0.30095,NaN,-0.30095,NaN,NaN,0.10463,8.86685,8.86685,0.00000,71.27327792,114.49324666,86.13466,86.13466,NaN,NaN,136.27881,NaN,9.556468,NaN,NaN,8.86685,10.836230,14.566963,12.131223,0.572059
C,-2.908793,-4.975776,4.658542,16,3.43354,0.00000,3.43354,-0.95042872,-0.03641775,-0.50103,NaN,-0.50103,NaN,NaN,0.05084,3.43354,3.43354,0.00000,34.32519474,74.05945165,55.21814,55.21814,NaN,NaN,163.97950,NaN,11.894305,NaN,NaN,3.43354,8.751720,11.624795,9.581806,0.285676
C,-1.317678,-4.539895,2.799903,17,9.51163,0.00000,9.51163,-0.94581883,-0.00452362,-0.32949,NaN,-0.32949,NaN,NaN,0.02395,9.51163,9.51163,0.00000,25.34514870,101.02755321,57.20058,57.20058,NaN,NaN,165.92229,NaN,10.082947,NaN,NaN,9.51163,9.008317,13.765680,10.391196,0.753985
H,-2.709374,-4.047221,6.485107,18,9.02307,0.00000,9.02307,-0.78940639,-0.00231647,-0.25983,NaN,-0.25983,NaN,NaN,0.02546,9.02307,9.02307,0.00000,47.97342237,118.28397514,81.94232,81.94232,NaN,NaN,266.08324,NaN,13.420792,NaN,NaN,9.02307,9.461207,13.261552,11.522712,0.463471
H,-4.456696,-6.314871,4.437642,19,9.00475,0.00000,9.00475,-0.77281545,-0.00260954,-0.25197,NaN,-0.25197,NaN,NaN,0.02216,9.00475,9.00475,0.00000,42.68606265,110.21458742,75.42060,75.42060,NaN,NaN,237.42557,NaN,12.506883,NaN,NaN,9.00475,9.370570,13.254687,11.499380,0.476582
C,0.11255,-4.043568,0.863034,20,4.52265,0.00000,4.52265,-0.74009437,-0.00452362,-0.26597,NaN,-0.26597,NaN,NaN,0.02978,4.52265,4.52265,0.00000,22.95135803,112.74940784,49.05615,49.05615,NaN,NaN,353.33757,NaN,14.866495,NaN,NaN,4.52265,8.908741,13.826741,9.942932,0.896095
H,1.759976,-5.240207,0.554266,21,11.48750,0.00000,11.48750,-1.39389450,-0.03998809,-0.35096,NaN,-0.35096,NaN,NaN,0.06286,11.48750,11.48750,0.00000,26.60096505,109.09013407,77.34950,77.34950,NaN,NaN,376.38246,NaN,16.477205,NaN,NaN,11.48750,9.446498,15.237363,11.673301,0.678273
Cl,-1.519534,1.39519,-4.61308,22,22.18931,0.00000,22.18931,-0.38592167,-0.00451799,-0.09585,NaN,-0.09585,NaN,NaN,0.00773,22.18931,19.84539,2.34391,-7.13784798,83.02883189,21.24645,24.16235,-3.44178,229.19542,224.98196,4.21346,13.330411,0.018046,4.136003,22.18931,8.764477,11.841877,9.396994,0.285089
Cl,-0.712999,-4.595597,-4.68166,23,21.84426,0.00000,21.84426,-0.35450966,-0.00180669,-0.07946,NaN,-0.07946,NaN,NaN,0.00737,21.84426,16.01358,5.83068,-12.09494412,72.63458223,7.29367,11.91555,-5.40003,107.33388,94.87449,12.45939,8.796036,0.102606,11.013092,21.84426,8.554479,11.610979,9.139318,0.277820
O,-0.371507,1.008216,0.904568,24,7.94380,0.00000,7.94380,-1.47143026,-0.02366603,-0.19377,NaN,-0.19377,NaN,NaN,0.01766,7.94380,7.94380,0.00000,35.73032596,120.12692099,65.85285,65.85285,NaN,NaN,373.05874,NaN,16.359602,NaN,NaN,7.94380,10.308296,15.570859,12.019636,1.493662
O,2.879332,-0.842927,-2.489223,25,9.32702,0.00000,9.32702,-1.46736324,-0.00615941,-0.16013,NaN,-0.16013,NaN,NaN,0.01636,9.32702,9.32702,0.00000,7.75929308,112.59907919,41.07228,41.07228,NaN,NaN,611.12644,NaN,20.965888,NaN,NaN,9.32702,10.020219,15.668273,11.884607,1.283096
C,3.2715,3.363461,0.352489,26,4.55717,0.00000,4.55717,-2.05017891,-0.05168593,-1.05769,NaN,-1.05769,NaN,NaN,0.27895,4.55717,4.55717,0.00000,72.40683588,145.61338550,110.89732,110.89732,NaN,NaN,247.31979,NaN,13.801883,NaN,NaN,4.55717,11.274539,16.485900,12.801147,1.263136
C,4.694025,1.043762,1.027444,27,3.90430,0.00000,3.90430,-2.25305701,-0.06214715,-1.10564,NaN,-1.10564,NaN,NaN,0.35031,3.90430,3.90430,0.00000,82.97154641,144.79270499,113.06684,113.06684,NaN,NaN,135.00069,NaN,9.958282,NaN,NaN,3.90430,11.339774,16.429848,12.923599,1.160080
C,6.042923,-3.078986,-0.320802,28,4.71519,0.00000,4.71519,-1.34004434,-0.07102019,-0.82489,NaN,-0.82489,NaN,NaN,0.08083,4.71519,4.71519,0.00000,78.55334370,144.56765459,99.73583,99.73583,NaN,NaN,110.03598,NaN,7.837786,NaN,NaN,4.71519,11.105413,16.412190,12.575019,1.261510
C,-0.796542,5.369816,0.134668,29,5.55901,0.00000,5.55901,-1.33400787,-0.09000131,-0.78833,NaN,-0.78833,NaN,NaN,0.07739,5.55901,5.55901,0.00000,62.67998780,145.30181622,95.00306,95.00306,NaN,NaN,258.79973,NaN,13.491139,NaN,NaN,5.55901,11.022048,16.363806,12.387245,1.247007
C,0.425111,7.723144,-0.384546,30,5.57958,0.00000,5.57958,-1.08403738,-0.12258371,-0.76647,NaN,-0.76647,NaN,NaN,0.04082,5.57958,5.57958,0.00000,78.40669843,143.28963202,95.46783,95.46783,NaN,NaN,101.06329,NaN,7.879000,NaN,NaN,5.57958,11.101888,16.049816,12.064880,0.837102
C,4.531149,5.636562,-0.256311,31,5.16182,0.00000,5.16182,-1.25469565,-0.05391938,-0.80580,NaN,-0.80580,NaN,NaN,0.08681,5.16182,5.16182,0.00000,85.03522926,142.63429910,105.54187,105.54187,NaN,NaN,132.71063,NaN,9.285192,NaN,NaN,5.16182,10.969304,15.947634,12.119664,0.930098
C,3.071083,7.780866,-0.62104,32,4.75362,0.00000,4.75362,-2.09350813,-0.06861150,-1.16621,NaN,-1.16621,NaN,NaN,0.27444,4.75362,4.75362,0.00000,85.03522926,143.28963202,100.43092,100.43092,NaN,NaN,70.77436,NaN,6.490248,NaN,NaN,4.75362,10.790778,16.131725,11.698219,0.701766
C,6.276514,0.959246,3.179933,33,4.76454,0.00000,4.76454,-1.36456914,-0.06448947,-0.78826,NaN,-0.78826,NaN,NaN,0.09065,4.76454,4.76454,0.00000,91.72368279,142.16903278,108.18012,108.18012,NaN,NaN,78.55672,NaN,6.680415,NaN,NaN,4.76454,10.933418,15.966379,12.153847,0.944050
