Element,X,Y,Z,Atom#,LEAE All area,LEAE Positive area,LEAE Negative area,LEAE Minimal value,LEAE Maximal value,LEAE All average,LEAE Positive average,LEAE Negative average,LEAE All variance,LEAE Positive variance,LEAE Negative variance,ESP All area (Ang^2),ESP Positive area (Ang^2),ESP Negative area (Ang^2),ESP Minimal value (kcal/mol),ESP Maximal value (kcal/mol),ESP All average (kcal/mol),ESP Positive average (kcal/mol),ESP Negative average (kcal/mol),ESP All variance (kcal/mol)^2,ESP Positive variance (kcal/mol)^2,ESP Negative variance (kcal/mol)^2,ESP Pi (kcal/mol),ESP nu,ESP nu*sigma^2,ALIE Area(Ang^2),ALIE Min value,ALIE Max value,ALIE Average,ALIE Variance
Si,0.33961,-1.955184,1.054299,1,0.27448,0.00000,0.27448,-0.41406955,-0.00851039,-0.13307,NaN,-0.13307,NaN,NaN,0.01432,0.27448,0.27448,0.00000,41.66405496,107.76498511,63.03167,63.03167,NaN,NaN,98.28473,NaN,6.922124,NaN,NaN,0.27448,10.756026,12.933274,11.415094,0.141685
O,3.629168,-2.931525,-0.051618,2,10.16748,0.00000,10.16748,-0.77801431,-0.00198462,-0.24862,NaN,-0.24862,NaN,NaN,0.04002,10.16748,10.16748,0.00000,5.81829663,96.38830922,42.43621,42.43621,NaN,NaN,536.88246,NaN,20.020952,NaN,NaN,10.16748,9.877594,15.334879,12.445642,0.927684
C,5.464566,-1.566441,-0.695206,3,4.25836,0.00000,4.25836,-3.73403574,-0.12264996,-1.72128,NaN,-1.72128,NaN,NaN,0.82095,4.25836,4.25836,0.00000,65.37329570,115.44163625,93.65810,93.65810,NaN,NaN,104.65306,NaN,8.397746,NaN,NaN,4.25836,9.688386,15.334384,12.943905,0.862365
C,7.965961,-2.561085,-1.089325,4,5.68786,0.00000,5.68786,-1.94312827,-0.01571072,-0.42835,NaN,-0.42835,NaN,NaN,0.10581,5.68786,5.68786,0.00000,62.14196876,108.69170002,75.17650,75.17650,NaN,NaN,67.32208,NaN,6.493981,NaN,NaN,5.68786,10.478790,15.200207,11.580150,0.942320
H,5.162805,0.439494,-1.025736,5,10.29420,0.00000,10.29420,-3.25193314,-0.01675616,-0.50551,NaN,-0.50551,NaN,NaN,0.23922,10.29420,10.29420,0.00000,65.85032838,136.15949276,109.40114,109.40114,NaN,NaN,200.55422,NaN,11.013947,NaN,NaN,10.29420,9.693003,15.270690,12.884433,1.102019
C,8.532539,-5.144256,-0.727637,6,4.74746,0.00000,4.74746,-1.73620434,-0.03776373,-0.89522,NaN,-0.89522,NaN,NaN,0.19609,4.74746,4.74746,0.00000,54.09979800,93.09932955,64.41571,64.41571,NaN,NaN,32.14066,NaN,3.862232,NaN,NaN,4.74746,10.146721,14.885959,11.002808,0.673044
C,9.871553,-0.860355,-1.858789,7,4.76004,0.00000,4.76004,-1.81664931,-0.03523217,-0.90817,NaN,-0.90817,NaN,NaN,0.21639,4.76004,4.76004,0.00000,63.54536301,106.42679230,76.48883,76.48883,NaN,NaN,44.97739,NaN,5.538290,NaN,NaN,4.76004,10.208006,14.885959,11.078600,0.679988
C,10.980603,-5.997101,-1.136302,8,4.70354,0.00000,4.70354,-1.18093867,-0.00549870,-0.62591,NaN,-0.62591,NaN,NaN,0.10744,4.70354,4.70354,0.00000,54.09979800,93.09932955,62.17254,62.17254,NaN,NaN,31.32160,NaN,3.870552,NaN,NaN,4.70354,9.992749,14.885959,10.795379,0.628568
H,7.046632,-6.426843,-0.133573,9,9.13747,0.00000,9.13747,-1.63577164,-0.00031725,-0.33310,NaN,-0.33310,NaN,NaN,0.13860,9.13747,9.13747,0.00000,33.79819980,99.42972503,73.58624,73.58624,NaN,NaN,103.94142,NaN,8.204309,NaN,NaN,9.13747,10.727069,15.334879,12.201490,0.687095
C,12.317698,-1.732514,-2.263845,10,4.74520,0.00000,4.74520,-1.00824927,-0.00823033,-0.55910,NaN,-0.55910,NaN,NaN,0.07583,4.74520,4.74520,0.00000,60.68645833,93.56036882,68.74036,68.74036,NaN,NaN,27.40667,NaN,4.102990,NaN,NaN,4.74520,9.993615,14.880991,10.801385,0.622972
H,9.414098,1.126307,-2.113562,11,8.78306,0.00000,8.78306,-1.73468256,-0.00102994,-0.36655,NaN,-0.36655,NaN,NaN,0.14969,8.78306,8.78306,0.00000,81.12761768,141.45731204,106.95840,106.95840,NaN,NaN,251.93587,NaN,13.595306,NaN,NaN,8.78306,10.840218,15.267938,12.319249,0.606044
C,12.868663,-4.296735,-1.902077,12,4.75198,0.00000,4.75198,-1.20239451,-0.00214240,-0.75427,NaN,-0.75427,NaN,NaN,0.10539,4.75198,4.75198,0.00000,58.11481631,93.56036882,67.64896,67.64896,NaN,NaN,25.94113,NaN,3.931464,NaN,NaN,4.75198,10.246455,14.885959,10.981802,0.586176
H,11.437709,-7.978707,-0.863843,13,8.92143,0.00000,8.92143,-1.14416918,-0.00019403,-0.25507,NaN,-0.25507,NaN,NaN,0.07601,8.92143,8.92143,0.00000,62.46914810,108.82847658,79.77608,79.77608,NaN,NaN,148.83261,NaN,9.980678,NaN,NaN,8.92143,10.579201,14.566197,12.025019,0.617081
H,13.793268,-0.434293,-2.852149,14,8.91298,0.00000,8.91298,-0.96736359,-0.00044245,-0.21932,NaN,-0.21932,NaN,NaN,0.05485,8.91298,8.91298,0.00000,71.19929660,120.15775248,90.50929,90.50929,NaN,NaN,165.64374,NaN,10.689234,NaN,NaN,8.91298,10.560804,14.693076,12.061405,0.611793
H,14.779737,-4.978988,-2.215581,15,8.86980,0.00000,8.86980,-1.12878187,-0.00042896,-0.25273,NaN,-0.25273,NaN,NaN,0.07380,8.86980,8.86980,0.00000,70.59582292,114.37824490,85.81892,85.81892,NaN,NaN,137.47099,NaN,9.608927,NaN,NaN,8.86980,10.826902,14.563131,12.133093,0.578334
C,6.379982,1.782358,4.017442,16,3.42271,0.00000,3.42271,-0.93228381,-0.13527468,-0.53816,NaN,-0.53816,NaN,NaN,0.05332,3.42271,3.42271,0.00000,37.12862738,81.03884079,56.35022,56.35022,NaN,NaN,130.93848,NaN,9.769474,NaN,NaN,3.42271,8.773600,11.699292,9.567076,0.269218
C,3.994488,1.111373,3.841764,17,9.08808,0.00000,9.08808,-0.87381726,-0.01657630,-0.46277,NaN,-0.46277,NaN,NaN,0.03998,9.08808,9.08808,0.00000,22.68571738,98.19938815,59.65331,59.65331,NaN,NaN,207.72972,NaN,11.593950,NaN,NaN,9.08808,9.032518,13.388596,10.389689,0.608585
