Element,X,Y,Z,Atom#,LEAE All area,LEAE Positive area,LEAE Negative area,LEAE Minimal value,LEAE Maximal value,LEAE All average,LEAE Positive average,LEAE Negative average,LEAE All variance,LEAE Positive variance,LEAE Negative variance,ESP All area (Ang^2),ESP Positive area (Ang^2),ESP Negative area (Ang^2),ESP Minimal value (kcal/mol),ESP Maximal value (kcal/mol),ESP All average (kcal/mol),ESP Positive average (kcal/mol),ESP Negative average (kcal/mol),ESP All variance (kcal/mol)^2,ESP Positive variance (kcal/mol)^2,ESP Negative variance (kcal/mol)^2,ESP Pi (kcal/mol),ESP nu,ESP nu*sigma^2,ALIE Area(Ang^2),ALIE Min value,ALIE Max value,ALIE Average,ALIE Variance
Si,1.249772,2.599163,-0.921279,1,0.63591,0.00000,0.63591,-0.29811678,-0.00435404,-0.10525,NaN,-0.10525,NaN,NaN,0.00387,0.63591,0.63591,0.00000,36.66616855,101.44405894,61.01440,61.01440,NaN,NaN,198.16240,NaN,11.798853,NaN,NaN,0.63591,10.551288,12.641616,11.219776,0.241207
O,-1.774147,1.808251,1.184909,2,9.70137,0.00000,9.70137,-0.94594450,-0.01222054,-0.30578,NaN,-0.30578,NaN,NaN,0.05656,9.70137,9.70137,0.00000,29.17960957,120.76107083,65.25658,65.25658,NaN,NaN,629.10397,NaN,21.674774,NaN,NaN,9.70137,10.004393,15.384979,12.693436,1.046000
C,-4.053676,2.166356,0.653915,3,4.55653,0.00000,4.55653,-4.27430878,-0.13049478,-2.04031,NaN,-2.04031,NaN,NaN,1.11389,4.55653,4.55653,0.00000,78.51737215,127.33705857,111.47384,111.47384,NaN,NaN,118.25107,NaN,9.133892,NaN,NaN,4.55653,11.952014,15.320577,13.319168,0.396678
C,-6.084744,1.396563,2.291038,4,5.69712,0.00000,5.69712,-1.95068824,-0.07509277,-0.58463,NaN,-0.58463,NaN,NaN,0.08650,5.69712,5.69712,0.00000,74.07720062,119.08667940,91.95038,91.95038,NaN,NaN,111.08845,NaN,8.756916,NaN,NaN,5.69712,10.567319,15.320577,11.707413,0.920832
H,-4.548325,3.08361,-1.134922,5,9.86197,0.00000,9.86197,-3.72917771,-0.00455817,-0.66661,NaN,-0.66661,NaN,NaN,0.55142,9.86197,9.86197,0.00000,61.71950172,135.48882469,107.77507,107.77507,NaN,NaN,286.08424,NaN,14.100121,NaN,NaN,9.86197,9.351613,15.266801,12.592570,1.584146
C,-5.639519,0.076445,4.568477,6,4.71383,0.00000,4.71383,-1.87241302,-0.04501167,-1.00153,NaN,-1.00153,NaN,NaN,0.21616,4.71383,4.71383,0.00000,69.22620477,114.45929484,87.09686,87.09686,NaN,NaN,90.70660,NaN,8.438546,NaN,NaN,4.71383,10.280217,14.980459,11.132401,0.657007
C,-8.577291,1.942244,1.518726,7,4.75746,0.00000,4.75746,-1.92021332,-0.04030671,-0.99833,NaN,-0.99833,NaN,NaN,0.21841,4.75746,4.75746,0.00000,72.31041032,114.45929484,88.86764,88.86764,NaN,NaN,60.59777,NaN,6.395221,NaN,NaN,4.75746,10.376488,14.980459,11.196713,0.628636
C,-7.673518,-0.676966,6.041583,8,4.74767,0.00000,4.74767,-1.36015655,-0.01412374,-0.74596,NaN,-0.74596,NaN,NaN,0.13059,4.74767,4.74767,0.00000,69.22620477,114.45929484,83.75843,83.75843,NaN,NaN,66.33223,NaN,7.053104,NaN,NaN,4.74767,10.111828,14.980459,10.921072,0.624699
H,-3.71121,-0.339385,5.128399,9,9.17520,0.00000,9.17520,-1.77751728,-0.00101839,-0.38253,NaN,-0.38253,NaN,NaN,0.17309,9.17520,9.17520,0.00000,56.67311697,130.75204852,100.93815,100.93815,NaN,NaN,168.35196,NaN,10.071410,NaN,NaN,9.17520,10.882638,15.339771,12.338408,0.643951
C,-10.605432,1.191652,3.014901,10,4.71674,0.00000,4.71674,-1.25426975,-0.01422215,-0.71063,NaN,-0.71063,NaN,NaN,0.10353,4.71674,4.71674,0.00000,71.52231379,113.96844355,83.44706,83.44706,NaN,NaN,54.25459,NaN,6.173878,NaN,NaN,4.71674,10.090159,14.949375,10.905635,0.609448
