Element,X,Y,Z,Atom#,LEAE All area,LEAE Positive area,LEAE Negative area,LEAE Minimal value,LEAE Maximal value,LEAE All average,LEAE Positive average,LEAE Negative average,LEAE All variance,LEAE Positive variance,LEAE Negative variance,ESP All area (Ang^2),ESP Positive area (Ang^2),ESP Negative area (Ang^2),ESP Minimal value (kcal/mol),ESP Maximal value (kcal/mol),ESP All average (kcal/mol),ESP Positive average (kcal/mol),ESP Negative average (kcal/mol),ESP All variance (kcal/mol)^2,ESP Positive variance (kcal/mol)^2,ESP Negative variance (kcal/mol)^2,ESP Pi (kcal/mol),ESP nu,ESP nu*sigma^2,ALIE Area(Ang^2),ALIE Min value,ALIE Max value,ALIE Average,ALIE Variance
Si,-0.973474,1.351719,2.372808,1,0.59757,0.00000,0.59757,-0.35705683,-0.01348991,-0.15762,NaN,-0.15762,NaN,NaN,0.00761,0.59757,0.59757,0.00000,38.98334090,101.00153801,63.67120,63.67120,NaN,NaN,191.41866,NaN,10.961223,NaN,NaN,0.59757,10.800338,12.873361,11.466748,0.166443
O,1.989866,1.57061,0.261463,2,8.58594,0.00000,8.58594,-1.10470200,-0.01212172,-0.31155,NaN,-0.31155,NaN,NaN,0.05352,8.58594,8.58594,0.00000,46.57080104,122.44184276,80.14201,80.14201,NaN,NaN,335.79848,NaN,15.966147,NaN,NaN,8.58594,10.885617,15.481898,12.846705,0.800429
C,4.071237,2.647446,0.695257,3,3.92336,0.00000,3.92336,-4.06048004,-0.12869101,-1.80302,NaN,-1.80302,NaN,NaN,0.93065,3.92336,3.92336,0.00000,68.78244179,131.79713072,107.45165,107.45165,NaN,NaN,238.60310,NaN,13.855208,NaN,NaN,3.92336,9.698200,15.481898,12.950786,1.122174
C,5.951972,2.954058,-1.247866,4,5.69832,0.00000,5.69832,-1.91181241,-0.06099176,-0.57107,NaN,-0.57107,NaN,NaN,0.08350,5.69832,5.69832,0.00000,78.50577883,117.74810547,94.39566,94.39566,NaN,NaN,109.42510,NaN,8.971550,NaN,NaN,5.69832,10.610784,15.042115,11.698499,0.915406
H,4.539409,3.215231,2.625746,5,10.43512,0.00000,10.43512,-3.54830166,-0.00323174,-0.45535,NaN,-0.45535,NaN,NaN,0.36344,10.43512,10.43512,0.00000,30.97772381,125.48963225,94.15157,94.15157,NaN,NaN,522.19705,NaN,18.438252,NaN,NaN,10.43512,9.010449,15.382454,12.252074,2.070109
C,5.455832,2.35211,-3.800073,6,4.73910,0.00000,4.73910,-1.82988164,-0.05237935,-0.98514,NaN,-0.98514,NaN,NaN,0.20644,4.73910,4.73910,0.00000,75.24564981,117.74810547,93.81002,93.81002,NaN,NaN,96.98538,NaN,8.745302,NaN,NaN,4.73910,10.292569,14.994795,11.136622,0.625692
C,8.371577,3.797718,-0.513749,7,4.73144,0.00000,4.73144,-1.91360448,-0.05237935,-0.99502,NaN,-0.99502,NaN,NaN,0.22296,4.73144,4.73144,0.00000,73.15423017,117.74810547,89.12579,89.12579,NaN,NaN,56.59160,NaN,6.163752,NaN,NaN,4.73144,10.346351,14.994795,11.186297,0.657988
C,7.370947,2.575678,-5.577914,8,4.70296,0.00000,4.70296,-1.37805451,-0.01347838,-0.73522,NaN,-0.73522,NaN,NaN,0.13495,4.70296,4.70296,0.00000,75.06233404,117.74810547,89.69757,89.69757,NaN,NaN,77.97500,NaN,7.756533,NaN,NaN,4.70296,10.138740,14.994795,10.945511,0.637250
H,3.574997,1.745772,-4.34562,9,9.20499,0.00000,9.20499,-1.74664129,-0.00158911,-0.37953,NaN,-0.37953,NaN,NaN,0.16470,9.20499,9.20499,0.00000,69.61314817,143.05104374,110.76618,110.76618,NaN,NaN,201.40123,NaN,11.132326,NaN,NaN,9.20499,10.884740,15.481898,12.373003,0.622384
C,10.285311,4.001465,-2.305944,10,4.73008,0.00000,4.73008,-1.20944398,-0.01895836,-0.68346,NaN,-0.68346,NaN,NaN,0.09753,4.73008,4.73008,0.00000,73.06329357,117.74810547,83.82797,83.82797,NaN,NaN,46.95626,NaN,5.345667,NaN,NaN,4.73008,10.106721,14.994795,10.914996,0.627714
H,8.721918,4.269135,1.454105,11,8.78257,0.00000,8.78257,-1.82186839,-0.00065498,-0.38628,NaN,-0.38628,NaN,NaN,0.17321,8.78257,8.78257,0.00000,86.03314671,133.33912910,106.86036,106.86036,NaN,NaN,145.57848,NaN,10.250436,NaN,NaN,8.78257,10.938291,15.382454,12.385638,0.610441
C,9.784654,3.390138,-4.831693,12,4.78062,0.00000,4.78062,-1.56038906,-0.01347838,-0.90843,NaN,-0.90843,NaN,NaN,0.17117,4.78062,4.78062,0.00000,73.80362350,117.74810547,88.16036,88.16036,NaN,NaN,50.57888,NaN,5.840657,NaN,NaN,4.78062,10.355942,14.994795,11.097550,0.574006
H,7.005315,2.129102,-7.547012,13,8.91813,0.00000,8.91813,-1.35208964,-0.00032937,-0.30647,NaN,-0.30647,NaN,NaN,0.10527,8.91813,8.91813,0.00000,85.18404765,138.49680765,109.33482,109.33482,NaN,NaN,167.83784,NaN,10.442566,NaN,NaN,8.91813,10.652448,14.746893,12.177390,0.613368
H,12.154805,4.638012,-1.750795,14,8.91517,0.00000,8.91517,-1.17695240,-0.00020526,-0.27461,NaN,-0.27461,NaN,NaN,0.08237,8.91517,8.91517,0.00000,80.60368211,127.75766791,99.91687,99.91687,NaN,NaN,137.61418,NaN,9.409698,NaN,NaN,8.91517,10.646258,14.766986,12.155222,0.620251
H,11.276311,3.557712,-6.232553,15,8.86493,0.00000,8.86493,-1.47855196,-0.00032937,-0.33025,NaN,-0.33025,NaN,NaN,0.12608,8.86493,8.86493,0.00000,86.10188927,131.11916973,103.90398,103.90398,NaN,NaN,128.54822,NaN,9.173386,NaN,NaN,8.86493,10.958510,14.691573,12.242375,0.571254
C,2.230423,8.025092,0.952501,16,3.40648,0.00000,3.40648,-1.29101832,-0.03387222,-0.54556,NaN,-0.54556,NaN,NaN,0.06118,3.40648,3.40648,0.00000,21.16451633,75.85845834,48.53364,48.53364,NaN,NaN,309.74243,NaN,16.535012,NaN,NaN,3.40648,8.846477,11.634524,9.661424,0.275048
C,0.32293,6.56578,1.595307,17,9.49382,0.00000,9.49382,-0.75448970,-0.01376314,-0.30508,NaN,-0.30508,NaN,NaN,0.02568,9.49382,9.49382,0.00000,16.11506118,94.82845160,44.14362,44.14362,NaN,NaN,232.00107,NaN,12.551576,NaN,NaN,9.49382,9.046757,13.804912,10.374575,0.690846
H,3.546967,8.742187,2.363511,18,8.98433,0.00000,8.98433,-0.87019063,-0.00099769,-0.23489,NaN,-0.23489,NaN,NaN,0.02834,8.98433,8.98433,0.00000,33.82517881,107.89568903,72.15039,72.15039,NaN,NaN,281.13647,NaN,13.363323,NaN,NaN,8.98433,9.599687,13.267275,11.527322,0.447390
H,2.509067,8.617656,-0.99904,19,8.99104,0.00000,8.99104,-0.85923051,-0.00205919,-0.23183,NaN,-0.23183,NaN,NaN,0.02596,8.99104,8.99104,0.00000,32.57041505,109.07873112,72.21501,72.21501,NaN,NaN,295.35967,NaN,13.742294,NaN,NaN,8.99104,9.546011,13.239951,11.522590,0.459700
C,-1.435812,4.960076,2.192228,20,5.04083,0.00000,5.04083,-0.45496350,-0.01155132,-0.19341,NaN,-0.19341,NaN,NaN,0.01166,5.04083,5.04083,0.00000,14.94087614,98.35169163,35.69043,35.69043,NaN,NaN,251.24241,NaN,12.719405,NaN,NaN,5.04083,8.949190,13.427703,10.020155,0.750315
H,-3.317615,5.631259,2.681215,21,10.05334,0.00000,10.05334,-0.65272971,-0.03378776,-0.17611,NaN,-0.17611,NaN,NaN,0.00619,10.05334,10.05334,0.00000,22.73690132,90.55171210,52.25663,52.25663,NaN,NaN,272.28979,NaN,13.769186,NaN,NaN,10.05334,9.257121,12.549737,11.338014,0.329690
Cl,1.288279,1.379338,5.907023,22,21.29380,0.00000,21.29380,-0.40462120,-0.00123745,-0.09143,NaN,-0.09143,NaN,NaN,0.00933,21.29380,17.69644,3.59736,-7.36860664,88.94026242,17.75922,22.14085,-3.79528,225.67460,221.18895,4.48565,13.680992,0.019482,4.396494,21.29380,8.819605,11.738964,9.466414,0.257838
Cl,-4.59229,0.482424,4.283573,23,22.35390,0.00000,22.35390,-0.42938005,-0.00726759,-0.09651,NaN,-0.09651,NaN,NaN,0.00980,22.35390,20.49661,1.85730,-5.09808007,90.62895942,23.24381,25.57784,-2.51386,254.66758,252.52884,2.13873,13.887919,0.008328,2.120771,22.35390,8.884576,12.161267,9.494826,0.281837
O,-2.61742,1.121331,-1.009843,24,9.29806,0.00000,9.29806,-1.55403564,-0.04001413,-0.22730,NaN,-0.22730,NaN,NaN,0.01881,9.29806,9.29806,0.00000,22.35244714,133.04682382,57.78642,57.78642,NaN,NaN,539.24593,NaN,19.410071,NaN,NaN,9.29806,10.584915,16.165981,12.051310,1.281557
O,-0.503236,-2.271989,2.107659,25,9.73291,0.00000,9.73291,-1.27445872,-0.00311072,-0.16878,NaN,-0.16878,NaN,NaN,0.01671,9.73291,9.73291,0.00000,9.05393976,123.76155988,48.83004,48.83004,NaN,NaN,760.59155,NaN,23.398436,NaN,NaN,9.73291,10.036075,16.334334,12.096013,1.226360
C,-3.312166,-3.069099,-2.047208,26,4.86785,0.00000,4.86785,-2.22338390,-0.07484285,-1.21924,NaN,-1.21924,NaN,NaN,0.33550,4.86785,4.86785,0.00000,83.96896247,159.37168545,125.68253,125.68253,NaN,NaN,257.07666,NaN,13.671141,NaN,NaN,4.86785,11.593373,16.815737,13.159592,1.177906
C,-0.545902,-3.427704,-2.10633,27,4.78942,0.00000,4.78942,-2.33831318,-0.07289852,-1.30410,NaN,-1.30410,NaN,NaN,0.34690,4.78942,4.78942,0.00000,99.13989892,165.70922122,131.56385,131.56385,NaN,NaN,127.74458,NaN,9.177927,NaN,NaN,4.78942,11.730880,16.982703,13.269968,1.029737
