Element,X,Y,Z,Atom#,LEAE All area,LEAE Positive area,LEAE Negative area,LEAE Minimal value,LEAE Maximal value,LEAE All average,LEAE Positive average,LEAE Negative average,LEAE All variance,LEAE Positive variance,LEAE Negative variance,ESP All area (Ang^2),ESP Positive area (Ang^2),ESP Negative area (Ang^2),ESP Minimal value (kcal/mol),ESP Maximal value (kcal/mol),ESP All average (kcal/mol),ESP Positive average (kcal/mol),ESP Negative average (kcal/mol),ESP All variance (kcal/mol)^2,ESP Positive variance (kcal/mol)^2,ESP Negative variance (kcal/mol)^2,ESP Pi (kcal/mol),ESP nu,ESP nu*sigma^2,ALIE Area(Ang^2),ALIE Min value,ALIE Max value,ALIE Average,ALIE Variance
Si,0.459041,-1.082615,-0.977206,1,0.28129,0.00000,0.28129,-0.12895069,-0.00965771,-0.06674,NaN,-0.06674,NaN,NaN,0.00045,0.28129,0.28129,0.00000,35.95217431,103.90156184,65.87858,65.87858,NaN,NaN,153.44514,NaN,9.967077,NaN,NaN,0.28129,10.638625,13.075655,11.420491,0.141143
O,-2.985163,-2.540792,-1.24707,2,10.73937,0.00000,10.73937,-1.00593946,-0.00097023,-0.26350,NaN,-0.26350,NaN,NaN,0.05627,10.73937,10.73937,0.00000,3.96949296,106.39976952,42.53069,42.53069,NaN,NaN,570.99870,NaN,20.492887,NaN,NaN,10.73937,9.695311,15.229346,12.321970,0.951402
C,-4.231832,-3.587919,0.46934,3,4.52425,0.00000,4.52425,-3.71695190,-0.09586491,-1.90890,NaN,-1.90890,NaN,NaN,1.01972,4.52425,4.52425,0.00000,69.90144640,108.92127650,93.99828,93.99828,NaN,NaN,75.93421,NaN,7.432866,NaN,NaN,4.52425,11.599919,15.126393,13.189668,0.346000
C,-6.472663,-5.05165,-0.023378,4,5.70094,0.00000,5.70094,-1.88907842,-0.01575805,-0.46409,NaN,-0.46409,NaN,NaN,0.10635,5.70094,5.70094,0.00000,57.20978924,100.13384027,72.75849,72.75849,NaN,NaN,63.28317,NaN,6.256868,NaN,NaN,5.70094,10.371949,15.012766,11.507652,0.921016
H,-3.585402,-3.437331,2.43324,5,9.49669,0.00000,9.49669,-3.20379558,-0.00413959,-0.50131,NaN,-0.50131,NaN,NaN,0.42998,9.49669,9.49669,0.00000,57.84347108,124.54837190,97.63212,97.63212,NaN,NaN,205.96744,NaN,10.830401,NaN,NaN,9.49669,9.524030,15.072841,12.392998,1.655897
C,-7.498265,-5.284043,-2.474885,6,4.71302,0.00000,4.71302,-1.73565634,-0.04183891,-0.88708,NaN,-0.88708,NaN,NaN,0.18867,4.71302,4.71302,0.00000,52.12546943,95.33529387,66.31954,66.31954,NaN,NaN,51.44478,NaN,6.049316,NaN,NaN,4.71302,10.108641,14.747959,10.960126,0.634015
C,-7.63931,-6.263737,2.042864,7,4.72851,0.00000,4.72851,-1.76972009,-0.02373183,-0.90439,NaN,-0.90439,NaN,NaN,0.20208,4.72851,4.72851,0.00000,58.38737689,95.78821417,73.09446,73.09446,NaN,NaN,40.14687,NaN,4.974655,NaN,NaN,4.72851,10.184738,14.747564,11.042689,0.631796
C,-9.680489,-6.696246,-2.832068,8,4.71473,0.00000,4.71473,-1.16123917,-0.00520001,-0.61449,NaN,-0.61449,NaN,NaN,0.10210,4.71473,4.71473,0.00000,52.12546943,95.33529387,64.53311,64.53311,NaN,NaN,41.33102,NaN,4.881020,NaN,NaN,4.71473,9.960367,14.747959,10.775933,0.621990
H,-6.574943,-4.341224,-4.044445,9,9.17080,0.00000,9.17080,-1.64603871,-0.00008075,-0.33114,NaN,-0.33114,NaN,NaN,0.13655,9.17080,9.17080,0.00000,32.18357069,103.20984160,76.27768,76.27768,NaN,NaN,126.66877,NaN,8.833748,NaN,NaN,9.17080,10.718971,15.229346,12.158530,0.641819
C,-9.815015,-7.690237,1.666793,10,4.73333,0.00000,4.73333,-0.96096114,-0.00613844,-0.54757,NaN,-0.54757,NaN,NaN,0.06693,4.73333,4.73333,0.00000,57.72264787,93.51154202,68.08881,68.08881,NaN,NaN,35.28759,NaN,4.650898,NaN,NaN,4.73333,9.958627,14.747564,10.766354,0.589714
H,-6.831577,-6.059048,3.919122,11,8.80643,0.00000,8.80643,-1.66748024,-0.00047370,-0.35957,NaN,-0.35957,NaN,NaN,0.14932,8.80643,8.80643,0.00000,73.91744174,126.84747624,97.00464,97.00464,NaN,NaN,183.35996,NaN,11.503421,NaN,NaN,8.80643,10.784216,14.968869,12.250096,0.589018
C,-10.837683,-7.895376,-0.765522,12,4.76734,0.00000,4.76734,-1.20071595,-0.00374895,-0.74759,NaN,-0.74759,NaN,NaN,0.10477,4.76734,4.76734,0.00000,56.97130228,95.33529387,68.91456,68.91456,NaN,NaN,33.82428,NaN,4.449775,NaN,NaN,4.76734,10.215575,14.747959,10.966859,0.594133
H,-10.49428,-6.87769,-4.706896,13,8.93347,0.00000,8.93347,-1.12697191,-0.00008075,-0.25219,NaN,-0.25219,NaN,NaN,0.07434,8.93347,8.93347,0.00000,62.24479197,111.40697278,82.36057,82.36057,NaN,NaN,150.31287,NaN,9.939423,NaN,NaN,8.93347,10.483722,14.538642,12.007071,0.613269
H,-10.721858,-8.63002,3.248974,14,8.89670,0.00000,8.89670,-0.91859370,-0.00018104,-0.21077,NaN,-0.21077,NaN,NaN,0.05040,8.89670,8.89670,0.00000,67.60007325,117.04175234,87.90941,87.90941,NaN,NaN,156.16636,NaN,10.182027,NaN,NaN,8.89670,10.507135,14.634486,12.030102,0.608541
H,-12.545295,-8.997215,-1.059433,15,8.88037,0.00000,8.88037,-1.12459346,-0.00009141,-0.25298,NaN,-0.25298,NaN,NaN,0.07430,8.88037,8.88037,0.00000,70.04713426,114.75048759,86.50183,86.50183,NaN,NaN,135.91904,NaN,9.491762,NaN,NaN,8.88037,10.834627,14.552677,12.117086,0.576532
C,0.669993,-0.907462,6.80789,16,3.89352,0.00000,3.89352,-0.43409388,-0.00936572,-0.20950,NaN,-0.20950,NaN,NaN,0.01708,3.89352,3.89352,0.00000,37.49264417,77.47253601,53.37254,53.37254,NaN,NaN,80.37704,NaN,7.400978,NaN,NaN,3.89352,8.502970,11.619749,9.264928,0.318467
C,0.872847,-1.822097,4.514777,17,9.96216,0.00000,9.96216,-0.33390429,-0.00887091,-0.10821,NaN,-0.10821,NaN,NaN,0.00475,9.96216,9.96216,0.00000,37.99822286,87.26118794,64.45306,64.45306,NaN,NaN,106.60554,NaN,8.358778,NaN,NaN,9.96216,8.857309,12.894953,10.358627,0.523373
H,2.273853,-0.036844,7.756555,18,9.10436,0.00000,9.10436,-1.03755855,-0.00209247,-0.12444,NaN,-0.12444,NaN,NaN,0.00679,9.10436,9.10436,0.00000,49.86078072,128.94465699,88.76526,88.76526,NaN,NaN,334.82512,NaN,15.070752,NaN,NaN,9.10436,9.151615,13.264106,11.470977,0.514244
H,-1.112642,-0.990765,7.832669,19,8.97804,0.00000,8.97804,-0.39291749,-0.00119252,-0.09674,NaN,-0.09674,NaN,NaN,0.00638,8.97804,8.97804,0.00000,50.02005560,120.52336221,83.35728,83.35728,NaN,NaN,284.20934,NaN,13.825325,NaN,NaN,8.97804,9.235321,13.231063,11.438176,0.502867
C,1.06895,-2.742936,2.233035,20,3.12781,0.00000,3.12781,-0.35888268,-0.01988964,-0.12697,NaN,-0.12697,NaN,NaN,0.00416,3.12781,3.12781,0.00000,50.11434478,99.23061002,65.86455,65.86455,NaN,NaN,107.23716,NaN,8.665178,NaN,NaN,3.12781,9.241031,12.888906,10.468099,0.816304
H,1.623596,-4.722082,2.062502,21,9.99672,0.00000,9.99672,-0.32296370,-0.01432347,-0.08137,NaN,-0.08137,NaN,NaN,0.00207,9.99672,9.99672,0.00000,18.62440447,99.78332278,64.74812,64.74812,NaN,NaN,263.59434,NaN,12.185217,NaN,NaN,9.99672,8.631476,12.546285,11.051566,0.466896
Cl,-0.492499,0.867743,-4.634771,22,21.90504,0.00000,21.90504,-0.29798557,-0.00451163,-0.07415,NaN,-0.07415,NaN,NaN,0.00503,21.90504,18.24351,3.66153,-10.21848413,81.66355399,16.51850,20.81327,-4.88010,181.16122,172.59389,8.56732,12.626291,0.045055,8.162166,21.90504,8.611258,11.894793,9.223372,0.280847
Cl,1.796508,-4.458667,-3.13117,23,22.10400,0.00000,22.10400,-0.31442943,-0.00182485,-0.07009,NaN,-0.07009,NaN,NaN,0.00539,22.10400,16.09805,6.00595,-13.38891850,73.36527861,8.09815,13.52049,-6.43563,112.95358,98.11212,14.84146,9.514265,0.114130,12.891374,22.10400,8.491449,11.690714,9.082024,0.279010
O,-0.963938,1.673405,0.865718,24,9.00631,0.00000,9.00631,-1.46886331,-0.00753072,-0.18764,NaN,-0.18764,NaN,NaN,0.01768,9.00631,9.00631,0.00000,31.70427480,114.51393235,58.70050,58.70050,NaN,NaN,381.13326,NaN,16.448143,NaN,NaN,9.00631,10.378259,15.647038,11.917162,1.280357
O,3.609426,0.586346,-1.142895,25,9.85408,0.00000,9.85408,-1.28564484,-0.00197981,-0.16435,NaN,-0.16435,NaN,NaN,0.01591,9.85408,9.85408,0.00000,4.40612683,109.20269839,39.28243,39.28243,NaN,NaN,627.11174,NaN,21.493493,NaN,NaN,9.85408,9.721416,15.666320,11.756316,1.204167
C,1.738932,5.050558,0.385368,26,4.75642,0.00000,4.75642,-1.97308855,-0.04826222,-1.09578,NaN,-1.09578,NaN,NaN,0.26507,4.75642,4.75642,0.00000,70.66934294,144.17281390,109.87576,109.87576,NaN,NaN,277.57643,NaN,14.768896,NaN,NaN,4.75642,11.235344,16.444296,12.823549,1.116813
C,3.606378,3.657954,1.930561,27,4.75029,0.00000,4.75029,-2.05659703,-0.07125474,-1.13419,NaN,-1.13419,NaN,NaN,0.28361,4.75029,4.75029,0.00000,85.95582079,144.99858072,113.44825,113.44825,NaN,NaN,124.84838,NaN,9.305207,NaN,NaN,4.75029,11.464222,16.530769,12.850090,1.062259
