Element,X,Y,Z,Atom#,LEAE All area,LEAE Positive area,LEAE Negative area,LEAE Minimal value,LEAE Maximal value,LEAE All average,LEAE Positive average,LEAE Negative average,LEAE All variance,LEAE Positive variance,LEAE Negative variance,ESP All area (Ang^2),ESP Positive area (Ang^2),ESP Negative area (Ang^2),ESP Minimal value (kcal/mol),ESP Maximal value (kcal/mol),ESP All average (kcal/mol),ESP Positive average (kcal/mol),ESP Negative average (kcal/mol),ESP All variance (kcal/mol)^2,ESP Positive variance (kcal/mol)^2,ESP Negative variance (kcal/mol)^2,ESP Pi (kcal/mol),ESP nu,ESP nu*sigma^2,ALIE Area(Ang^2),ALIE Min value,ALIE Max value,ALIE Average,ALIE Variance
Si,-0.934806,-3.700225,-1.274513,1,0.40215,0.00000,0.40215,-0.23654321,-0.00800794,-0.06336,NaN,-0.06336,NaN,NaN,0.00133,0.40215,0.40215,0.00000,35.42475462,79.58787805,59.13065,59.13065,NaN,NaN,116.36617,NaN,9.068573,NaN,NaN,0.40215,10.618688,11.998347,11.260872,0.064313
O,2.513203,-2.850608,-0.107138,2,9.42398,0.00000,9.42398,-1.09397836,-0.01384554,-0.32348,NaN,-0.32348,NaN,NaN,0.06392,9.42398,9.42398,0.00000,23.61479474,121.66698648,65.00425,65.00425,NaN,NaN,670.52078,NaN,22.129175,NaN,NaN,9.42398,9.841060,15.469545,12.608288,0.967652
C,3.250029,-1.864449,1.922592,3,4.56087,0.00000,4.56087,-4.15316971,-0.08950947,-1.99473,NaN,-1.99473,NaN,NaN,1.12612,4.56087,4.56087,0.00000,68.13665002,139.17894854,110.49193,110.49193,NaN,NaN,238.63331,NaN,13.445291,NaN,NaN,4.56087,9.819155,15.469545,13.046599,0.646919
C,5.885817,-1.387163,2.414012,4,5.71161,0.00000,5.71161,-2.09227536,-0.05761018,-0.62202,NaN,-0.62202,NaN,NaN,0.08056,5.71161,5.71161,0.00000,75.69551803,123.21942425,92.88233,92.88233,NaN,NaN,103.08018,NaN,8.355213,NaN,NaN,5.71161,10.542832,15.380705,11.694840,0.927972
H,1.867365,-1.208072,3.31179,5,9.25801,0.00000,9.25801,-3.77562496,-0.00894122,-0.63192,NaN,-0.63192,NaN,NaN,0.48592,9.25801,9.25801,0.00000,58.51779669,143.07735920,112.16227,112.16227,NaN,NaN,365.34967,NaN,15.837080,NaN,NaN,9.25801,9.197617,15.387218,12.760181,1.168252
C,7.802332,-2.22486,0.755917,6,4.78573,0.00000,4.78573,-1.85941233,-0.02800472,-0.99695,NaN,-0.99695,NaN,NaN,0.20988,4.78573,4.78573,0.00000,68.50410293,113.36930381,85.52923,85.52923,NaN,NaN,72.00463,NaN,7.308857,NaN,NaN,4.78573,10.269646,14.952563,11.140385,0.689726
C,6.504283,0.090813,4.544651,7,4.70004,0.00000,4.70004,-1.90665616,-0.04719172,-1.01605,NaN,-1.01605,NaN,NaN,0.21680,4.70004,4.70004,0.00000,74.12252279,118.06506016,90.82991,90.82991,NaN,NaN,66.06479,NaN,6.624426,NaN,NaN,4.70004,10.346178,14.952563,11.172169,0.637696
C,10.297258,-1.570253,1.228515,8,4.69419,0.00000,4.69419,-1.38076914,-0.01522153,-0.76671,NaN,-0.76671,NaN,NaN,0.13481,4.69419,4.69419,0.00000,68.50410293,113.36930381,81.56162,81.56162,NaN,NaN,52.03943,NaN,5.966880,NaN,NaN,4.69419,10.121928,14.952563,10.907756,0.590938
H,7.296839,-3.375089,-0.864542,9,9.16412,0.00000,9.16412,-1.76224841,-0.00035542,-0.38019,NaN,-0.38019,NaN,NaN,0.16871,9.16412,9.16412,0.00000,50.01256625,122.85558189,96.01186,96.01186,NaN,NaN,137.83555,NaN,9.024911,NaN,NaN,9.16412,10.810917,15.469545,12.322943,0.606827
C,9.009215,0.753044,4.994697,10,4.75156,0.00000,4.75156,-1.29243526,-0.01588417,-0.73097,NaN,-0.73097,NaN,NaN,0.11000,4.75156,4.75156,0.00000,72.57160343,113.36930381,83.75138,83.75138,NaN,NaN,42.86811,NaN,5.214133,NaN,NaN,4.75156,10.108951,14.952563,10.909814,0.600255
H,5.008819,0.722675,5.803084,11,8.77911,0.00000,8.77911,-1.78206257,-0.00069462,-0.38891,NaN,-0.38891,NaN,NaN,0.17171,8.77911,8.77911,0.00000,89.61644165,144.24057603,114.67948,114.67948,NaN,NaN,192.13057,NaN,11.780364,NaN,NaN,8.77911,11.043312,15.363026,12.402849,0.591252
C,10.899031,-0.076457,3.338706,12,4.77604,0.00000,4.77604,-1.74112229,-0.01337389,-0.97365,NaN,-0.97365,NaN,NaN,0.21468,4.77604,4.77604,0.00000,72.02919006,113.36930381,84.77054,84.77054,NaN,NaN,43.07128,NaN,5.160094,NaN,NaN,4.77604,10.356166,14.952563,11.104826,0.606691
H,11.785203,-2.208206,-0.031846,13,8.89258,0.00000,8.89258,-1.35182693,-0.00026245,-0.31489,NaN,-0.31489,NaN,NaN,0.11045,8.89258,8.89258,0.00000,77.75762469,126.41650435,98.40010,98.40010,NaN,NaN,142.68817,NaN,9.510163,NaN,NaN,8.89258,10.724762,14.694074,12.137578,0.608070
H,9.497027,1.904687,6.620718,14,8.90133,0.00000,8.90133,-1.26683654,-0.00032551,-0.29946,NaN,-0.29946,NaN,NaN,0.09677,8.90133,8.90133,0.00000,81.72221532,131.44599411,102.81075,102.81075,NaN,NaN,151.45020,NaN,9.993522,NaN,NaN,8.90133,10.619234,14.773094,12.157699,0.616468
H,12.855321,0.437511,3.691272,15,8.87746,0.00000,8.87746,-1.68363920,-0.00037889,-0.36415,NaN,-0.36415,NaN,NaN,0.15451,8.87746,8.87746,0.00000,83.72178562,128.90746683,101.30472,101.30472,NaN,NaN,130.04890,NaN,9.184957,NaN,NaN,8.87746,10.894049,14.684961,12.238478,0.582249
C,1.489361,-6.549394,5.277245,16,3.77531,0.00000,3.77531,-0.79802566,-0.02321775,-0.46498,NaN,-0.46498,NaN,NaN,0.05802,3.77531,3.77531,0.00000,24.44654760,71.71958546,50.67301,50.67301,NaN,NaN,241.49617,NaN,14.587838,NaN,NaN,3.77531,8.642609,11.672128,9.412173,0.279388
C,0.17137,-6.633337,3.171949,17,10.28862,0.00000,10.28862,-0.75713034,-0.00543733,-0.21919,NaN,-0.21919,NaN,NaN,0.02907,10.28862,10.28862,0.00000,18.14660185,97.16401479,51.41697,51.41697,NaN,NaN,223.91747,NaN,12.330564,NaN,NaN,10.28862,8.888102,13.348598,10.299942,0.726449
H,0.67593,-5.825194,7.024634,18,9.02303,0.00000,9.02303,-0.75786221,-0.00113021,-0.17748,NaN,-0.17748,NaN,NaN,0.02939,9.02303,9.02303,0.00000,38.28679008,113.37941853,76.78056,76.78056,NaN,NaN,288.40073,NaN,13.752161,NaN,NaN,9.02303,9.358273,13.139396,11.416768,0.476130
H,3.418172,-7.26666,5.354027,19,9.02373,0.00000,9.02373,-0.73450203,-0.00232515,-0.17183,NaN,-0.17183,NaN,NaN,0.02608,9.02373,9.02373,0.00000,34.95749578,108.08555814,72.26822,72.26822,NaN,NaN,276.12094,NaN,13.303141,NaN,NaN,9.02373,9.366207,13.149367,11.389660,0.492000
C,-1.020029,-6.537694,1.022657,20,4.71684,0.00000,4.71684,-0.41274632,-0.00543733,-0.08025,NaN,-0.08025,NaN,NaN,0.00229,4.71684,4.71684,0.00000,17.23361221,108.61458675,39.05799,39.05799,NaN,NaN,230.98994,NaN,12.302608,NaN,NaN,4.71684,8.810944,13.643202,9.809360,0.607617
H,-2.161539,-8.131699,0.388235,21,9.96827,0.00000,9.96827,-0.65574629,-0.00810103,-0.11900,NaN,-0.11900,NaN,NaN,0.00686,9.96827,9.96827,0.00000,20.97267621,87.25794504,51.10371,51.10371,NaN,NaN,225.58902,NaN,11.907450,NaN,NaN,9.96827,9.300912,12.580353,11.242866,0.332859
Cl,0.951556,-5.939798,-4.352667,22,22.48543,0.00000,22.48543,-0.34419536,-0.00115025,-0.06766,NaN,-0.06766,NaN,NaN,0.00686,22.48543,15.73158,6.75386,-13.53685821,72.99736910,8.19689,14.37414,-6.19162,120.87969,106.56675,14.31294,10.323308,0.104386,12.618195,22.48543,8.492750,11.658775,9.097532,0.290190
Cl,-4.792508,-4.279422,-2.862842,23,22.65968,0.00000,22.65968,-0.31542619,-0.00174003,-0.07058,NaN,-0.07058,NaN,NaN,0.00574,22.65968,19.76049,2.89920,-8.27349145,84.09947651,19.96781,23.47945,-3.96699,235.61272,229.93857,5.67415,13.637054,0.023503,5.537505,22.65968,8.730688,11.914389,9.351968,0.267855
O,-2.060782,-1.554632,1.37007,24,6.87858,0.00000,6.87858,-1.05418865,-0.01382480,-0.16031,NaN,-0.16031,NaN,NaN,0.01530,6.87858,6.87858,0.00000,37.21532439,122.61297395,70.02270,70.02270,NaN,NaN,418.00863,NaN,17.294814,NaN,NaN,6.87858,10.540519,15.471298,12.094611,1.543432
