Element,X,Y,Z,Atom#,LEAE All area,LEAE Positive area,LEAE Negative area,LEAE Minimal value,LEAE Maximal value,LEAE All average,LEAE Positive average,LEAE Negative average,LEAE All variance,LEAE Positive variance,LEAE Negative variance,ESP All area (Ang^2),ESP Positive area (Ang^2),ESP Negative area (Ang^2),ESP Minimal value (kcal/mol),ESP Maximal value (kcal/mol),ESP All average (kcal/mol),ESP Positive average (kcal/mol),ESP Negative average (kcal/mol),ESP All variance (kcal/mol)^2,ESP Positive variance (kcal/mol)^2,ESP Negative variance (kcal/mol)^2,ESP Pi (kcal/mol),ESP nu,ESP nu*sigma^2,ALIE Area(Ang^2),ALIE Min value,ALIE Max value,ALIE Average,ALIE Variance
Si,0.575329,-3.342421,1.979802,1,0.48211,0.00000,0.48211,-0.24763880,-0.00743968,-0.06139,NaN,-0.06139,NaN,NaN,0.00149,0.48211,0.48211,0.00000,34.59000363,76.13805493,58.84096,58.84096,NaN,NaN,78.63552,NaN,7.291561,NaN,NaN,0.48211,10.669988,12.328994,11.410957,0.077676
O,-2.675841,-2.667492,0.338671,2,9.11333,0.00000,9.11333,-1.20782836,-0.00509763,-0.31528,NaN,-0.31528,NaN,NaN,0.06576,9.11333,9.11333,0.00000,21.83730224,124.18734122,65.37478,65.37478,NaN,NaN,765.17610,NaN,23.498225,NaN,NaN,9.11333,10.092344,15.450130,12.683492,1.034588
C,-3.169437,-2.478994,-1.984511,3,4.08311,0.00000,4.08311,-4.10761942,-0.14110804,-1.85547,NaN,-1.85547,NaN,NaN,0.95066,4.08311,4.08311,0.00000,66.94707896,141.03328181,110.68276,110.68276,NaN,NaN,356.49209,NaN,17.292188,NaN,NaN,4.08311,9.484326,15.450130,12.952382,1.024232
C,-5.720588,-2.281892,-2.910857,4,5.70395,0.00000,5.70395,-2.08912513,-0.04933107,-0.63021,NaN,-0.63021,NaN,NaN,0.07979,5.70395,5.70395,0.00000,75.38027681,127.49820222,94.26943,94.26943,NaN,NaN,132.00368,NaN,9.790489,NaN,NaN,5.70395,10.615449,15.203531,11.714091,0.930774
H,-1.628105,-2.311447,-3.349334,5,9.21945,0.00000,9.21945,-3.66646625,-0.01191135,-0.58857,NaN,-0.58857,NaN,NaN,0.41046,9.21945,9.21945,0.00000,60.76456955,146.30343671,114.69879,114.69879,NaN,NaN,383.07575,NaN,16.445369,NaN,NaN,9.21945,9.697218,15.519398,12.829723,1.112710
C,-7.831981,-2.50535,-1.294207,6,4.71853,0.00000,4.71853,-1.86333406,-0.05390761,-1.01029,NaN,-1.01029,NaN,NaN,0.20316,4.71853,4.71853,0.00000,68.40189440,115.97883507,85.35889,85.35889,NaN,NaN,77.69747,NaN,7.690262,NaN,NaN,4.71853,10.272379,14.909525,11.110273,0.622978
C,-6.063067,-1.77526,-5.506496,7,4.72917,0.00000,4.72917,-1.90975069,-0.04933107,-1.01560,NaN,-1.01560,NaN,NaN,0.21867,4.72917,4.72917,0.00000,75.08112675,124.67630528,93.94151,93.94151,NaN,NaN,90.23717,NaN,7.987223,NaN,NaN,4.72917,10.353897,14.886312,11.174595,0.623641
C,-10.246392,-2.217907,-2.277447,8,4.71162,0.00000,4.71162,-1.38915160,-0.01278335,-0.75905,NaN,-0.75905,NaN,NaN,0.13667,4.71162,4.71162,0.00000,68.40189440,115.97883507,82.71613,82.71613,NaN,NaN,66.04975,NaN,6.891382,NaN,NaN,4.71162,10.103294,14.909525,10.917171,0.618540
H,-7.538779,-2.905318,0.694986,9,9.18185,0.00000,9.18185,-1.77326523,-0.00064760,-0.37902,NaN,-0.37902,NaN,NaN,0.16864,9.18185,9.18185,0.00000,50.73808242,116.82600223,92.67541,92.67541,NaN,NaN,108.82025,NaN,8.064800,NaN,NaN,9.18185,10.918748,15.450130,12.324891,0.643645
C,-8.489052,-1.477872,-6.472578,10,4.74340,0.00000,4.74340,-1.27957720,-0.01938538,-0.71249,NaN,-0.71249,NaN,NaN,0.10725,4.74340,4.74340,0.00000,73.73857952,116.02990134,87.06550,87.06550,NaN,NaN,62.43658,NaN,6.745028,NaN,NaN,4.74340,10.092993,14.886312,10.920179,0.644385
