Element,X,Y,Z,Atom#,LEAE All area,LEAE Positive area,LEAE Negative area,LEAE Minimal value,LEAE Maximal value,LEAE All average,LEAE Positive average,LEAE Negative average,LEAE All variance,LEAE Positive variance,LEAE Negative variance,ESP All area (Ang^2),ESP Positive area (Ang^2),ESP Negative area (Ang^2),ESP Minimal value (kcal/mol),ESP Maximal value (kcal/mol),ESP All average (kcal/mol),ESP Positive average (kcal/mol),ESP Negative average (kcal/mol),ESP All variance (kcal/mol)^2,ESP Positive variance (kcal/mol)^2,ESP Negative variance (kcal/mol)^2,ESP Pi (kcal/mol),ESP nu,ESP nu*sigma^2,ALIE Area(Ang^2),ALIE Min value,ALIE Max value,ALIE Average,ALIE Variance
Si,0.583502,-3.45448,1.142935,1,0.56578,0.00000,0.56578,-0.09546004,-0.01165449,-0.04033,NaN,-0.04033,NaN,NaN,0.00024,0.56578,0.56578,0.00000,42.54168002,99.99679612,63.29005,63.29005,NaN,NaN,97.53202,NaN,7.549449,NaN,NaN,0.56578,10.801954,12.935072,11.448882,0.141117
O,-2.406164,-2.250137,-0.58683,2,9.17174,0.00000,9.17174,-0.90537681,-0.01093733,-0.31744,NaN,-0.31744,NaN,NaN,0.05841,9.17174,9.17174,0.00000,54.24963680,118.99756315,76.13088,76.13088,NaN,NaN,141.23445,NaN,9.303895,NaN,NaN,9.17174,11.033071,15.465790,12.899511,0.734087
C,-4.218211,-3.575825,-1.390485,3,4.01939,0.00000,4.01939,-3.84173653,-0.10862973,-1.72824,NaN,-1.72824,NaN,NaN,0.87225,4.01939,4.01939,0.00000,67.58325615,116.80821403,99.83002,99.83002,NaN,NaN,86.42938,NaN,7.522543,NaN,NaN,4.01939,9.724894,15.458657,13.007317,1.055904
C,-6.540879,-2.486059,-2.297642,4,5.70329,0.00000,5.70329,-2.00151757,-0.00926815,-0.42239,NaN,-0.42239,NaN,NaN,0.11366,5.70329,5.70329,0.00000,74.73707931,109.84445288,85.90422,85.90422,NaN,NaN,58.85580,NaN,6.278676,NaN,NaN,5.70329,10.597506,15.413287,11.711689,0.964183
H,-3.992143,-5.625877,-1.503088,5,10.49801,0.00000,10.49801,-3.08484254,-0.00114429,-0.37270,NaN,-0.37270,NaN,NaN,0.28181,10.49801,10.49801,0.00000,27.98557541,119.97677540,89.42002,89.42002,NaN,NaN,454.83701,NaN,16.674723,NaN,NaN,10.49801,9.054513,15.324628,12.324056,1.948532
C,-6.904154,0.151794,-2.468927,6,4.73607,0.00000,4.73607,-1.82284652,-0.02546491,-0.91876,NaN,-0.91876,NaN,NaN,0.21499,4.73607,4.73607,0.00000,74.73836318,105.57556655,86.86237,86.86237,NaN,NaN,36.72029,NaN,5.137822,NaN,NaN,4.73607,10.280842,14.916847,11.152951,0.664222
C,-8.485447,-4.152743,-3.043188,7,4.68195,0.00000,4.68195,-1.91652981,-0.04503321,-0.94833,NaN,-0.94833,NaN,NaN,0.22922,4.68195,4.68195,0.00000,67.95794203,105.67566192,79.54493,79.54493,NaN,NaN,32.46276,NaN,4.198289,NaN,NaN,4.68195,10.316777,14.933884,11.160115,0.624286
C,-9.190853,1.097201,-3.337572,8,4.75268,0.00000,4.75268,-1.24224057,-0.00341786,-0.64526,NaN,-0.64526,NaN,NaN,0.12184,4.75268,4.75268,0.00000,74.07880598,105.57556655,82.61076,82.61076,NaN,NaN,30.83600,NaN,4.547827,NaN,NaN,4.75268,10.132805,14.916847,10.940408,0.617307
H,-5.382017,1.416801,-1.946866,9,9.86032,0.00000,9.86032,-1.74255184,-0.00429560,-0.42763,NaN,-0.42763,NaN,NaN,0.15411,9.86032,9.86032,0.00000,74.74052419,148.28018579,113.06968,113.06968,NaN,NaN,216.58006,NaN,12.290608,NaN,NaN,9.86032,10.886971,15.465790,12.462262,0.594051
C,-10.775523,-3.191827,-3.905448,10,4.74646,0.00000,4.74646,-1.04054649,-0.01033686,-0.57502,NaN,-0.57502,NaN,NaN,0.08143,4.74646,4.74646,0.00000,67.80594148,105.57556655,74.98910,74.98910,NaN,NaN,28.48918,NaN,3.694918,NaN,NaN,4.74646,10.095643,14.916847,10.904071,0.617463
