Element,X,Y,Z,Atom#,LEAE All area,LEAE Positive area,LEAE Negative area,LEAE Minimal value,LEAE Maximal value,LEAE All average,LEAE Positive average,LEAE Negative average,LEAE All variance,LEAE Positive variance,LEAE Negative variance,ESP All area (Ang^2),ESP Positive area (Ang^2),ESP Negative area (Ang^2),ESP Minimal value (kcal/mol),ESP Maximal value (kcal/mol),ESP All average (kcal/mol),ESP Positive average (kcal/mol),ESP Negative average (kcal/mol),ESP All variance (kcal/mol)^2,ESP Positive variance (kcal/mol)^2,ESP Negative variance (kcal/mol)^2,ESP Pi (kcal/mol),ESP nu,ESP nu*sigma^2,ALIE Area(Ang^2),ALIE Min value,ALIE Max value,ALIE Average,ALIE Variance
Si,-2.009786,-1.432014,-1.602495,1,0.24022,0.00000,0.24022,-0.29808184,-0.01116882,-0.09275,NaN,-0.09275,NaN,NaN,0.00226,0.24022,0.24022,0.00000,45.79747778,98.35505098,64.56584,64.56584,NaN,NaN,106.20813,NaN,7.025009,NaN,NaN,0.24022,10.695199,12.780023,11.377816,0.176690
O,-5.073225,-1.100514,0.308384,2,9.97726,0.00000,9.97726,-0.91025953,-0.00386437,-0.27740,NaN,-0.27740,NaN,NaN,0.05259,9.97726,9.97726,0.00000,17.11054007,98.35505098,49.67915,49.67915,NaN,NaN,419.31219,NaN,17.630088,NaN,NaN,9.97726,10.067114,15.350671,12.559812,0.898651
C,-7.21079,-0.575852,-0.589434,3,4.34513,0.00000,4.34513,-3.91570629,-0.14037833,-1.92520,NaN,-1.92520,NaN,NaN,0.97974,4.34513,4.34513,0.00000,70.58930447,103.82532085,92.61212,92.61212,NaN,NaN,42.54523,NaN,5.376025,NaN,NaN,4.34513,11.227323,15.325237,13.102462,0.496295
C,-9.390684,-0.16421,0.97947,4,5.69364,0.00000,5.69364,-1.90070316,-0.03205449,-0.46283,NaN,-0.46283,NaN,NaN,0.10390,5.69364,5.69364,0.00000,61.02134559,101.28588379,74.71580,74.71580,NaN,NaN,63.73461,NaN,6.459681,NaN,NaN,5.69364,10.524357,15.240991,11.619519,0.952271
H,-7.442805,-0.462647,-2.643156,5,11.15635,0.00000,11.15635,-3.39352618,-0.00163952,-0.44708,NaN,-0.44708,NaN,NaN,0.36818,11.15635,11.15635,0.00000,22.81702467,116.30675984,85.09313,85.09313,NaN,NaN,446.42024,NaN,16.420253,NaN,NaN,11.15635,8.807073,15.228553,12.233615,1.802167
C,-9.262846,-0.3151,3.643432,6,4.76998,0.00000,4.76998,-1.81031967,-0.03205449,-0.93027,NaN,-0.93027,NaN,NaN,0.20843,4.76998,4.76998,0.00000,55.72258636,95.56669042,69.31347,69.31347,NaN,NaN,42.56913,NaN,5.212520,NaN,NaN,4.76998,10.191892,14.923817,11.059822,0.690219
C,-11.701256,0.405099,-0.226756,7,4.73152,0.00000,4.73152,-1.85977971,-0.03773358,-0.93891,NaN,-0.93891,NaN,NaN,0.21959,4.73152,4.73152,0.00000,57.87735192,97.00044501,72.15147,72.15147,NaN,NaN,45.19438,NaN,5.278226,NaN,NaN,4.73152,10.275034,14.909189,11.121913,0.681927
C,-11.426091,0.107811,5.064407,8,4.74005,0.00000,4.74005,-1.23308393,-0.00657323,-0.65877,NaN,-0.65877,NaN,NaN,0.11722,4.74005,4.74005,0.00000,55.72258636,95.56669042,66.15507,66.15507,NaN,NaN,32.26352,NaN,4.249017,NaN,NaN,4.74005,10.030781,14.923817,10.845131,0.620429
H,-7.474611,-0.76343,4.541781,9,9.12146,0.00000,9.12146,-1.70763776,-0.00004699,-0.34762,NaN,-0.34762,NaN,NaN,0.14807,9.12146,9.12146,0.00000,44.06131935,113.13150226,83.73608,83.73608,NaN,NaN,141.68841,NaN,9.447417,NaN,NaN,9.12146,10.704455,15.350671,12.254696,0.662316
C,-13.859497,0.828148,1.214621,10,4.68767,0.00000,4.68767,-1.03763678,-0.01199443,-0.58570,NaN,-0.58570,NaN,NaN,0.07739,4.68767,4.68767,0.00000,57.85074287,94.80332030,66.26981,66.26981,NaN,NaN,29.43038,NaN,4.011478,NaN,NaN,4.68767,10.015235,14.885838,10.824739,0.615416
H,-11.771792,0.51005,-2.27667,11,8.77310,0.00000,8.77310,-1.75417639,-0.00028607,-0.36339,NaN,-0.36339,NaN,NaN,0.16138,8.77310,8.77310,0.00000,71.74592712,121.73477975,93.77720,93.77720,NaN,NaN,165.72754,NaN,10.961200,NaN,NaN,8.77310,10.879353,15.161849,12.309451,0.608396
C,-13.718799,0.679793,3.85308,12,4.76522,0.00000,4.76522,-1.32778647,-0.00379055,-0.81195,NaN,-0.81195,NaN,NaN,0.12641,4.76522,4.76522,0.00000,58.26162374,95.56669042,68.87446,68.87446,NaN,NaN,28.19905,NaN,4.121980,NaN,NaN,4.76522,10.297168,14.923817,11.039696,0.583575
H,-11.351632,-0.005541,7.111689,13,8.87884,0.00000,8.87884,-1.20395063,-0.00010155,-0.26756,NaN,-0.26756,NaN,NaN,0.08276,8.87884,8.87884,0.00000,65.82408959,115.12983574,85.68418,85.68418,NaN,NaN,155.55448,NaN,10.096407,NaN,NaN,8.87884,10.565124,14.611871,12.067965,0.607029
H,-15.642561,1.267475,0.300383,14,8.92228,0.00000,8.92228,-1.00701760,-0.00005341,-0.23227,NaN,-0.23227,NaN,NaN,0.06108,8.92228,8.92228,0.00000,66.44907414,114.65279517,85.53983,85.53983,NaN,NaN,152.01499,NaN,9.982616,NaN,NaN,8.92228,10.544181,14.675002,12.070789,0.620535
H,-15.404233,1.00732,4.97919,15,8.90229,0.00000,8.90229,-1.22669418,-0.00010956,-0.27910,NaN,-0.27910,NaN,NaN,0.09047,8.90229,8.90229,0.00000,71.09160435,115.36029098,86.93402,86.93402,NaN,NaN,135.97152,NaN,9.495749,NaN,NaN,8.90229,10.933779,14.598395,12.173562,0.582459
C,-5.684655,5.310117,-1.887177,16,3.92391,0.00000,3.92391,-0.76799960,-0.01213444,-0.40859,NaN,-0.40859,NaN,NaN,0.04595,3.92391,3.92391,0.00000,36.52910234,80.39388846,55.31859,55.31859,NaN,NaN,91.61955,NaN,8.036456,NaN,NaN,3.92391,8.691796,11.809569,9.427108,0.335810
C,-4.055925,3.586872,-2.620098,17,9.79602,0.00000,9.79602,-1.15986925,-0.00719931,-0.43794,NaN,-0.43794,NaN,NaN,0.04340,9.79602,9.79602,0.00000,34.71104627,90.46495971,65.52038,65.52038,NaN,NaN,175.29155,NaN,11.205945,NaN,NaN,9.79602,8.948703,13.302023,10.430333,0.640747
H,-5.138449,6.821972,-0.600056,18,9.00840,0.00000,9.00840,-0.72161938,-0.00283665,-0.30234,NaN,-0.30234,NaN,NaN,0.01970,9.00840,9.00840,0.00000,50.99036549,126.92531492,88.31451,88.31451,NaN,NaN,321.65387,NaN,14.968217,NaN,NaN,9.00840,9.393269,13.304942,11.528662,0.497939
