Element,X,Y,Z,Atom#,LEAE All area,LEAE Positive area,LEAE Negative area,LEAE Minimal value,LEAE Maximal value,LEAE All average,LEAE Positive average,LEAE Negative average,LEAE All variance,LEAE Positive variance,LEAE Negative variance,ESP All area (Ang^2),ESP Positive area (Ang^2),ESP Negative area (Ang^2),ESP Minimal value (kcal/mol),ESP Maximal value (kcal/mol),ESP All average (kcal/mol),ESP Positive average (kcal/mol),ESP Negative average (kcal/mol),ESP All variance (kcal/mol)^2,ESP Positive variance (kcal/mol)^2,ESP Negative variance (kcal/mol)^2,ESP Pi (kcal/mol),ESP nu,ESP nu*sigma^2,ALIE Area(Ang^2),ALIE Min value,ALIE Max value,ALIE Average,ALIE Variance
Si,0.38633,-4.649444,-0.592694,1,0.48528,0.00000,0.48528,-0.25454516,-0.01099285,-0.07267,NaN,-0.07267,NaN,NaN,0.00168,0.48528,0.48528,0.00000,37.09234399,74.37560314,58.59728,58.59728,NaN,NaN,61.74154,NaN,6.566055,NaN,NaN,0.48528,10.696175,12.128191,11.367275,0.075340
O,3.29199,-2.282617,-0.430657,2,9.16052,0.00000,9.16052,-1.29788836,-0.00430980,-0.32754,NaN,-0.32754,NaN,NaN,0.07448,9.16052,9.16052,0.00000,22.00894634,125.86619159,64.04448,64.04448,NaN,NaN,752.42499,NaN,23.133845,NaN,NaN,9.16052,9.853921,15.445192,12.571905,1.056962
C,3.929468,-0.826213,1.33591,3,4.34941,0.00000,4.34941,-4.10251801,-0.11910419,-1.94312,NaN,-1.94312,NaN,NaN,1.01822,4.34941,4.34941,0.00000,68.73695762,141.87825893,111.37447,111.37447,NaN,NaN,317.25348,NaN,16.029486,NaN,NaN,4.34941,9.718615,15.445192,12.984069,0.846915
C,6.130702,0.767303,1.179973,4,5.70869,0.00000,5.70869,-2.07359212,-0.05868397,-0.62139,NaN,-0.62139,NaN,NaN,0.08162,5.70869,5.70869,0.00000,76.40342991,125.95771718,94.80011,94.80011,NaN,NaN,125.52432,NaN,9.617754,NaN,NaN,5.70869,10.564181,15.445192,11.707112,0.946505
H,2.712054,-0.628719,2.993578,5,9.25848,0.00000,9.25848,-3.65521728,-0.00978373,-0.60651,NaN,-0.60651,NaN,NaN,0.43232,9.25848,9.25848,0.00000,60.66797607,144.01675445,113.12428,113.12428,NaN,NaN,370.65107,NaN,16.160844,NaN,NaN,9.25848,9.373888,15.378709,12.744812,1.148351
C,7.818967,0.648178,-0.884246,6,4.76754,0.00000,4.76754,-1.85284504,-0.04333519,-1.01030,NaN,-1.01030,NaN,NaN,0.20750,4.76754,4.76754,0.00000,69.73128044,116.95150645,87.82897,87.82897,NaN,NaN,89.32742,NaN,8.494002,NaN,NaN,4.76754,10.291522,14.943776,11.130175,0.635517
C,6.48588,2.57907,3.10372,7,4.76464,0.00000,4.76464,-1.92091307,-0.04542596,-1.01219,NaN,-1.01219,NaN,NaN,0.21866,4.76464,4.76464,0.00000,74.90785936,122.06834485,93.01930,93.01930,NaN,NaN,80.92719,NaN,7.544491,NaN,NaN,4.76464,10.358536,14.957283,11.190352,0.641907
C,9.824178,2.334955,-1.010234,8,4.68385,0.00000,4.68385,-1.38717989,-0.01396037,-0.76945,NaN,-0.76945,NaN,NaN,0.13426,4.68385,4.68385,0.00000,69.73128044,116.95652525,84.15906,84.15906,NaN,NaN,67.59429,NaN,7.172833,NaN,NaN,4.68385,10.120556,14.953216,10.917727,0.609415
H,7.526065,-0.759829,-2.345728,9,9.12932,0.00000,9.12932,-1.77521071,-0.00025257,-0.37713,NaN,-0.37713,NaN,NaN,0.16863,9.12932,9.12932,0.00000,54.46073907,122.76152336,96.69985,96.69985,NaN,NaN,127.55811,NaN,8.697499,NaN,NaN,9.12932,10.861812,15.474107,12.317447,0.636175
C,8.492439,4.271263,2.954447,10,4.73682,0.00000,4.73682,-1.29585446,-0.01966083,-0.73227,NaN,-0.73227,NaN,NaN,0.10953,4.73682,4.73682,0.00000,73.92026488,116.95652525,86.35184,86.35184,NaN,NaN,53.77818,NaN,6.113885,NaN,NaN,4.73682,10.113609,14.953216,10.919391,0.606629
