Element,X,Y,Z,Atom#,LEAE All area,LEAE Positive area,LEAE Negative area,LEAE Minimal value,LEAE Maximal value,LEAE All average,LEAE Positive average,LEAE Negative average,LEAE All variance,LEAE Positive variance,LEAE Negative variance,ESP All area (Ang^2),ESP Positive area (Ang^2),ESP Negative area (Ang^2),ESP Minimal value (kcal/mol),ESP Maximal value (kcal/mol),ESP All average (kcal/mol),ESP Positive average (kcal/mol),ESP Negative average (kcal/mol),ESP All variance (kcal/mol)^2,ESP Positive variance (kcal/mol)^2,ESP Negative variance (kcal/mol)^2,ESP Pi (kcal/mol),ESP nu,ESP nu*sigma^2,ALIE Area(Ang^2),ALIE Min value,ALIE Max value,ALIE Average,ALIE Variance
Si,-2.000564,-1.171362,-1.316782,1,0.24783,0.00000,0.24783,-0.23278867,-0.01981066,-0.08046,NaN,-0.08046,NaN,NaN,0.00200,0.24783,0.24783,0.00000,53.01854756,101.04799395,75.45347,75.45347,NaN,NaN,93.11500,NaN,7.504501,NaN,NaN,0.24783,10.988924,12.973555,11.714846,0.155426
O,-5.014513,0.111216,0.076254,2,9.84590,0.00000,9.84590,-0.80903063,-0.00206385,-0.25752,NaN,-0.25752,NaN,NaN,0.04568,9.84590,9.84590,0.00000,18.81557868,102.56498235,50.17522,50.17522,NaN,NaN,344.00334,NaN,15.934018,NaN,NaN,9.84590,9.888102,15.300560,12.543257,0.862374
C,-6.857104,-1.098118,0.986879,3,4.18706,0.00000,4.18706,-3.75599890,-0.10649434,-1.68333,NaN,-1.68333,NaN,NaN,0.82705,4.18706,4.18706,0.00000,55.81036047,108.39549818,88.10310,88.10310,NaN,NaN,103.44719,NaN,8.278289,NaN,NaN,4.18706,9.643864,15.300560,12.873402,1.034011
C,-9.236074,0.107518,1.517163,4,5.69288,0.00000,5.69288,-1.85432479,-0.00438211,-0.40865,NaN,-0.40865,NaN,NaN,0.10009,5.69288,5.69288,0.00000,61.12239750,97.90920577,72.20152,72.20152,NaN,NaN,54.68372,NaN,6.130736,NaN,NaN,5.69288,10.480655,15.202631,11.576753,0.961252
H,-6.619348,-3.088119,1.488333,5,10.55577,0.00000,10.55577,-3.21561986,-0.00246801,-0.37808,NaN,-0.37808,NaN,NaN,0.26899,10.55577,10.55577,0.00000,30.70793210,116.83840194,85.28793,85.28793,NaN,NaN,406.19962,NaN,15.934105,NaN,NaN,10.55577,8.950324,15.265560,12.222553,1.997509
C,-9.678954,2.672417,0.920582,6,4.74135,0.00000,4.74135,-1.74073876,-0.03696077,-0.89459,NaN,-0.89459,NaN,NaN,0.19995,4.74135,4.74135,0.00000,55.06056393,91.39893118,66.90857,66.90857,NaN,NaN,31.40557,NaN,4.259901,NaN,NaN,4.74135,10.135490,14.877786,10.999468,0.676004
C,-11.141476,-1.349639,2.68268,7,4.75208,0.00000,4.75208,-1.81817862,-0.03949298,-0.90684,NaN,-0.90684,NaN,NaN,0.21569,4.75208,4.75208,0.00000,58.12565225,91.67204694,69.60171,69.60171,NaN,NaN,32.99094,NaN,4.513798,NaN,NaN,4.75208,10.211900,14.888168,11.066781,0.666236
C,-12.00234,3.748453,1.492364,8,4.70568,0.00000,4.70568,-1.17725976,-0.00551964,-0.61768,NaN,-0.61768,NaN,NaN,0.10813,4.70568,4.70568,0.00000,55.06056393,91.31609292,63.73221,63.73221,NaN,NaN,27.23808,NaN,3.932234,NaN,NaN,4.70568,9.996145,14.827130,10.798840,0.616458
H,-8.198516,3.762842,0.012803,9,9.17023,0.00000,9.17023,-1.64102238,-0.00084303,-0.34079,NaN,-0.34079,NaN,NaN,0.13792,9.17023,9.17023,0.00000,40.06056408,110.40454037,81.03049,81.03049,NaN,NaN,142.39610,NaN,9.467058,NaN,NaN,9.17023,10.728919,15.300560,12.199750,0.644633
C,-13.462265,-0.253613,3.252285,10,4.69638,0.00000,4.69638,-0.99341157,-0.00832060,-0.54894,NaN,-0.54894,NaN,NaN,0.07425,4.69638,4.69638,0.00000,57.49390006,91.67204694,64.03153,64.03153,NaN,NaN,25.48787,NaN,3.759345,NaN,NaN,4.69638,9.982037,14.862552,10.786726,0.622845
