Element,X,Y,Z,Atom#,LEAE All area,LEAE Positive area,LEAE Negative area,LEAE Minimal value,LEAE Maximal value,LEAE All average,LEAE Positive average,LEAE Negative average,LEAE All variance,LEAE Positive variance,LEAE Negative variance,ESP All area (Ang^2),ESP Positive area (Ang^2),ESP Negative area (Ang^2),ESP Minimal value (kcal/mol),ESP Maximal value (kcal/mol),ESP All average (kcal/mol),ESP Positive average (kcal/mol),ESP Negative average (kcal/mol),ESP All variance (kcal/mol)^2,ESP Positive variance (kcal/mol)^2,ESP Negative variance (kcal/mol)^2,ESP Pi (kcal/mol),ESP nu,ESP nu*sigma^2,ALIE Area(Ang^2),ALIE Min value,ALIE Max value,ALIE Average,ALIE Variance
Si,-0.548361,-3.434417,1.717304,1,0.22684,0.00000,0.22684,-0.17809648,-0.01139372,-0.05474,NaN,-0.05474,NaN,NaN,0.00129,0.22684,0.22684,0.00000,39.78905376,69.64666653,56.20628,56.20628,NaN,NaN,38.21020,NaN,5.136461,NaN,NaN,0.22684,10.668055,12.146359,11.298944,0.088220
O,-3.360241,-1.581752,0.116513,2,9.10100,0.00000,9.10100,-0.96028497,-0.00920949,-0.35354,NaN,-0.35354,NaN,NaN,0.07365,9.10100,9.10100,0.00000,47.13092013,109.93978856,73.89717,73.89717,NaN,NaN,184.25055,NaN,11.126894,NaN,NaN,9.10100,10.631987,15.370979,12.806925,0.778368
C,-5.549358,-2.425422,-0.217498,3,4.43634,0.00000,4.43634,-4.28940820,-0.13060931,-2.13993,NaN,-2.13993,NaN,NaN,1.28793,4.43634,4.43634,0.00000,84.12492231,120.86950434,106.19674,106.19674,NaN,NaN,49.79223,NaN,5.699222,NaN,NaN,4.43634,11.893568,15.367031,13.295409,0.321273
C,-7.467238,-1.01678,-1.530168,4,5.69804,0.00000,5.69804,-1.88470319,-0.05687742,-0.58510,NaN,-0.58510,NaN,NaN,0.09168,5.69804,5.69804,0.00000,77.95344798,110.13025839,89.40615,89.40615,NaN,NaN,56.20670,NaN,6.205979,NaN,NaN,5.69804,10.615722,15.339273,11.727361,0.955711
H,-6.039816,-4.285544,0.548313,5,10.96402,0.00000,10.96402,-3.66457542,-0.00392758,-0.51593,NaN,-0.51593,NaN,NaN,0.50291,10.96402,10.96402,0.00000,29.40117982,122.40246983,91.41943,91.41943,NaN,NaN,453.30265,NaN,17.181218,NaN,NaN,10.96402,8.870380,15.304026,12.212268,1.803341
C,-6.971625,1.378047,-2.60673,6,4.74794,0.00000,4.74794,-1.87471046,-0.04398209,-1.00287,NaN,-1.00287,NaN,NaN,0.21825,4.74794,4.74794,0.00000,73.61560075,109.03177143,87.72054,87.72054,NaN,NaN,41.49084,NaN,5.184824,NaN,NaN,4.74794,10.316842,15.037432,11.174838,0.687494
C,-9.905432,-2.085065,-1.694226,7,4.73750,0.00000,4.73750,-1.93690007,-0.03928560,-1.01449,NaN,-1.01449,NaN,NaN,0.23067,4.73750,4.73750,0.00000,71.04706625,109.03177143,83.21710,83.21710,NaN,NaN,34.97010,NaN,4.378979,NaN,NaN,4.73750,10.386499,15.037432,11.211949,0.659985
C,-8.903566,2.677201,-3.81127,8,4.73385,0.00000,4.73385,-1.37685116,-0.00942785,-0.74978,NaN,-0.74978,NaN,NaN,0.13645,4.73385,4.73385,0.00000,73.46123482,107.73563963,82.72073,82.72073,NaN,NaN,30.55686,NaN,4.306669,NaN,NaN,4.73385,10.145667,14.895339,10.955390,0.621218
H,-5.085565,2.170902,-2.483117,9,9.19411,0.00000,9.19411,-1.80510714,-0.00417696,-0.39466,NaN,-0.39466,NaN,NaN,0.16835,9.19411,9.19411,0.00000,66.77596230,140.18611185,106.78879,106.78879,NaN,NaN,187.63826,NaN,11.012757,NaN,NaN,9.19411,10.875912,15.370979,12.376594,0.610252
C,-11.832263,-0.766826,-2.905363,10,4.73738,0.00000,4.73738,-1.22862267,-0.01289062,-0.70275,NaN,-0.70275,NaN,NaN,0.10121,4.73738,4.73738,0.00000,71.00908836,107.90407394,77.21797,77.21797,NaN,NaN,28.00541,NaN,3.588447,NaN,NaN,4.73738,10.112797,15.037432,10.922555,0.624483
H,-10.257492,-3.929438,-0.862163,11,8.77981,0.00000,8.77981,-1.84742386,-0.00025256,-0.38492,NaN,-0.38492,NaN,NaN,0.17678,8.77981,8.77981,0.00000,82.92045078,128.39431006,101.67832,101.67832,NaN,NaN,147.29690,NaN,10.432923,NaN,NaN,8.77981,10.968687,15.295061,12.390277,0.605909
C,-11.330562,1.608387,-3.95768,12,4.74848,0.00000,4.74848,-1.68503856,-0.00942785,-0.96041,NaN,-0.96041,NaN,NaN,0.20261,4.74848,4.74848,0.00000,71.17758913,109.03177143,81.83691,81.83691,NaN,NaN,27.83081,NaN,3.970955,NaN,NaN,4.74848,10.403039,15.037432,11.138652,0.589460
H,-8.543518,4.517683,-4.644112,13,8.91952,0.00000,8.91952,-1.34269027,-0.00024833,-0.31201,NaN,-0.31201,NaN,NaN,0.10666,8.91952,8.91952,0.00000,83.62578283,134.21304551,104.03140,104.03140,NaN,NaN,167.96819,NaN,10.679244,NaN,NaN,8.91952,10.699023,14.749404,12.181194,0.616443
H,-13.713336,-1.574635,-3.033734,14,8.90834,0.00000,8.90834,-1.20667405,-0.00010426,-0.28195,NaN,-0.28195,NaN,NaN,0.08693,8.90834,8.90834,0.00000,77.51403779,122.40196944,94.14505,94.14505,NaN,NaN,139.43820,NaN,9.545251,NaN,NaN,8.90834,10.685048,14.758285,12.154017,0.626800
H,-12.834438,2.637502,-4.90365,15,8.85984,0.00000,8.85984,-1.58897295,-0.00011262,-0.35421,NaN,-0.35421,NaN,NaN,0.14640,8.85984,8.85984,0.00000,83.34321424,126.30213441,98.55909,98.55909,NaN,NaN,129.94285,NaN,9.335378,NaN,NaN,8.85984,10.998109,14.688016,12.253195,0.571016
C,-3.464936,-6.827012,-4.446301,16,3.82606,0.00000,3.82606,-0.74500772,-0.01120318,-0.36438,NaN,-0.36438,NaN,NaN,0.04738,3.82606,3.82606,0.00000,25.81966132,71.46001443,44.64465,44.64465,NaN,NaN,100.44148,NaN,8.323654,NaN,NaN,3.82606,8.542665,11.589448,9.254804,0.301059
C,-2.407757,-6.759564,-2.202984,17,9.92038,0.00000,9.92038,-0.97468907,-0.00416971,-0.26553,NaN,-0.26553,NaN,NaN,0.03137,9.92038,9.92038,0.00000,25.82423242,90.22113203,54.00222,54.00222,NaN,NaN,172.55254,NaN,10.631664,NaN,NaN,9.92038,8.806573,13.205181,10.313771,0.742483
H,-5.512641,-6.85274,-4.6633,18,9.04862,0.00000,9.04862,-0.70122339,-0.00084415,-0.19489,NaN,-0.19489,NaN,NaN,0.01917,9.04862,9.04862,0.00000,38.76213723,113.61877371,76.24704,76.24704,NaN,NaN,299.76958,NaN,14.127025,NaN,NaN,9.04862,9.259698,13.125516,11.394398,0.498151
H,-2.327109,-6.893844,-6.160445,19,9.04769,0.00000,9.04769,-0.69574645,-0.00084415,-0.19585,NaN,-0.19585,NaN,NaN,0.01894,9.04769,9.04769,0.00000,38.60546107,109.39929093,72.40595,72.40595,NaN,NaN,276.19095,NaN,13.686165,NaN,NaN,9.04769,9.324079,13.148171,11.388029,0.493032
C,-1.38865,-6.553113,0.030799,20,2.78522,0.00000,2.78522,-0.43365366,-0.00392758,-0.19169,NaN,-0.19169,NaN,NaN,0.01033,2.78522,2.78522,0.00000,30.89043814,100.13619549,45.06069,45.06069,NaN,NaN,126.93868,NaN,7.887863,NaN,NaN,2.78522,8.945891,13.564463,9.922291,0.736099
H,-0.934322,-8.250081,1.108646,21,10.03584,0.00000,10.03584,-0.60250284,-0.00900030,-0.14784,NaN,-0.14784,NaN,NaN,0.00700,10.03584,10.03584,0.00000,23.20867272,89.07218988,54.08207,54.08207,NaN,NaN,196.53650,NaN,11.359574,NaN,NaN,10.03584,9.326272,12.673359,11.228706,0.344530
Cl,-3.053748,-4.364935,5.0654,22,19.54352,0.00000,19.54352,-0.40204141,-0.00338349,-0.09150,NaN,-0.09150,NaN,NaN,0.00988,19.54352,17.07434,2.46918,-6.22333833,69.92160714,15.33913,17.99187,-3.00449,129.70757,126.47078,3.23680,10.266765,0.024332,3.156024,19.54352,8.681013,11.400233,9.235785,0.228612
Cl,2.93222,-4.934109,3.556183,23,21.27248,0.00000,21.27248,-0.34825230,-0.00198694,-0.08105,NaN,-0.08105,NaN,NaN,0.00730,21.27248,19.66376,1.60872,-4.31390155,82.85659733,19.22028,20.96206,-2.06995,172.28617,170.74479,1.54138,11.146672,0.008867,1.527586,21.27248,8.761936,11.862695,9.349863,0.252413
O,1.106437,-2.227362,-1.22315,24,7.51681,0.00000,7.51681,-1.52245977,-0.02840957,-0.19430,NaN,-0.19430,NaN,NaN,0.02288,7.51681,7.51681,0.00000,29.73796263,116.62269683,55.42883,55.42883,NaN,NaN,423.93830,NaN,17.621656,NaN,NaN,7.51681,10.573359,15.620225,12.027846,1.532361
