Element,X,Y,Z,Atom#,LEAE All area,LEAE Positive area,LEAE Negative area,LEAE Minimal value,LEAE Maximal value,LEAE All average,LEAE Positive average,LEAE Negative average,LEAE All variance,LEAE Positive variance,LEAE Negative variance,ESP All area (Ang^2),ESP Positive area (Ang^2),ESP Negative area (Ang^2),ESP Minimal value (kcal/mol),ESP Maximal value (kcal/mol),ESP All average (kcal/mol),ESP Positive average (kcal/mol),ESP Negative average (kcal/mol),ESP All variance (kcal/mol)^2,ESP Positive variance (kcal/mol)^2,ESP Negative variance (kcal/mol)^2,ESP Pi (kcal/mol),ESP nu,ESP nu*sigma^2,ALIE Area(Ang^2),ALIE Min value,ALIE Max value,ALIE Average,ALIE Variance
Si,-1.75078,-1.766367,-0.783547,1,0.10309,0.00000,0.10309,-0.27897248,-0.06574092,-0.14325,NaN,-0.14325,NaN,NaN,0.00197,0.10309,0.10309,0.00000,58.52229118,84.11401119,73.05478,73.05478,NaN,NaN,32.62944,NaN,4.976076,NaN,NaN,0.10309,11.131420,12.760102,11.907097,0.132322
O,-5.056648,-0.93471,0.481772,2,8.16180,0.00000,8.16180,-0.81875587,-0.00283522,-0.24773,NaN,-0.24773,NaN,NaN,0.04176,8.16180,8.16180,0.00000,16.98447234,93.62181864,49.82793,49.82793,NaN,NaN,410.00497,NaN,17.954745,NaN,NaN,8.16180,9.981350,15.331734,12.541821,0.964979
C,-7.049272,-0.96795,-0.812308,3,4.38689,0.00000,4.38689,-4.08318536,-0.09875076,-2.04920,NaN,-2.04920,NaN,NaN,1.13263,4.38689,4.38689,0.00000,68.97514571,109.52652358,93.28687,93.28687,NaN,NaN,59.88328,NaN,6.358865,NaN,NaN,4.38689,11.724846,15.331734,13.161052,0.343207
C,-9.48761,-0.453563,0.260446,4,5.73414,0.00000,5.73414,-1.94204771,-0.05386015,-0.53525,NaN,-0.53525,NaN,NaN,0.09111,5.73414,5.73414,0.00000,62.70739897,100.09783249,75.31111,75.31111,NaN,NaN,58.22449,NaN,6.296920,NaN,NaN,5.73414,10.543706,15.239284,11.646217,0.963487
H,-6.929151,-1.359811,-2.839295,5,10.61329,0.00000,10.61329,-3.44389330,-0.00343200,-0.49704,NaN,-0.49704,NaN,NaN,0.45134,10.61329,10.61329,0.00000,29.51069851,117.26993036,85.27805,85.27805,NaN,NaN,421.15628,NaN,16.670120,NaN,NaN,10.61329,8.833485,15.202249,12.061263,1.850226
C,-9.810101,0.064568,2.861584,6,4.73320,0.00000,4.73320,-1.81062717,-0.04405943,-0.96553,NaN,-0.96553,NaN,NaN,0.20320,4.73320,4.73320,0.00000,56.95836459,95.04305943,69.48146,69.48146,NaN,NaN,34.28939,NaN,4.478769,NaN,NaN,4.73320,10.222601,14.889968,11.072582,0.656822
C,-11.59048,-0.458512,-1.382618,7,4.71048,0.00000,4.71048,-1.87414217,-0.04157633,-0.97867,NaN,-0.97867,NaN,NaN,0.21627,4.71048,4.71048,0.00000,60.96717270,95.08819904,72.90161,72.90161,NaN,NaN,33.44740,NaN,4.540424,NaN,NaN,4.71048,10.300740,14.942321,11.126282,0.651799
C,-12.210972,0.570355,3.786386,8,4.72911,0.00000,4.72911,-1.27502759,-0.00927967,-0.69603,NaN,-0.69603,NaN,NaN,0.11954,4.72911,4.72911,0.00000,56.95836459,95.04305943,66.61351,66.61351,NaN,NaN,30.86833,NaN,4.087272,NaN,NaN,4.72911,10.048683,14.889968,10.865847,0.661716
H,-8.177418,0.051684,4.101681,9,9.11619,0.00000,9.11619,-1.73143714,-0.00005250,-0.35880,NaN,-0.35880,NaN,NaN,0.15386,9.11619,9.11619,0.00000,44.31484022,112.48442123,83.41828,83.41828,NaN,NaN,137.53900,NaN,9.314896,NaN,NaN,9.11619,10.821367,15.277456,12.261843,0.642781
C,-13.989503,0.054271,-0.437526,10,4.74050,0.00000,4.74050,-1.14161949,-0.01247824,-0.65084,NaN,-0.65084,NaN,NaN,0.08914,4.74050,4.74050,0.00000,60.08942429,94.67545341,67.05806,67.05806,NaN,NaN,25.28060,NaN,3.718311,NaN,NaN,4.74050,10.031550,14.835789,10.844697,0.613834
