Element,X,Y,Z,Atom#,LEAE All area,LEAE Positive area,LEAE Negative area,LEAE Minimal value,LEAE Maximal value,LEAE All average,LEAE Positive average,LEAE Negative average,LEAE All variance,LEAE Positive variance,LEAE Negative variance,ESP All area (Ang^2),ESP Positive area (Ang^2),ESP Negative area (Ang^2),ESP Minimal value (kcal/mol),ESP Maximal value (kcal/mol),ESP All average (kcal/mol),ESP Positive average (kcal/mol),ESP Negative average (kcal/mol),ESP All variance (kcal/mol)^2,ESP Positive variance (kcal/mol)^2,ESP Negative variance (kcal/mol)^2,ESP Pi (kcal/mol),ESP nu,ESP nu*sigma^2,ALIE Area(Ang^2),ALIE Min value,ALIE Max value,ALIE Average,ALIE Variance
Si,-0.983994,-3.78175,0.894018,1,0.57364,0.00000,0.57364,-0.17654744,-0.01450818,-0.08783,NaN,-0.08783,NaN,NaN,0.00200,0.57364,0.57364,0.00000,33.39748591,97.73225312,59.87935,59.87935,NaN,NaN,238.41929,NaN,12.903450,NaN,NaN,0.57364,10.669459,12.973892,11.385023,0.222324
O,-3.429496,-1.232049,0.000282,2,8.75648,0.00000,8.75648,-1.06446463,-0.01148149,-0.30360,NaN,-0.30360,NaN,NaN,0.05805,8.75648,8.75648,0.00000,39.64513606,108.37907499,70.95253,70.95253,NaN,NaN,266.55737,NaN,13.920367,NaN,NaN,8.75648,10.751807,15.306115,12.759089,0.779040
C,-5.798339,-1.261213,0.215081,3,4.16849,0.00000,4.16849,-3.64120723,-0.12064722,-1.68150,NaN,-1.68150,NaN,NaN,0.79771,4.16849,4.16849,0.00000,63.67651954,116.05681815,97.85507,97.85507,NaN,NaN,117.40133,NaN,9.157199,NaN,NaN,4.16849,9.556897,15.304586,12.864567,0.996823
C,-7.352785,0.680545,-0.892873,4,5.70725,0.00000,5.70725,-1.97482245,-0.00844269,-0.42678,NaN,-0.42678,NaN,NaN,0.11140,5.70725,5.70725,0.00000,72.94427207,107.31143638,85.22499,85.22499,NaN,NaN,63.62126,NaN,6.554181,NaN,NaN,5.70725,10.563647,15.139346,11.642286,0.958752
H,-6.697826,-2.719562,1.369604,5,10.51612,0.00000,10.51612,-3.15556338,-0.00146213,-0.40406,NaN,-0.40406,NaN,NaN,0.28933,10.51612,10.51612,0.00000,25.76039341,119.28512027,87.31494,87.31494,NaN,NaN,490.70268,NaN,17.571091,NaN,NaN,10.51612,8.871736,15.327183,12.187421,2.117228
C,-6.306832,2.634976,-2.381106,6,4.72681,0.00000,4.72681,-1.76984445,-0.04776048,-0.91019,NaN,-0.91019,NaN,NaN,0.20823,4.72681,4.72681,0.00000,69.58783405,105.99414665,84.38699,84.38699,NaN,NaN,49.67690,NaN,5.759063,NaN,NaN,4.72681,10.212474,14.950609,11.076411,0.672797
C,-9.97281,0.619919,-0.406091,7,4.76293,0.00000,4.76293,-1.86286030,-0.02730959,-0.92812,NaN,-0.92812,NaN,NaN,0.22604,4.76293,4.76293,0.00000,67.51633135,105.99414665,79.99941,79.99941,NaN,NaN,34.93440,NaN,4.398178,NaN,NaN,4.76293,10.282573,14.950609,11.128962,0.665529
C,-7.875439,4.496567,-3.358809,8,4.73903,0.00000,4.73903,-1.23871246,-0.00545708,-0.64328,NaN,-0.64328,NaN,NaN,0.11989,4.73903,4.73903,0.00000,69.48793044,105.99414665,80.19199,80.19199,NaN,NaN,38.55498,NaN,4.897141,NaN,NaN,4.73903,10.075896,14.886375,10.882637,0.630318
H,-4.290574,2.649491,-2.752928,9,9.18742,0.00000,9.18742,-1.67699226,-0.00087206,-0.34854,NaN,-0.34854,NaN,NaN,0.14741,9.18742,9.18742,0.00000,60.47673067,135.94453669,102.58416,102.58416,NaN,NaN,199.09744,NaN,11.177226,NaN,NaN,9.18742,10.787147,15.304586,12.286355,0.602152
C,-11.530909,2.495489,-1.391415,10,4.71132,0.00000,4.71132,-1.02678948,-0.00625754,-0.56766,NaN,-0.56766,NaN,NaN,0.07928,4.71132,4.71132,0.00000,67.29155194,105.31389138,74.98369,74.98369,NaN,NaN,29.89504,NaN,3.817021,NaN,NaN,4.71132,10.050660,14.950609,10.854772,0.635615
