Element,X,Y,Z,Atom#,LEAE All area,LEAE Positive area,LEAE Negative area,LEAE Minimal value,LEAE Maximal value,LEAE All average,LEAE Positive average,LEAE Negative average,LEAE All variance,LEAE Positive variance,LEAE Negative variance,ESP All area (Ang^2),ESP Positive area (Ang^2),ESP Negative area (Ang^2),ESP Minimal value (kcal/mol),ESP Maximal value (kcal/mol),ESP All average (kcal/mol),ESP Positive average (kcal/mol),ESP Negative average (kcal/mol),ESP All variance (kcal/mol)^2,ESP Positive variance (kcal/mol)^2,ESP Negative variance (kcal/mol)^2,ESP Pi (kcal/mol),ESP nu,ESP nu*sigma^2,ALIE Area(Ang^2),ALIE Min value,ALIE Max value,ALIE Average,ALIE Variance
O,4.804135,3.137716,-0.888079,1,10.49560,0.00000,10.49560,-0.83390564,-0.00192781,-0.25428,NaN,-0.25428,NaN,NaN,0.04866,10.49560,10.49560,0.00000,1.79409951,90.45204103,39.78657,39.78657,NaN,NaN,565.02362,NaN,20.689187,NaN,NaN,10.49560,9.738798,15.299665,12.301665,0.887485
C,6.200554,2.812495,0.995699,2,4.45993,0.00000,4.45993,-3.50757354,-0.08357856,-1.83391,NaN,-1.83391,NaN,NaN,0.94295,4.45993,4.45993,0.00000,66.94179113,111.45067770,94.57335,94.57335,NaN,NaN,87.83697,NaN,7.898271,NaN,NaN,4.45993,11.715487,15.299665,13.141876,0.307053
C,8.869874,3.332904,0.955755,3,5.70185,0.00000,5.70185,-1.93408291,-0.02063794,-0.44715,NaN,-0.44715,NaN,NaN,0.11264,5.70185,5.70185,0.00000,57.58077432,105.16873563,73.85286,73.85286,NaN,NaN,74.49082,NaN,6.883705,NaN,NaN,5.70185,10.440797,15.213480,11.543664,0.944526
H,5.372712,2.130851,2.76657,4,9.46459,0.00000,9.46459,-3.04655669,-0.00589398,-0.49182,NaN,-0.49182,NaN,NaN,0.39007,9.46459,9.46459,0.00000,55.45506631,131.52613769,102.25821,102.25821,NaN,NaN,238.50755,NaN,11.943703,NaN,NaN,9.46459,9.165661,15.068464,12.529016,1.391392
C,10.132328,4.07156,-1.275495,5,4.76100,0.00000,4.76100,-1.70963634,-0.04910497,-0.88694,NaN,-0.88694,NaN,NaN,0.18923,4.76100,4.76100,0.00000,51.27239660,91.17229287,64.14705,64.14705,NaN,NaN,38.86793,NaN,4.940842,NaN,NaN,4.76100,10.108513,14.806265,10.962780,0.650806
C,10.209786,3.105895,3.247993,6,4.73285,0.00000,4.73285,-1.77607348,-0.02461107,-0.90240,NaN,-0.90240,NaN,NaN,0.20464,4.73285,4.73285,0.00000,59.17369990,100.14631609,74.03504,74.03504,NaN,NaN,47.89421,NaN,5.653498,NaN,NaN,4.73285,10.194720,14.838766,11.034924,0.621736
C,12.706258,4.575044,-1.192805,7,4.72714,0.00000,4.72714,-1.16651026,-0.00150988,-0.61828,NaN,-0.61828,NaN,NaN,0.10319,4.72714,4.72714,0.00000,51.25388139,92.67113238,61.04923,61.04923,NaN,NaN,32.59325,NaN,4.103313,NaN,NaN,4.72714,9.948489,14.838766,10.755271,0.622384
H,9.073943,4.22764,-3.024788,8,9.13292,0.00000,9.13292,-1.61068341,-0.00028726,-0.32707,NaN,-0.32707,NaN,NaN,0.13617,9.13292,9.13292,0.00000,34.53018770,101.40986367,74.57647,74.57647,NaN,NaN,118.71697,NaN,8.662588,NaN,NaN,9.13292,10.711011,15.299665,12.163468,0.666551
C,12.783426,3.632768,3.317618,9,4.75365,0.00000,4.75365,-0.98907421,-0.00791839,-0.55279,NaN,-0.55279,NaN,NaN,0.07278,4.75365,4.75365,0.00000,57.13318811,92.03314926,65.34549,65.34549,NaN,NaN,30.62436,NaN,4.271562,NaN,NaN,4.75365,9.939443,14.806265,10.767523,0.630214
H,9.210315,2.524085,4.945084,10,8.80300,0.00000,8.80300,-1.69428822,-0.00027407,-0.35785,NaN,-0.35785,NaN,NaN,0.15249,8.80300,8.80300,0.00000,76.33758937,131.69415879,101.29843,101.29843,NaN,NaN,199.02290,NaN,12.083220,NaN,NaN,8.80300,10.803801,15.068464,12.278966,0.595519
C,14.026371,4.363448,1.098621,11,4.77229,0.00000,4.77229,-1.20574580,-0.00150988,-0.75083,NaN,-0.75083,NaN,NaN,0.10504,4.77229,4.77229,0.00000,55.31831781,91.33060472,64.94617,64.94617,NaN,NaN,28.14232,NaN,4.184419,NaN,NaN,4.77229,10.195104,14.806265,10.954301,0.577857
H,13.700692,5.134424,-2.898086,12,8.91693,0.00000,8.91693,-1.10925559,-0.00015752,-0.25011,NaN,-0.25011,NaN,NaN,0.07295,8.91693,8.91693,0.00000,60.93578733,108.95825716,79.75429,79.75429,NaN,NaN,151.49340,NaN,10.007654,NaN,NaN,8.91693,10.544315,14.535534,11.996655,0.614479
H,13.826068,3.469244,5.07664,13,8.90662,0.00000,8.90662,-0.95833509,-0.00006324,-0.21491,NaN,-0.21491,NaN,NaN,0.05313,8.90662,8.90662,0.00000,67.54645819,116.22755457,86.79329,86.79329,NaN,NaN,161.08610,NaN,10.456625,NaN,NaN,8.90662,10.538836,14.646140,12.027736,0.611971
H,16.039597,4.763402,1.148156,14,8.83657,0.00000,8.83657,-1.12804138,-0.00016928,-0.25116,NaN,-0.25116,NaN,NaN,0.07351,8.83657,8.83657,0.00000,68.43207241,112.38829289,83.90495,83.90495,NaN,NaN,139.06073,NaN,9.640011,NaN,NaN,8.83657,10.784933,14.536282,12.098023,0.573259
C,3.262111,7.738876,4.412471,15,3.86580,0.00000,3.86580,-0.16727913,-0.00499483,-0.05383,NaN,-0.05383,NaN,NaN,0.00050,3.86580,3.86580,0.00000,20.98874650,63.33346141,36.98826,36.98826,NaN,NaN,62.86343,NaN,6.483544,NaN,NaN,3.86580,8.553375,11.597724,9.263773,0.313701
C,1.93929,5.851091,3.50562,16,9.79512,0.00000,9.79512,-0.44952327,-0.00301035,-0.05811,NaN,-0.05811,NaN,NaN,0.00466,9.79512,9.79512,0.00000,21.12156436,80.21811163,52.85768,52.85768,NaN,NaN,164.58774,NaN,10.374674,NaN,NaN,9.79512,8.833343,13.063748,10.388622,0.693931
H,5.06615,7.427342,5.355066,17,9.01456,0.00000,9.01456,-0.18445871,-0.00043320,-0.03684,NaN,-0.03684,NaN,NaN,0.00046,9.01456,9.01456,0.00000,42.17477196,111.72329450,73.23094,73.23094,NaN,NaN,312.80884,NaN,14.877873,NaN,NaN,9.01456,9.280141,13.233151,11.439293,0.494298
H,2.591691,9.679022,4.257438,18,8.98510,0.00000,8.98510,-0.08393568,-0.00043320,-0.03038,NaN,-0.03038,NaN,NaN,0.00029,8.98510,8.98510,0.00000,27.81198510,98.77729987,62.55351,62.55351,NaN,NaN,266.02953,NaN,13.272354,NaN,NaN,8.98510,9.284272,13.216383,11.403711,0.497616
C,0.700382,3.973391,2.497659,19,1.87827,0.00000,1.87827,-0.17329776,-0.00589398,-0.05189,NaN,-0.05189,NaN,NaN,0.00170,1.87827,1.87827,0.00000,33.37103858,86.41604616,58.21154,58.21154,NaN,NaN,160.50245,NaN,10.240454,NaN,NaN,1.87827,9.126070,12.899859,10.336252,0.959087
H,-0.646744,2.965511,3.690924,20,9.80649,0.00000,9.80649,-0.61832033,-0.01252391,-0.09165,NaN,-0.09165,NaN,NaN,0.01346,9.80649,9.80649,0.00000,51.34728313,124.16778090,86.03920,86.03920,NaN,NaN,349.54766,NaN,16.274888,NaN,NaN,9.80649,9.657337,14.535131,11.680263,0.714216
Cl,1.805527,0.911404,-4.736321,21,21.67533,0.00000,21.67533,-0.41125947,-0.00253724,-0.04793,NaN,-0.04793,NaN,NaN,0.00186,21.67533,18.62218,3.05315,-9.37832878,86.07149393,20.30253,24.37272,-4.52297,233.17832,225.97765,7.20067,14.455985,0.029927,6.978308,21.67533,8.615648,11.979433,9.246588,0.274936
Cl,0.896095,6.502412,-2.771676,22,21.52674,0.00000,21.52674,-0.18815367,-0.00154359,-0.02928,NaN,-0.02928,NaN,NaN,0.00051,21.52674,13.88800,7.63874,-14.69345377,63.74347106,4.66089,10.84174,-6.57653,100.62354,82.84218,17.78136,8.761142,0.145485,14.639185,21.52674,8.532923,11.500255,9.137377,0.286005
Si,1.113646,2.717993,-0.924962,23,0.17637,0.00000,0.17637,-0.22089933,-0.00551976,-0.06876,NaN,-0.06876,NaN,NaN,0.00338,0.17637,0.17637,0.00000,34.75942201,81.55906584,61.81300,61.81300,NaN,NaN,152.72653,NaN,10.987356,NaN,NaN,0.17637,10.710212,12.728851,11.686447,0.201280
O,1.552189,-0.428017,0.774706,24,8.85260,0.00000,8.85260,-1.30287327,-0.03174124,-0.17510,NaN,-0.17510,NaN,NaN,0.01714,8.85260,8.85260,0.00000,40.11012581,117.78489047,64.69240,64.69240,NaN,NaN,265.80552,NaN,13.576229,NaN,NaN,8.85260,10.471577,15.847555,11.858721,1.104013
O,-2.351963,2.049546,-1.476524,25,10.54464,0.00000,10.54464,-1.22696250,-0.00498931,-0.15868,NaN,-0.15868,NaN,NaN,0.01739,10.54464,10.51353,0.03111,-0.27851097,104.46386770,36.38541,36.49343,-0.11933,669.36070,669.35781,0.00289,21.993475,0.000004,0.002893,10.54464,9.720729,15.542617,11.673447,1.257207
N,0.865016,-2.581319,-0.418586,26,4.41734,0.00000,4.41734,-1.01919849,-0.01988170,-0.38009,NaN,-0.38009,NaN,NaN,0.05332,4.41734,4.41734,0.00000,53.98546193,139.12963841,102.71643,102.71643,NaN,NaN,297.26320,NaN,14.204417,NaN,NaN,4.41734,9.898025,16.123652,13.694377,1.363444
C,-2.539121,-5.016044,-2.081898,27,3.72604,0.00000,3.72604,-1.36688041,-0.03075504,-0.79645,NaN,-0.79645,NaN,NaN,0.12441,3.72604,3.72604,0.00000,76.67482597,135.52617999,99.53576,99.53576,NaN,NaN,147.82422,NaN,10.777072,NaN,NaN,3.72604,11.096980,15.488058,12.126319,0.771273
C,-1.670582,-3.03099,-0.608751,28,4.05895,0.00000,4.05895,-1.82921134,-0.03774875,-0.95410,NaN,-0.95410,NaN,NaN,0.23767,4.05895,4.05895,0.00000,72.69817757,139.12963841,101.57113,101.57113,NaN,NaN,298.29549,NaN,15.932623,NaN,NaN,4.05895,10.948272,16.015695,12.553986,1.188755
C,1.803182,-6.123155,-2.947954,29,4.70263,0.00000,4.70263,-1.66432415,-0.00466084,-0.93120,NaN,-0.93120,NaN,NaN,0.18572,4.70263,4.70263,0.00000,75.35748397,135.52617999,93.69740,93.69740,NaN,NaN,91.35194,NaN,7.403833,NaN,NaN,4.70263,10.523014,15.724122,11.498655,0.723130
H,3.217126,-7.34156,-3.794481,30,9.17854,0.00000,9.17854,-1.61604754,-0.01022678,-0.41151,NaN,-0.41151,NaN,NaN,0.12965,9.17854,9.17854,0.00000,91.77583755,141.57394108,112.50857,112.50857,NaN,NaN,135.60116,NaN,9.222276,NaN,NaN,9.17854,11.178050,15.269923,12.780432,0.659471
C,-0.750199,-6.562845,-3.33578,31,3.76505,0.00000,3.76505,-1.77001394,-0.02641044,-0.94471,NaN,-0.94471,NaN,NaN,0.19201,3.76505,3.76505,0.00000,79.59663228,129.92057662,99.75315,99.75315,NaN,NaN,83.40538,NaN,7.645172,NaN,NaN,3.76505,10.941136,15.641766,11.861650,0.541759
C,5.352795,-3.642562,-1.007075,32,5.09859,0.00000,5.09859,-1.29583591,-0.01924808,-0.64231,NaN,-0.64231,NaN,NaN,0.08552,5.09859,5.09859,0.00000,58.88449934,112.33095364,79.18768,79.18768,NaN,NaN,113.57856,NaN,8.667221,NaN,NaN,5.09859,10.294006,14.696514,11.319383,0.739875
C,2.648763,-4.104595,-1.471329,33,5.26109,0.00000,5.26109,-1.81175027,-0.00466084,-0.97954,NaN,-0.97954,NaN,NaN,0.18764,5.26109,5.26109,0.00000,52.27371128,138.09154695,96.08825,96.08825,NaN,NaN,304.41075,NaN,15.038580,NaN,NaN,5.26109,9.577639,15.928405,12.294196,1.105152
C,-4.631713,-8.770234,-4.960777,34,0.89161,0.00000,0.89161,-0.09131887,-0.00130544,-0.04858,NaN,-0.04858,NaN,NaN,0.00024,0.89161,0.89161,0.00000,78.45209318,92.72284901,86.56844,86.56844,NaN,NaN,12.70497,NaN,3.005351,NaN,NaN,0.89161,11.910834,13.555766,12.712825,0.140177
H,-5.352298,-10.312069,-6.134013,35,9.01260,0.00000,9.01260,-0.09176053,-0.00143802,-0.01661,NaN,-0.01661,NaN,NaN,0.00024,9.01260,9.01260,0.00000,75.83225560,107.30955990,87.18042,87.18042,NaN,NaN,64.10851,NaN,6.416408,NaN,NaN,9.01260,10.401677,13.455791,11.594743,0.625862
C,-5.275775,-5.670102,-2.447639,36,1.26127,0.00000,1.26127,-0.75167437,-0.00252642,-0.21442,NaN,-0.21442,NaN,NaN,0.02981,1.26127,1.26127,0.00000,84.07457720,117.12853332,97.73439,97.73439,NaN,NaN,61.98846,NaN,6.543618,NaN,NaN,1.26127,12.048595,13.724334,12.857826,0.125987
H,-6.561549,-4.447108,-1.401113,37,9.82985,0.00000,9.82985,-1.48762466,-0.00217148,-0.18394,NaN,-0.18394,NaN,NaN,0.07435,9.82985,9.82985,0.00000,84.72567500,130.42270770,106.15300,106.15300,NaN,NaN,134.46077,NaN,9.831370,NaN,NaN,9.82985,10.996708,14.866302,12.067197,0.580807
C,6.283683,-3.347487,1.461852,38,4.67369,0.00000,4.67369,-1.61126993,-0.01165065,-0.81953,NaN,-0.81953,NaN,NaN,0.16177,4.67369,4.67369,0.00000,66.04835807,102.14387859,79.91644,79.91644,NaN,NaN,39.81868,NaN,5.141339,NaN,NaN,4.67369,10.100196,14.827851,10.952860,0.607014
H,4.987885,-3.313296,3.049255,39,9.26409,0.00000,9.26409,-1.53772426,-0.00311488,-0.35671,NaN,-0.35671,NaN,NaN,0.11682,9.26409,9.26409,0.00000,60.83146359,135.54749999,103.92908,103.92908,NaN,NaN,228.71444,NaN,12.553870,NaN,NaN,9.26409,10.708942,16.091700,12.323895,0.820112
C,8.871002,-3.146863,1.896147,40,4.71734,0.00000,4.71734,-1.29376004,-0.00938952,-0.71040,NaN,-0.71040,NaN,NaN,0.11234,4.71734,4.71734,0.00000,64.37288827,98.49612357,75.23032,75.23032,NaN,NaN,38.83437,NaN,4.988998,NaN,NaN,4.71734,9.938217,14.827851,10.879567,0.655952
H,9.592006,-2.950511,3.803714,41,9.32117,0.00000,9.32117,-1.28897009,-0.00168680,-0.31481,NaN,-0.31481,NaN,NaN,0.10389,9.32117,9.32117,0.00000,71.46085832,128.37620929,96.00140,96.00140,NaN,NaN,187.68643,NaN,11.435267,NaN,NaN,9.32117,10.491617,14.802576,12.229236,0.556317
C,7.050389,-3.689292,-3.041114,42,4.66519,0.00000,4.66519,-1.48566360,-0.01038323,-0.76585,NaN,-0.76585,NaN,NaN,0.14715,4.66519,4.66519,0.00000,58.14057945,101.40830466,71.04127,71.04127,NaN,NaN,85.33395,NaN,7.621121,NaN,NaN,4.66519,10.058805,14.827851,10.876697,0.654689
H,6.341989,-3.878294,-4.956115,43,9.05667,0.00000,9.05667,-1.43212394,-0.00190872,-0.37075,NaN,-0.37075,NaN,NaN,0.10918,9.05667,9.05667,0.00000,63.19743972,121.49315821,92.38715,92.38715,NaN,NaN,216.35589,NaN,12.209592,NaN,NaN,9.05667,10.618777,14.842834,12.248247,0.718443
C,-1.725993,-8.655875,-5.028304,44,0.19027,0.00000,0.19027,-0.81511796,-0.00739692,-0.14090,NaN,-0.14090,NaN,NaN,0.05533,0.19027,0.19027,0.00000,89.94804873,115.90780401,103.14972,103.14972,NaN,NaN,92.62837,NaN,9.354492,NaN,NaN,0.19027,13.211689,15.041205,13.784548,0.208622
H,-0.917041,-10.463109,-4.411849,45,8.47772,0.00000,8.47772,-1.03712879,-0.00107648,-0.13881,NaN,-0.13881,NaN,NaN,0.01589,8.47772,8.47772,0.00000,82.99733824,123.94992113,102.46556,102.46556,NaN,NaN,98.28685,NaN,8.167565,NaN,NaN,8.47772,10.830877,15.149709,12.041169,0.735160
H,-1.038514,-8.318346,-6.955921,46,8.34149,0.00000,8.34149,-1.05657526,-0.00107648,-0.15090,NaN,-0.15090,NaN,NaN,0.01587,8.34149,8.34149,0.00000,82.99733824,117.85207366,97.38112,97.38112,NaN,NaN,80.60128,NaN,7.568125,NaN,NaN,8.34149,10.806687,14.911117,12.003304,0.708242
C,-5.809179,-6.072215,-5.370407,47,0.96311,0.00000,0.96311,-0.14201191,-0.00805993,-0.03776,NaN,-0.03776,NaN,NaN,0.00011,0.96311,0.96311,0.00000,77.49771581,87.22332066,83.18336,83.18336,NaN,NaN,6.01205,NaN,2.133775,NaN,NaN,0.96311,12.301393,13.469925,12.860727,0.071011
C,10.526039,-3.194406,-0.159468,48,6.45627,0.00000,6.45627,-1.11261771,-0.00938952,-0.55599,NaN,-0.55599,NaN,NaN,0.07404,6.45627,6.45627,0.00000,62.18007639,98.49612357,74.28325,74.28325,NaN,NaN,36.01234,NaN,4.867084,NaN,NaN,6.45627,10.557834,14.827851,11.657326,0.700806
C,-5.499849,-8.606676,-2.153173,49,0.78519,0.00000,0.78519,-0.07135772,-0.01189290,-0.04438,NaN,-0.04438,NaN,NaN,0.00022,0.78519,0.78519,0.00000,77.00539024,95.28981883,87.62147,87.62147,NaN,NaN,25.65785,NaN,4.643028,NaN,NaN,0.78519,11.901021,12.323507,12.096772,0.010245
H,-4.282172,-9.491732,-0.734297,50,8.79412,0.00000,8.79412,-1.37292627,-0.00358014,-0.09374,NaN,-0.09374,NaN,NaN,0.04095,8.79412,8.79412,0.00000,81.85014491,123.63270066,100.73102,100.73102,NaN,NaN,123.66518,NaN,9.537072,NaN,NaN,8.79412,10.593426,13.884996,11.658320,0.551531
H,-7.448658,-9.205997,-1.865226,51,7.97250,0.00000,7.97250,-0.08586204,-0.00099055,-0.04037,NaN,-0.04037,NaN,NaN,0.00072,7.97250,7.97250,0.00000,76.25606365,119.22146028,94.99572,94.99572,NaN,NaN,115.60520,NaN,8.957082,NaN,NaN,7.97250,10.772158,13.665279,11.616776,0.326395
C,-8.657701,-6.181768,-5.901702,52,0.20555,0.00000,0.20555,-0.01668356,-0.00089566,-0.00686,NaN,-0.00686,NaN,NaN,0.00002,0.20555,0.20555,0.00000,67.88926807,92.50032693,81.32817,81.32817,NaN,NaN,53.31714,NaN,5.814942,NaN,NaN,0.20555,12.278016,13.477279,12.901910,0.099282
C,9.641067,-3.443327,-2.631009,53,4.70665,0.00000,4.70665,-1.27537632,-0.01038323,-0.68877,NaN,-0.68877,NaN,NaN,0.10853,4.70665,4.70665,0.00000,58.14057945,98.49612357,68.14555,68.14555,NaN,NaN,31.63841,NaN,4.029770,NaN,NaN,4.70665,9.919334,14.740526,10.838069,0.693983
H,10.949011,-3.450239,-4.20846,54,9.26419,0.00000,9.26419,-1.23591995,-0.00034128,-0.28720,NaN,-0.28720,NaN,NaN,0.09172,9.26419,9.26419,0.00000,64.41793642,117.06705808,86.36360,86.36360,NaN,NaN,154.59832,NaN,10.112147,NaN,NaN,9.26419,10.522556,14.752286,12.189376,0.560391
C,-4.593319,-4.263766,-7.268153,55,0.41159,0.00000,0.41159,-0.52272169,-0.00656185,-0.06701,NaN,-0.06701,NaN,NaN,0.00520,0.41159,0.41159,0.00000,58.06163448,90.48149527,80.83366,80.83366,NaN,NaN,52.88281,NaN,4.723419,NaN,NaN,0.41159,12.219084,13.477279,12.987235,0.087538
N,-3.776646,1.011485,0.378877,56,4.45726,0.00000,4.45726,-0.86961318,-0.02097203,-0.36820,NaN,-0.36820,NaN,NaN,0.02932,4.45726,4.45726,0.00000,78.73572699,137.13398128,104.52918,104.52918,NaN,NaN,91.99280,NaN,6.922676,NaN,NaN,4.45726,12.801621,16.214161,14.217081,0.556830
C,-4.790072,-2.625174,2.882851,57,3.67731,0.00000,3.67731,-1.38318029,-0.00485992,-0.79235,NaN,-0.79235,NaN,NaN,0.12710,3.67731,3.67731,0.00000,95.38327874,134.87273412,107.83157,107.83157,NaN,NaN,40.61269,NaN,4.832214,NaN,NaN,3.67731,11.158834,15.678909,12.153093,0.757132
