Element,X,Y,Z,Atom#,LEAE All area,LEAE Positive area,LEAE Negative area,LEAE Minimal value,LEAE Maximal value,LEAE All average,LEAE Positive average,LEAE Negative average,LEAE All variance,LEAE Positive variance,LEAE Negative variance,ESP All area (Ang^2),ESP Positive area (Ang^2),ESP Negative area (Ang^2),ESP Minimal value (kcal/mol),ESP Maximal value (kcal/mol),ESP All average (kcal/mol),ESP Positive average (kcal/mol),ESP Negative average (kcal/mol),ESP All variance (kcal/mol)^2,ESP Positive variance (kcal/mol)^2,ESP Negative variance (kcal/mol)^2,ESP Pi (kcal/mol),ESP nu,ESP nu*sigma^2,ALIE Area(Ang^2),ALIE Min value,ALIE Max value,ALIE Average,ALIE Variance
O,1.844242,-3.916312,0.432679,1,8.98394,0.00000,8.98394,-0.89833493,-0.00522451,-0.27867,NaN,-0.27867,NaN,NaN,0.05765,8.98394,8.98394,0.00000,27.87062531,118.37990777,68.30539,68.30539,NaN,NaN,557.69233,NaN,19.974845,NaN,NaN,8.98394,9.904242,15.399977,12.690996,0.856395
C,1.318356,-4.097718,2.74498,2,4.10910,0.00000,4.10910,-3.67075038,-0.05256000,-1.63501,NaN,-1.63501,NaN,NaN,0.82903,4.10910,4.10910,0.00000,68.66703917,138.17638987,108.52264,108.52264,NaN,NaN,301.40581,NaN,15.571613,NaN,NaN,4.10910,9.663825,15.381180,12.898195,1.016494
C,3.059346,-5.123853,4.575917,3,5.71104,0.00000,5.71104,-1.99699445,-0.00339020,-0.42695,NaN,-0.42695,NaN,NaN,0.11398,5.71104,5.71104,0.00000,73.69306925,123.83490274,90.68223,90.68223,NaN,NaN,107.46413,NaN,8.526727,NaN,NaN,5.71104,10.552042,15.239708,11.634091,0.946516
H,-0.467348,-3.337445,3.449888,4,9.13817,0.00000,9.13817,-3.17994803,-0.00586541,-0.44123,NaN,-0.44123,NaN,NaN,0.28033,9.13817,9.13817,0.00000,64.26233530,146.32843373,113.48513,113.48513,NaN,NaN,363.17974,NaN,15.833219,NaN,NaN,9.13817,9.521581,15.476417,12.684250,1.159889
C,5.375521,-6.247325,3.875607,5,4.73368,0.00000,4.73368,-1.74633518,-0.02786780,-0.90029,NaN,-0.90029,NaN,NaN,0.20145,4.73368,4.73368,0.00000,65.73382380,109.37278848,81.07726,81.07726,NaN,NaN,54.88233,NaN,6.053235,NaN,NaN,4.73368,10.191052,14.949512,11.069469,0.673560
C,2.398614,-4.92144,7.15085,6,4.75086,0.00000,4.75086,-1.83968970,-0.02684015,-0.90631,NaN,-0.90631,NaN,NaN,0.21486,4.75086,4.75086,0.00000,71.87077555,120.53779633,89.03650,89.03650,NaN,NaN,68.01537,NaN,6.625998,NaN,NaN,4.75086,10.309087,14.949512,11.136706,0.664396
C,7.007777,-7.121193,5.735513,7,4.72070,0.00000,4.72070,-1.21692301,-0.00116139,-0.63548,NaN,-0.63548,NaN,NaN,0.11474,4.72070,4.72070,0.00000,65.66657562,107.77626291,75.92799,75.92799,NaN,NaN,36.47783,NaN,4.373223,NaN,NaN,4.72070,10.065062,14.880520,10.864548,0.610966
H,5.847569,-6.444446,1.891831,8,9.21535,0.00000,9.21535,-1.66168310,-0.00104461,-0.33816,NaN,-0.33816,NaN,NaN,0.14075,9.21535,9.21535,0.00000,59.61644591,122.38401054,93.99241,93.99241,NaN,NaN,134.18503,NaN,9.189656,NaN,NaN,9.21535,10.847210,15.399977,12.340257,0.637220
C,4.049611,-5.788456,9.004165,9,4.72571,0.00000,4.72571,-1.04976803,-0.00657814,-0.56991,NaN,-0.56991,NaN,NaN,0.08058,4.72571,4.72571,0.00000,69.47324147,107.88994520,80.62441,80.62441,NaN,NaN,38.54867,NaN,4.871792,NaN,NaN,4.72571,10.057941,14.880520,10.865494,0.622425
H,0.60123,-4.074792,7.667864,10,8.81755,0.00000,8.81755,-1.76405346,-0.00034516,-0.35927,NaN,-0.35927,NaN,NaN,0.15428,8.81755,8.81755,0.00000,88.10847127,144.30637238,113.85807,113.85807,NaN,NaN,202.67526,NaN,12.146521,NaN,NaN,8.81755,10.904791,15.141964,12.370036,0.578627
C,6.352768,-6.88281,8.295971,11,4.76567,0.00000,4.76567,-1.16644862,-0.00116139,-0.74073,NaN,-0.74073,NaN,NaN,0.09982,4.76567,4.76567,0.00000,68.18382339,109.37278848,79.68744,79.68744,NaN,NaN,34.10411,NaN,4.332170,NaN,NaN,4.76567,10.292267,14.949512,11.035389,0.590436
H,8.788942,-7.99421,5.210833,12,8.91177,0.00000,8.91177,-1.16541675,-0.00029680,-0.26039,NaN,-0.26039,NaN,NaN,0.07993,8.91177,8.91177,0.00000,73.86804290,120.39196255,92.28093,92.28093,NaN,NaN,138.77328,NaN,9.497424,NaN,NaN,8.91177,10.670845,14.665338,12.095425,0.612979
H,3.552574,-5.623143,10.987733,13,8.90944,0.00000,8.90944,-1.00847937,-0.00013192,-0.22362,NaN,-0.22362,NaN,NaN,0.05851,8.90944,8.90944,0.00000,79.25852315,128.64527285,99.89585,99.89585,NaN,NaN,155.16463,NaN,10.247733,NaN,NaN,8.90944,10.622644,14.731886,12.115986,0.610879
H,7.641546,-7.566108,9.740801,14,8.86034,0.00000,8.86034,-1.09382348,-0.00017112,-0.24668,NaN,-0.24668,NaN,NaN,0.07014,8.86034,8.86034,0.00000,79.53288964,123.64302205,95.96435,95.96435,NaN,NaN,129.95560,NaN,9.273599,NaN,NaN,8.86034,10.842644,14.621946,12.183899,0.575453
C,-2.426662,-8.454119,2.53869,15,3.42531,0.00000,3.42531,-1.13291508,-0.01144542,-0.20087,NaN,-0.20087,NaN,NaN,0.01300,3.42531,3.42531,0.00000,26.69658463,79.86162141,53.11511,53.11511,NaN,NaN,281.26253,NaN,15.663008,NaN,NaN,3.42531,8.698480,11.433022,9.523023,0.275361
C,-2.466512,-7.358971,0.305045,16,9.68013,0.00000,9.68013,-0.45992993,-0.00481076,-0.08260,NaN,-0.08260,NaN,NaN,0.00265,9.68013,9.68013,0.00000,16.65684605,99.59112463,50.57774,50.57774,NaN,NaN,251.97306,NaN,12.809467,NaN,NaN,9.68013,8.842069,13.747385,10.260937,0.729912
H,-1.062293,-9.930159,2.983021,17,9.01019,0.00000,9.01019,-0.21090247,-0.00163904,-0.04400,NaN,-0.04400,NaN,NaN,0.00153,9.01019,9.01019,0.00000,36.60897128,108.43932684,73.16834,73.16834,NaN,NaN,265.13732,NaN,13.073230,NaN,NaN,9.01019,9.425944,13.135563,11.415531,0.474128
H,-3.803323,-7.968491,3.991274,18,9.05278,0.00000,9.05278,-0.23497065,-0.00163904,-0.04911,NaN,-0.04911,NaN,NaN,0.00198,9.05278,9.05278,0.00000,42.34642133,120.76858809,82.77261,82.77261,NaN,NaN,320.36943,NaN,14.520311,NaN,NaN,9.05278,9.427875,13.153776,11.442490,0.464885
C,-2.351724,-6.136865,-1.819742,19,4.86429,0.00000,4.86429,-0.27436243,-0.00523899,-0.04170,NaN,-0.04170,NaN,NaN,0.00084,4.86429,4.86429,0.00000,15.03964604,113.75795314,36.42261,36.42261,NaN,NaN,248.88730,NaN,12.103577,NaN,NaN,4.86429,8.759000,13.869285,9.802918,0.687720
H,-3.39759,-6.806143,-3.464019,20,9.98329,0.00000,9.98329,-0.12751479,-0.00716345,-0.04407,NaN,-0.04407,NaN,NaN,0.00054,9.98329,9.98329,0.00000,16.94978652,86.52310101,49.76481,49.76481,NaN,NaN,231.80009,NaN,12.036055,NaN,NaN,9.98329,9.072475,12.500498,11.204689,0.340681
Cl,2.27105,-5.043142,-4.98753,21,22.04223,0.00000,22.04223,-0.27436038,-0.00071129,-0.03687,NaN,-0.03687,NaN,NaN,0.00115,22.04223,13.75576,8.28647,-15.20912088,69.47270623,5.35617,12.75355,-6.92367,112.58688,94.62695,17.95993,9.995188,0.134074,15.094953,22.04223,8.478505,11.701498,9.099252,0.286074
Cl,-2.808061,-1.667326,-5.605281,22,22.31232,0.00000,22.31232,-0.31593085,-0.00169517,-0.04107,NaN,-0.04107,NaN,NaN,0.00179,22.31232,19.08177,3.23056,-9.59519193,85.63439702,19.00568,23.00342,-4.60757,216.68143,209.04448,7.63695,13.558161,0.034003,7.367786,22.31232,8.676586,11.898924,9.287514,0.265735
Si,-0.437464,-3.07294,-2.412757,23,0.36234,0.00000,0.36234,-0.26032266,-0.01050197,-0.04520,NaN,-0.04520,NaN,NaN,0.00113,0.36234,0.36234,0.00000,32.47415298,76.96712576,57.19363,57.19363,NaN,NaN,112.69808,NaN,8.753118,NaN,NaN,0.36234,10.554230,12.102672,11.252951,0.058732
O,-2.402825,-1.415722,0.090418,24,7.15879,0.00000,7.15879,-1.37617697,-0.00653453,-0.16983,NaN,-0.16983,NaN,NaN,0.02283,7.15879,7.15879,0.00000,35.70017627,123.07248216,71.57314,71.57314,NaN,NaN,409.77592,NaN,16.616449,NaN,NaN,7.15879,10.224731,15.838310,12.015878,1.383476
O,1.522378,-0.077677,-2.745268,25,10.25285,0.00000,10.25285,-1.25112163,-0.00167043,-0.16025,NaN,-0.16025,NaN,NaN,0.01866,10.25285,10.25285,0.00000,0.62714517,108.58082161,37.11964,37.11964,NaN,NaN,662.22023,NaN,21.876984,NaN,NaN,10.25285,9.833840,15.558936,11.643482,1.273176
N,-3.445677,0.851966,-0.396905,26,4.78912,0.00000,4.78912,-0.98946128,-0.00884293,-0.35455,NaN,-0.35455,NaN,NaN,0.03724,4.78912,4.78912,0.00000,54.86737733,140.99001789,103.61943,103.61943,NaN,NaN,346.72773,NaN,16.431948,NaN,NaN,4.78912,10.000752,16.230460,13.724875,1.293543
C,-2.792828,5.277107,-0.958879,27,3.59919,0.00000,3.59919,-1.36653925,-0.02534140,-0.79099,NaN,-0.79099,NaN,NaN,0.12812,3.59919,3.59919,0.00000,82.47522459,136.90609542,102.62690,102.62690,NaN,NaN,127.80746,NaN,9.849787,NaN,NaN,3.59919,11.082399,15.532542,12.071311,0.759796
C,-1.891174,2.911454,-0.280381,28,4.12320,0.00000,4.12320,-1.79372971,-0.03123637,-0.95257,NaN,-0.95257,NaN,NaN,0.23382,4.12320,4.12320,0.00000,79.75078844,140.51246111,107.01995,107.01995,NaN,NaN,286.45585,NaN,15.544487,NaN,NaN,4.12320,11.033294,16.077972,12.569898,1.163534
C,-6.883533,3.378575,-1.667428,29,4.66356,0.00000,4.66356,-1.69111285,-0.00583956,-0.94126,NaN,-0.94126,NaN,NaN,0.19197,4.66356,4.66356,0.00000,77.53178940,137.42990178,94.35284,94.35284,NaN,NaN,84.94102,NaN,6.844497,NaN,NaN,4.66356,10.520493,15.927843,11.498982,0.727280
H,-8.872523,3.518594,-2.140557,30,9.10332,0.00000,9.10332,-1.63735722,-0.00889552,-0.41041,NaN,-0.41041,NaN,NaN,0.13460,9.10332,9.10332,0.00000,90.60071131,140.17327540,111.40532,111.40532,NaN,NaN,134.71107,NaN,9.409732,NaN,NaN,9.10332,11.135550,15.246152,12.761357,0.634091
C,-5.349879,5.50084,-1.716977,31,3.83204,0.00000,3.83204,-1.73031341,-0.02100794,-0.92689,NaN,-0.92689,NaN,NaN,0.18440,3.83204,3.83204,0.00000,81.68506414,133.93071760,101.54223,101.54223,NaN,NaN,78.17649,NaN,7.393509,NaN,NaN,3.83204,10.931895,15.532542,11.865409,0.558642
