Sample Name,Atom Number,Occupied Orbitals,Molecule Weight,HOMO,LUMO,HOMO-LUMO Gap,Principal_Moment_I1,Principal_Moment_I2,Principal_Moment_I3,Farthest Distance,Molecular Radius,Molecular Size Short,Molecular Size Medium,Molecular Size Long,Long/Sum Size Ratio,Length/Diameter,MPP,SDP,Dipole Moment (a.u.),ODI LUMO+1,ODI LUMO,ODI HOMO,ODI HOMO-1,ODI Mean,ODI Std,Isosurface area,Sphericity,LEAE Minimal Value,LEAE Maximal Value,LEAE Average Value,Surface exposed atom num,ESP Minimal Value,ESP Maximal Value,ESP Overall Average Value (kcal/mol),ESP Overall Variance ((kcal/mol)^2),Balance of Charges (nu),Product of sigma^2_tot and nu ((kcal/mol)^2),Internal Charge Separation (Pi) (kcal/mol),Molecular Polarity Index (MPI) (kcal/mol),Polar Surface Area (Angstrom^2),Polar Surface Area (%),ALIE Minimal Value,ALIE Maximal Value,ALIE Average Value,ALIE Variance,Shape_Gyradius,Shape_Asphericity,Shape_Relative_Gyradius,Shape_Waist_Variance,Shape_Geometric_Asphericity
3j_R_bp3,89,183.0,696.758,-0.232185,-0.141632,0.090553,6157.7678,9945.525,11698.79,14.157,8.279,10.47,14.053,16.137,0.3968765371372356,0.9745742239400894,1.913932,7.951024,4.626062,6.93,33.62,8.76,6.53,13.959999999999999,11.381799066931377,604.72364,0.4609,-3.16881,-9e-05,-0.31075,89,8.59882,163.86765,76.123,656.09498,0.0,0.0,20.51246,76.123,603.96,99.87,8.67546,16.74999,11.48774,1.403,8.440805346981708,0.08791588421998565,1.3167145078280602,45.231165541752894,0.04343165096592277
2a_S_bp1,65,151.0,584.54506,-0.231266,-0.14891,0.082356,5463.5867,9282.5866,13335.837,17.818,10.109,8.713,14.362,19.427,0.4570843725001177,0.9608764467306361,1.31366,6.301491,3.3429,18.09,16.9,6.09,15.16,14.059999999999999,4.717981559947008,467.60674,0.5084,-3.82814,-2e-05,-0.43765,65,7.53329,159.54479,77.53298,883.80675,0.0,0.0,23.9164,77.53298,466.16,99.69,8.55944,16.71661,11.62834,2.00993,9.26173530057559,0.1582137286074003,1.4334530854891578,161.88627825088236,0.13065295623425197
1f_S_bp5,63,135.0,516.51241,-0.228695,-0.150332,0.078363,3030.9868,5727.1777,6941.9116,13.497,7.949,9.411,11.995,15.68,0.42280105700264253,0.9862875833438168,1.589414,6.91375,5.880115,15.78,17.48,14.06,6.65,13.4925,4.1314245424550595,433.7957,0.5152,-4.54094,-0.00014,-0.40093,63,-1.36576,161.3231,83.44714,1002.10517,0.00015685,0.15718,25.10433,83.44876,421.82,97.24,8.43173,16.56918,11.69224,1.88436,7.367113663622721,0.1332945287588961,1.2674298181078576,75.33140528079328,0.06225745168692566
4i_R_bp5,59,149.0,582.48935,-0.236714,-0.16552,0.071195,4159.7675,6842.8396,8971.9236,13.808,8.104,8.931,11.938,16.201,0.43703803614782843,0.9995681145113525,1.480152,6.64358,6.127183,13.16,15.7,5.06,4.91,9.7075,4.807418096026182,446.16818,0.5197,-3.77023,-0.00015,-0.48946,59,-25.9646,165.57173,79.89255,1398.88553,0.04398034,61.52345,31.14498,80.26628,427.78,95.88,8.73071,16.91807,11.78104,2.05283,7.824940780682941,0.12061910082467325,1.357199868030891,52.134736156047595,0.08258685078417355
5e_R_Me_S_bp1,69,177.0,696.5196,-0.231308,-0.154314,0.076994,6210.1155,8652.6821,12158.762,15.199,8.8,8.75,15.084,17.123,0.418072612740191,0.9728977272727273,1.592386,6.67547,4.984221,19.46,18.67,5.13,4.65,11.977500000000001,7.095031271953634,504.1748,0.4998,-4.11163,-4e-05,-0.38071,69,6.94113,150.07903,77.58164,937.20988,0.0,0.0,25.54316,77.58164,502.51,99.67,8.51004,17.42824,12.24494,3.01537,8.322906560880499,0.10266225801376362,1.3198587392405463,57.47620701302422,0.09575318592611855
5e_R_Me_R_bp5,69,177.0,696.5196,-0.235569,-0.153363,0.082207,5989.7973,8928.875,11970.094,14.937,8.669,9.112,13.465,17.001,0.4295568244984587,0.9805629253662476,1.60809,6.741845,5.833903,13.69,14.37,5.0,4.42,9.370000000000001,4.670701232149194,503.94125,0.5001,-3.73247,-7e-05,-0.38106,69,-3.37911,152.40067,79.16163,996.1005,0.00097432,0.97052,25.75398,79.16889,492.62,97.75,8.6805,17.46292,12.25445,2.93489,8.302422675169542,0.10361938432178448,1.3522611528342325,26.519035972131974,0.084652614205171
5i_R_Me_R_bp5,65,157.0,610.54259,-0.236392,-0.162356,0.074036,4947.4135,7831.4501,10755.232,15.344,8.872,8.804,13.563,17.557,0.43976054503556755,0.989461226330027,1.455624,6.486497,7.147486,13.11,14.73,4.45,4.6,9.2225,4.732585841799386,476.34043,0.5094,-3.75547,-6e-05,-0.44477,65,-17.92441,159.78172,81.12729,1171.01765,0.01989741,23.30022,28.78677,81.32733,458.44,96.24,8.74899,16.97041,11.77623,1.75162,8.296160984954152,0.12556094373137766,1.34897027666234,80.19159183146542,0.10111670067562396
3a_R_Me_S_bp4,57,127.0,488.45918,-0.235504,-0.141207,0.094298,2891.7623,5839.1186,7246.7862,13.928,8.164,8.745,13.384,15.761,0.4159672736869886,0.9652743753062224,1.175075,5.922242,5.535645,16.86,15.61,15.0,7.62,13.772499999999999,3.6148677361696095,401.60653,0.5286,-4.08241,-3e-05,-0.42112,57,-6.79536,151.50579,83.54262,1077.78803,0.0032647,3.51866,27.42172,83.58828,390.11,97.14,8.62106,16.54601,11.7402,1.94058,7.642398663535332,0.15601546062471008,1.2968022731106839,92.6510694148918,0.07578605275000992
1g_R_bp5,69,143.0,544.56565,-0.234192,-0.143671,0.090521,3435.4232,6142.6161,7940.1015,14.128,8.264,8.857,11.86,16.393,0.441740770681757,0.9918320425943854,1.464342,6.369951,4.703453,13.42,14.55,13.91,6.94,12.204999999999998,3.0660438679183963,462.24284,0.5083,-4.18124,-0.0001,-0.36435,69,6.406,157.85055,80.89098,821.64332,0.0,0.0,22.62323,80.89098,460.71,99.67,8.66673,16.41663,11.61918,1.68118,7.578894248922841,0.1370235686089476,1.315880650830167,52.55803554048217,0.08851059151379857
4e_S_bp1,63,169.0,668.46637,-0.232045,-0.160289,0.071756,5051.034,8520.2305,10500.383,13.758,8.079,9.312,12.28,15.655,0.4203023062260048,0.9688699096422824,1.642869,6.592413,4.090995,16.46,14.88,5.58,5.21,10.5325,5.169436018561406,478.27717,0.5045,-3.80618,-9e-05,-0.42677,63,8.51936,158.55976,77.10506,1039.61499,0.0,0.0,27.27104,77.10506,477.55,99.85,8.67694,17.11717,12.28594,2.90241,8.018616658243014,0.10954734169035546,1.3743221975157125,108.58013100716111,0.06261340029900159
