Atom1,Atom2,Connectivity,Nearest_Integer
2O,3C,0.99936,1
3C,4C,0.99806,1
3C,5H,0.99240,1
4C,6C,0.99870,1
4C,7C,0.99874,1
6C,8C,0.99914,1
6C,9H,0.99352,1
7C,10C,0.99909,1
7C,11H,0.99333,1
8C,12C,0.99886,1
8C,13H,0.99345,1
10C,12C,0.99894,1
10C,14H,0.99349,1
12C,15H,0.99337,1
16C,17C,0.99976,1
16C,18H,0.99299,1
16C,19H,0.99300,1
17C,20C,0.99981,1
20C,21H,0.99285,1
24O,41N,0.99585,1
25O,42N,0.99511,1
26C,27C,0.99669,1
26C,31C,0.99914,1
26C,41N,0.99877,1
27C,33C,0.99913,1
27C,42N,0.99877,1
28C,35C,0.99908,1
28C,42N,0.99879,1
28C,44Cl,0.99685,1
29C,30C,0.99908,1
29C,41N,0.99881,1
29C,45Cl,0.99677,1
30C,32C,0.99911,1
30C,43H,0.99378,1
31C,32C,0.99903,1
31C,36H,0.99377,1
32C,37H,0.99365,1
33C,34C,0.99904,1
33C,38H,0.99381,1
34C,35C,0.99912,1
34C,39H,0.99364,1
35C,40H,0.99381,1
