Atom1,Atom2,Connectivity,Nearest_Integer
2O,3C,0.99931,1
3C,4C,0.99811,1
3C,5H,0.99248,1
4C,6C,0.99869,1
4C,7C,0.99873,1
6C,8C,0.99914,1
6C,9H,0.99351,1
7C,10C,0.99909,1
7C,11H,0.99335,1
8C,12C,0.99886,1
8C,13H,0.99345,1
10C,12C,0.99894,1
10C,14H,0.99350,1
12C,15H,0.99337,1
16C,17C,0.99976,1
16C,18H,0.99302,1
16C,19H,0.99301,1
17C,20C,0.99982,1
20C,21H,0.99290,1
24O,41N,0.99630,1
25O,42N,0.99564,1
26C,27C,0.99678,1
26C,31C,0.99904,1
26C,41N,0.99892,1
27C,33C,0.99903,1
27C,42N,0.99891,1
28C,35C,0.99906,1
28C,42N,0.99875,1
28C,45C,0.99843,1
29C,30C,0.99907,1
29C,41N,0.99876,1
29C,44C,0.99840,1
30C,32C,0.99906,1
30C,43H,0.99375,1
31C,32C,0.99907,1
31C,36H,0.99372,1
32C,37H,0.99369,1
33C,34C,0.99909,1
33C,38H,0.99373,1
34C,35C,0.99907,1
34C,39H,0.99368,1
35C,40H,0.99375,1
44C,47N,0.99998,1
45C,46N,0.99998,1
