Atom1,Atom2,Connectivity,Nearest_Integer
2O,3C,0.99947,1
3C,4C,0.99798,1
3C,5H,0.99192,1
4C,6C,0.99869,1
4C,7C,0.99874,1
6C,8C,0.99915,1
6C,9H,0.99358,1
7C,10C,0.99908,1
7C,11H,0.99334,1
8C,12C,0.99887,1
8C,13H,0.99348,1
10C,12C,0.99895,1
10C,14H,0.99350,1
12C,15H,0.99339,1
16C,17C,0.99978,1
16C,18H,0.99300,1
16C,19H,0.99297,1
17C,20C,0.99980,1
20C,21H,0.99275,1
24O,38N,0.99486,1
25O,39N,0.99536,1
26C,27C,0.99671,1
26C,31C,0.99903,1
26C,38N,0.99869,1
27C,33C,0.99900,1
27C,39N,0.99875,1
28C,35C,0.99900,1
28C,39N,0.99907,1
28C,63F,0.99846,1
29C,30C,0.99896,1
29C,38N,0.99909,1
29C,62F,0.99860,1
30C,32C,0.99900,1
30C,51C,0.99653,1
31C,32C,0.99892,1
31C,64C,0.99479,1
32C,36H,0.99354,1
33C,34C,0.99896,1
33C,68C,0.99480,1
34C,35C,0.99894,1
34C,37H,0.99357,1
35C,40C,0.99648,1
40C,41C,0.99882,1
40C,42C,0.99883,1
41C,43C,0.99905,1
41C,44H,0.99342,1
42C,45C,0.99905,1
42C,46H,0.99380,1
43C,47C,0.99897,1
43C,48H,0.99341,1
45C,47C,0.99898,1
45C,49H,0.99342,1
47C,50H,0.99338,1
51C,52C,0.99883,1
51C,53C,0.99883,1
52C,54C,0.99904,1
52C,55H,0.99339,1
53C,56C,0.99904,1
53C,57H,0.99359,1
54C,58C,0.99897,1
54C,59H,0.99340,1
56C,58C,0.99897,1
56C,60H,0.99341,1
58C,61H,0.99338,1
64C,65H,0.99207,1
64C,66H,0.99267,1
64C,67H,0.99230,1
68C,69H,0.99238,1
68C,70H,0.99211,1
68C,71H,0.99258,1
