Atom1,Atom2,Connectivity,Nearest_Integer
2O,3C,0.99936,1
3C,4C,0.99813,1
3C,5H,0.99234,1
4C,6C,0.99868,1
4C,7C,0.99872,1
6C,8C,0.99914,1
6C,9H,0.99353,1
7C,10C,0.99909,1
7C,11H,0.99332,1
8C,12C,0.99886,1
8C,13H,0.99347,1
10C,12C,0.99894,1
10C,14H,0.99349,1
12C,15H,0.99336,1
16C,17C,0.99977,1
16C,18H,0.99297,1
16C,19H,0.99297,1
17C,20C,0.99981,1
20C,21H,0.99283,1
24O,40N,0.99485,1
25O,41N,0.99510,1
26C,27C,0.99702,1
26C,31C,0.99913,1
26C,40N,0.99879,1
27C,33C,0.99912,1
27C,41N,0.99877,1
28C,35C,0.99895,1
28C,41N,0.99902,1
28C,65F,0.99858,1
29C,30C,0.99895,1
29C,40N,0.99903,1
29C,64F,0.99861,1
30C,32C,0.99890,1
30C,53C,0.99660,1
31C,32C,0.99909,1
31C,36H,0.99380,1
32C,37H,0.99365,1
33C,34C,0.99910,1
33C,38H,0.99382,1
34C,35C,0.99889,1
34C,39H,0.99367,1
35C,42C,0.99658,1
42C,43C,0.99882,1
42C,44C,0.99882,1
43C,45C,0.99905,1
43C,46H,0.99340,1
44C,47C,0.99904,1
44C,48H,0.99359,1
45C,49C,0.99897,1
45C,50H,0.99341,1
47C,49C,0.99897,1
47C,51H,0.99341,1
49C,52H,0.99338,1
53C,54C,0.99883,1
53C,55C,0.99882,1
54C,56C,0.99905,1
54C,57H,0.99340,1
55C,58C,0.99904,1
55C,59H,0.99357,1
56C,60C,0.99897,1
56C,61H,0.99341,1
58C,60C,0.99897,1
58C,62H,0.99341,1
60C,63H,0.99338,1
