Atom1,Atom2,Connectivity,Nearest_Integer
2O,3C,0.99938,1
3C,4C,0.99799,1
3C,5H,0.99244,1
4C,6C,0.99870,1
4C,7C,0.99875,1
6C,8C,0.99915,1
6C,9H,0.99357,1
7C,10C,0.99908,1
7C,11H,0.99334,1
8C,12C,0.99887,1
8C,13H,0.99347,1
10C,12C,0.99895,1
10C,14H,0.99350,1
12C,15H,0.99339,1
16C,17C,0.99976,1
16C,18H,0.99298,1
16C,19H,0.99300,1
17C,20C,0.99982,1
20C,21H,0.99291,1
24O,40N,0.99544,1
25O,41N,0.99464,1
26C,27C,0.99650,1
26C,31C,0.99907,1
26C,40N,0.99876,1
27C,33C,0.99903,1
27C,41N,0.99880,1
28C,35C,0.99885,1
28C,39Cl,0.99666,1
28C,41N,0.99886,1
29C,30C,0.99884,1
29C,40N,0.99889,1
29C,42Cl,0.99660,1
30C,32C,0.99902,1
30C,43C,0.99627,1
31C,32C,0.99897,1
31C,64C,0.99484,1
32C,36H,0.99352,1
33C,34C,0.99899,1
33C,68C,0.99485,1
34C,35C,0.99900,1
34C,37H,0.99354,1
35C,38C,0.99628,1
38C,54C,0.99886,1
38C,55C,0.99887,1
43C,44C,0.99887,1
43C,45C,0.99887,1
44C,48C,0.99902,1
44C,49H,0.99338,1
45C,47C,0.99903,1
45C,53H,0.99352,1
46C,47C,0.99896,1
46C,48C,0.99898,1
46C,51H,0.99337,1
47C,52H,0.99339,1
48C,50H,0.99340,1
54C,58C,0.99902,1
54C,59H,0.99337,1
55C,57C,0.99904,1
55C,63H,0.99368,1
56C,57C,0.99897,1
56C,58C,0.99898,1
56C,61H,0.99338,1
57C,62H,0.99340,1
58C,60H,0.99340,1
64C,65H,0.99202,1
64C,66H,0.99262,1
64C,67H,0.99229,1
68C,69H,0.99233,1
68C,70H,0.99201,1
68C,71H,0.99265,1
