Atom1,Atom2,Connectivity,Nearest_Integer
2O,3C,0.99942,1
3C,4C,0.99814,1
3C,5H,0.99214,1
4C,6C,0.99867,1
4C,7C,0.99871,1
6C,8C,0.99915,1
6C,9H,0.99358,1
7C,10C,0.99909,1
7C,11H,0.99332,1
8C,12C,0.99885,1
8C,13H,0.99347,1
10C,12C,0.99894,1
10C,14H,0.99350,1
12C,15H,0.99336,1
16C,17C,0.99978,1
16C,18H,0.99303,1
16C,19H,0.99298,1
17C,20C,0.99980,1
20C,21H,0.99267,1
24O,40N,0.99518,1
25O,41N,0.99530,1
26C,27C,0.99636,1
26C,31C,0.99907,1
26C,40N,0.99874,1
27C,33C,0.99907,1
27C,41N,0.99877,1
28C,35C,0.99885,1
28C,39Cl,0.99646,1
28C,41N,0.99893,1
29C,30C,0.99882,1
29C,40N,0.99890,1
29C,42Cl,0.99674,1
30C,32C,0.99903,1
30C,43C,0.99625,1
31C,32C,0.99896,1
31C,68C,0.99483,1
32C,36H,0.99350,1
33C,34C,0.99895,1
33C,64C,0.99486,1
34C,35C,0.99901,1
34C,37H,0.99351,1
35C,38C,0.99632,1
38C,54C,0.99888,1
38C,55C,0.99887,1
43C,44C,0.99887,1
43C,45C,0.99888,1
44C,48C,0.99902,1
44C,49H,0.99337,1
45C,47C,0.99903,1
45C,53H,0.99353,1
46C,47C,0.99896,1
46C,48C,0.99898,1
46C,51H,0.99337,1
47C,52H,0.99339,1
48C,50H,0.99339,1
54C,58C,0.99902,1
54C,59H,0.99337,1
55C,57C,0.99903,1
55C,63H,0.99351,1
56C,57C,0.99896,1
56C,58C,0.99898,1
56C,61H,0.99337,1
57C,62H,0.99339,1
58C,60H,0.99339,1
64C,65H,0.99197,1
64C,66H,0.99261,1
64C,67H,0.99235,1
68C,69H,0.99228,1
68C,70H,0.99202,1
68C,71H,0.99267,1
