Atom1,Atom2,Connectivity,Nearest_Integer
2O,3C,0.99937,1
3C,4C,0.99799,1
3C,5H,0.99242,1
4C,6C,0.99872,1
4C,7C,0.99875,1
6C,8C,0.99913,1
6C,9H,0.99355,1
7C,10C,0.99908,1
7C,11H,0.99331,1
8C,12C,0.99887,1
8C,13H,0.99345,1
10C,12C,0.99894,1
10C,14H,0.99348,1
12C,15H,0.99336,1
16C,17C,0.99976,1
16C,18H,0.99296,1
16C,19H,0.99298,1
17C,20C,0.99982,1
20C,21H,0.99293,1
24O,40N,0.99457,1
25O,41N,0.99487,1
26C,27C,0.99641,1
26C,31C,0.99907,1
26C,40N,0.99895,1
27C,33C,0.99906,1
27C,41N,0.99896,1
28C,35C,0.99859,1
28C,39C,0.99866,1
28C,41N,0.99872,1
29C,30C,0.99858,1
29C,40N,0.99874,1
29C,42C,0.99867,1
30C,32C,0.99905,1
30C,43C,0.99190,1
31C,32C,0.99894,1
31C,76C,0.99488,1
32C,36H,0.99387,1
33C,34C,0.99894,1
33C,72C,0.99486,1
34C,35C,0.99905,1
34C,37H,0.99384,1
35C,38C,0.99196,1
38C,60C,0.99067,1
38C,61C,0.99069,1
38C,62C,0.99149,1
39C,58C,0.99997,1
42C,56C,0.99997,1
43C,44C,0.99070,1
43C,45C,0.99150,1
43C,46C,0.99066,1
44C,47H,0.99203,1
44C,48H,0.99208,1
44C,49H,0.99274,1
45C,50H,0.99231,1
45C,51H,0.99205,1
45C,52H,0.99206,1
46C,53H,0.99208,1
46C,54H,0.99210,1
46C,55H,0.99275,1
56C,57H,0.99534,1
58C,59H,0.99530,1
60C,63H,0.99275,1
60C,64H,0.99208,1
60C,65H,0.99208,1
61C,66H,0.99274,1
61C,67H,0.99205,1
61C,68H,0.99210,1
62C,69H,0.99206,1
62C,70H,0.99229,1
62C,71H,0.99204,1
72C,73H,0.99198,1
72C,74H,0.99261,1
72C,75H,0.99230,1
76C,77H,0.99229,1
76C,78H,0.99199,1
76C,79H,0.99262,1
