Atom1,Atom2,Connectivity,Nearest_Integer
2O,3C,0.99938,1
3C,4C,0.99804,1
3C,5H,0.99244,1
4C,6C,0.99870,1
4C,7C,0.99874,1
6C,8C,0.99913,1
6C,9H,0.99354,1
7C,10C,0.99909,1
7C,11H,0.99332,1
8C,12C,0.99886,1
8C,13H,0.99346,1
10C,12C,0.99894,1
10C,14H,0.99349,1
12C,15H,0.99336,1
16C,17C,0.99976,1
16C,18H,0.99295,1
16C,19H,0.99296,1
17C,20C,0.99981,1
20C,21H,0.99290,1
24O,40N,0.99469,1
25O,41N,0.99480,1
26C,27C,0.99639,1
26C,31C,0.99906,1
26C,40N,0.99895,1
27C,33C,0.99905,1
27C,41N,0.99894,1
28C,35C,0.99859,1
28C,39C,0.99866,1
28C,41N,0.99872,1
29C,30C,0.99859,1
29C,40N,0.99873,1
29C,42C,0.99865,1
30C,32C,0.99904,1
30C,43C,0.99190,1
31C,32C,0.99894,1
31C,72C,0.99489,1
32C,36H,0.99386,1
33C,34C,0.99894,1
33C,76C,0.99487,1
34C,35C,0.99905,1
34C,37H,0.99385,1
35C,38C,0.99193,1
38C,60C,0.99068,1
38C,61C,0.99070,1
38C,62C,0.99150,1
39C,58C,0.99997,1
42C,56C,0.99997,1
43C,44C,0.99068,1
43C,45C,0.99149,1
43C,46C,0.99066,1
44C,47H,0.99203,1
44C,48H,0.99209,1
44C,49H,0.99274,1
45C,50H,0.99231,1
45C,51H,0.99205,1
45C,52H,0.99206,1
46C,53H,0.99208,1
46C,54H,0.99209,1
46C,55H,0.99275,1
56C,57H,0.99532,1
58C,59H,0.99530,1
60C,63H,0.99277,1
60C,64H,0.99208,1
60C,65H,0.99209,1
61C,66H,0.99274,1
61C,67H,0.99204,1
61C,68H,0.99210,1
62C,69H,0.99205,1
62C,70H,0.99229,1
62C,71H,0.99205,1
72C,73H,0.99201,1
72C,74H,0.99264,1
72C,75H,0.99226,1
76C,77H,0.99232,1
76C,78H,0.99196,1
76C,79H,0.99265,1
