Atom1,Atom2,Connectivity,Nearest_Integer
2O,3C,0.99934,1
3C,4C,0.99815,1
3C,5H,0.99205,1
4C,6C,0.99868,1
4C,7C,0.99871,1
6C,8C,0.99914,1
6C,9H,0.99353,1
7C,10C,0.99910,1
7C,11H,0.99334,1
8C,12C,0.99885,1
8C,13H,0.99348,1
10C,12C,0.99894,1
10C,14H,0.99350,1
12C,15H,0.99337,1
16C,17C,0.99979,1
16C,18H,0.99312,1
16C,19H,0.99308,1
17C,20C,0.99979,1
20C,21H,0.99305,1
24O,40N,0.99474,1
25O,41N,0.99834,1
26C,27C,0.99659,1
26C,31C,0.99891,1
26C,40N,0.99903,1
27C,33C,0.99904,1
27C,41N,0.99872,1
28C,35C,0.99875,1
28C,39C,0.99846,1
28C,41N,0.99823,1
29C,30C,0.99881,1
29C,40N,0.99865,1
29C,42C,0.99841,1
30C,32C,0.99894,1
30C,43C,0.99192,1
31C,32C,0.99906,1
31C,70C,0.99518,1
32C,36H,0.99389,1
33C,34C,0.99900,1
33C,74C,0.99494,1
34C,35C,0.99898,1
34C,37H,0.99397,1
35C,38C,0.99189,1
38C,58C,0.99071,1
38C,59C,0.99069,1
38C,60C,0.99146,1
39C,57N,0.99998,1
42C,56N,0.99998,1
43C,44C,0.99060,1
43C,45C,0.99067,1
43C,46C,0.99152,1
44C,47H,0.99268,1
44C,48H,0.99216,1
44C,49H,0.99211,1
45C,50H,0.99215,1
45C,51H,0.99269,1
45C,52H,0.99210,1
46C,53H,0.99208,1
46C,54H,0.99233,1
46C,55H,0.99210,1
58C,61H,0.99270,1
58C,62H,0.99211,1
58C,63H,0.99214,1
59C,64H,0.99261,1
59C,65H,0.99206,1
59C,66H,0.99210,1
60C,67H,0.99209,1
60C,68H,0.99229,1
60C,69H,0.99209,1
70C,71H,0.99209,1
70C,72H,0.99198,1
70C,73H,0.99262,1
74C,75H,0.99258,1
74C,76H,0.99205,1
74C,77H,0.99198,1
