Atom1,Atom2,Connectivity,Nearest_Integer
2O,3C,0.99938,1
3C,4C,0.99797,1
3C,5H,0.99240,1
4C,6C,0.99872,1
4C,7C,0.99874,1
6C,8C,0.99913,1
6C,9H,0.99359,1
7C,10C,0.99908,1
7C,11H,0.99331,1
8C,12C,0.99887,1
8C,13H,0.99345,1
10C,12C,0.99894,1
10C,14H,0.99348,1
12C,15H,0.99336,1
16C,17C,0.99976,1
16C,18H,0.99297,1
16C,19H,0.99303,1
17C,20C,0.99982,1
20C,21H,0.99293,1
24O,42N,0.99479,1
25O,43N,0.99460,1
26C,27C,0.99665,1
26C,31C,0.99883,1
26C,42N,0.99912,1
27C,33C,0.99883,1
27C,43N,0.99911,1
28C,35C,0.99826,1
28C,41C,0.99880,1
28C,43N,0.99838,1
29C,30C,0.99828,1
29C,42N,0.99846,1
29C,44C,0.99879,1
30C,32C,0.99873,1
30C,45C,0.99857,1
31C,32C,0.99927,1
31C,36H,0.99378,1
32C,37H,0.99350,1
33C,34C,0.99927,1
33C,38H,0.99381,1
34C,35C,0.99873,1
34C,39H,0.99351,1
35C,40C,0.99858,1
40C,52C,0.99927,1
40C,55H,0.99346,1
41C,53C,0.99922,1
41C,54H,0.99387,1
44C,47C,0.99924,1
44C,48H,0.99406,1
45C,46C,0.99927,1
45C,49H,0.99348,1
46C,47C,0.99861,1
46C,50H,0.99349,1
47C,51H,0.99346,1
52C,53C,0.99862,1
52C,56H,0.99349,1
53C,57H,0.99347,1
