Atom1,Atom2,Connectivity,Nearest_Integer
2O,3C,0.99936,1
3C,4C,0.99796,1
3C,5H,0.99242,1
4C,6C,0.99873,1
4C,7C,0.99876,1
6C,8C,0.99913,1
6C,9H,0.99358,1
7C,10C,0.99909,1
7C,11H,0.99331,1
8C,12C,0.99888,1
8C,13H,0.99346,1
10C,12C,0.99893,1
10C,14H,0.99348,1
12C,15H,0.99337,1
16C,17C,0.99975,1
16C,18H,0.99295,1
16C,19H,0.99300,1
17C,20C,0.99982,1
20C,21H,0.99290,1
24O,42N,0.99529,1
25O,43N,0.99451,1
26C,27C,0.99637,1
26C,31C,0.99898,1
26C,42N,0.99917,1
27C,33C,0.99896,1
27C,43N,0.99919,1
28C,35C,0.99824,1
28C,41C,0.99855,1
28C,43N,0.99841,1
29C,30C,0.99809,1
29C,42N,0.99819,1
29C,44C,0.99841,1
30C,32C,0.99874,1
30C,45C,0.99859,1
31C,32C,0.99929,1
31C,36H,0.99379,1
32C,37H,0.99355,1
33C,34C,0.99923,1
33C,38H,0.99377,1
34C,35C,0.99869,1
34C,39H,0.99356,1
35C,40C,0.99858,1
40C,52C,0.99930,1
40C,55H,0.99354,1
41C,53C,0.99915,1
41C,54C,0.99241,1
44C,46C,0.99913,1
44C,49C,0.99289,1
45C,47C,0.99933,1
45C,48H,0.99351,1
46C,47C,0.99878,1
46C,50H,0.99375,1
47C,51H,0.99360,1
49C,61F,0.99752,1
49C,62F,0.99663,1
49C,63F,0.99709,1
52C,53C,0.99872,1
52C,56H,0.99360,1
53C,57H,0.99369,1
54C,58F,0.99692,1
54C,59F,0.99775,1
54C,60F,0.99668,1
