Atom1,Atom2,Connectivity,Nearest_Integer
2O,3C,0.99938,1
3C,4C,0.99798,1
3C,5H,0.99238,1
4C,6C,0.99872,1
4C,7C,0.99876,1
6C,8C,0.99914,1
6C,9H,0.99356,1
7C,10C,0.99908,1
7C,11H,0.99333,1
8C,12C,0.99887,1
8C,13H,0.99345,1
10C,12C,0.99894,1
10C,14H,0.99348,1
12C,15H,0.99336,1
16C,17C,0.99976,1
16C,18H,0.99296,1
16C,19H,0.99297,1
17C,20C,0.99982,1
20C,21H,0.99310,1
24O,40N,0.99515,1
25O,41N,0.99448,1
26C,27C,0.99659,1
26C,31C,0.99894,1
26C,40N,0.99915,1
27C,33C,0.99891,1
27C,41N,0.99918,1
28C,35C,0.99822,1
28C,41N,0.99837,1
28C,42C,0.99834,1
29C,30C,0.99814,1
29C,40N,0.99832,1
29C,48C,0.99829,1
30C,32C,0.99871,1
30C,49C,0.99862,1
31C,32C,0.99930,1
31C,36H,0.99376,1
32C,37H,0.99353,1
33C,34C,0.99928,1
33C,38H,0.99377,1
34C,35C,0.99869,1
34C,39H,0.99352,1
35C,43C,0.99862,1
42C,45C,0.99895,1
42C,56C,0.99852,1
43C,44H,0.99354,1
43C,46C,0.99927,1
45C,46C,0.99882,1
45C,55H,0.99356,1
46C,47H,0.99354,1
48C,53C,0.99895,1
48C,57C,0.99850,1
49C,50H,0.99351,1
49C,51C,0.99928,1
51C,52H,0.99353,1
51C,53C,0.99885,1
53C,54H,0.99356,1
56C,60C,0.99997,1
57C,58C,0.99997,1
58C,59H,0.99540,1
60C,61H,0.99536,1
