Atom1,Atom2,Connectivity,Nearest_Integer
2O,3C,0.99939,1
3C,4C,0.99808,1
3C,5H,0.99215,1
4C,6C,0.99869,1
4C,7C,0.99873,1
6C,8C,0.99914,1
6C,9H,0.99353,1
7C,10C,0.99909,1
7C,11H,0.99333,1
8C,12C,0.99886,1
8C,13H,0.99346,1
10C,12C,0.99894,1
10C,14H,0.99349,1
12C,15H,0.99336,1
16C,17C,0.99977,1
16C,18H,0.99295,1
16C,19H,0.99301,1
17C,20C,0.99981,1
20C,21H,0.99269,1
24O,38N,0.99477,1
25O,39N,0.99468,1
26C,27C,0.99639,1
26C,31C,0.99858,1
26C,38N,0.99917,1
27C,33C,0.99859,1
27C,39N,0.99916,1
28C,35C,0.99939,1
28C,37H,0.99413,1
28C,39N,0.99879,1
29C,30C,0.99939,1
29C,38N,0.99878,1
29C,40H,0.99411,1
30C,32C,0.99866,1
30C,41H,0.99360,1
31C,32C,0.99804,1
31C,47C,0.99852,1
32C,48C,0.99864,1
33C,34C,0.99804,1
33C,42C,0.99852,1
34C,35C,0.99866,1
34C,43C,0.99864,1
35C,36H,0.99361,1
42C,46C,0.99927,1
42C,55H,0.99374,1
43C,44C,0.99925,1
43C,57H,0.99347,1
44C,45H,0.99346,1
44C,46C,0.99860,1
46C,56H,0.99349,1
47C,51C,0.99927,1
47C,54H,0.99375,1
48C,49C,0.99926,1
48C,52H,0.99348,1
49C,50H,0.99346,1
49C,51C,0.99860,1
51C,53H,0.99348,1
