Atom1,Atom2,Connectivity,Nearest_Integer
2O,3C,0.99939,1
3C,4C,0.99794,1
3C,5H,0.99246,1
4C,6C,0.99873,1
4C,7C,0.99874,1
6C,8C,0.99913,1
6C,9H,0.99374,1
7C,10C,0.99908,1
7C,11H,0.99333,1
8C,12C,0.99887,1
8C,13H,0.99343,1
10C,12C,0.99894,1
10C,14H,0.99348,1
12C,15H,0.99337,1
16C,17C,0.99976,1
16C,18H,0.99296,1
16C,19H,0.99299,1
17C,20C,0.99982,1
20C,21H,0.99284,1
24O,42N,0.99434,1
25O,43N,0.99494,1
26C,27C,0.99645,1
26C,31C,0.99868,1
26C,42N,0.99915,1
27C,33C,0.99863,1
27C,43N,0.99916,1
28C,35C,0.99931,1
28C,41C,0.99578,1
28C,43N,0.99844,1
29C,30C,0.99930,1
29C,42N,0.99848,1
29C,44C,0.99578,1
30C,32C,0.99875,1
30C,45H,0.99359,1
31C,32C,0.99812,1
31C,36C,0.99850,1
32C,37C,0.99860,1
33C,34C,0.99814,1
33C,38C,0.99851,1
34C,35C,0.99872,1
34C,39C,0.99861,1
35C,40H,0.99359,1
36C,47C,0.99929,1
36C,48H,0.99372,1
37C,46C,0.99927,1
37C,49H,0.99346,1
38C,52C,0.99928,1
38C,55H,0.99373,1
39C,53C,0.99926,1
39C,54H,0.99344,1
41C,58H,0.99252,1
41C,59H,0.99208,1
41C,60H,0.99264,1
44C,61H,0.99211,1
44C,62H,0.99262,1
44C,63H,0.99250,1
46C,47C,0.99856,1
46C,50H,0.99345,1
47C,51H,0.99348,1
52C,53C,0.99859,1
52C,56H,0.99348,1
53C,57H,0.99345,1
